N	2gram	Tiupa_Lite_3	Istorich
1	и в	16	25
2	что он	5	22
3	вместе с	5	22
4	может быть	12	17
5	не только	14	13
6	но и	14	13
7	в его	6	12
8	и не	22	11
9	уже не	3	11
10	все же	2	10
11	в этом	14	10
12	тем что	2	10
13	с другой	6	9
14	его в	2	9
15	и его	6	9
16	связи с	2	8
17	что в	2	8
18	том что	8	8
19	еще не	6	8
20	другой стороны	2	8
21	и на	2	8
22	в частности	11	7
23	в качестве	5	7
24	а затем	3	7
25	как и	5	7
26	то что	12	7
27	одной стороны	4	7
28	в нем	2	7
29	с одной	4	7
30	потому что	3	7
31	представляет собой	2	7
32	только в	7	7
33	о том	6	7
34	это не	5	6
35	прежде всего	3	6
36	что и	2	6
37	себя в	7	6
38	как в	5	6
39	не может	8	6
40	не в	10	6
41	в том	12	6
42	там где	3	6
43	как мы	2	5
44	но не	4	5
45	например в	3	5
46	так же	2	5
47	входит в	4	5
48	не менее	2	4
49	если не	2	4
50	что у	2	4
51	не как	2	4
52	все еще	3	4
53	не всегда	2	4
54	и тем	3	4
55	в ее	5	4
56	герой в	2	4
57	а именно	5	4
58	то же	9	4
59	на смену	3	4
60	за ним	2	4
61	никогда не	4	3
62	и как	3	3
63	в целом	5	3
64	в свою	2	3
65	в этой	8	3
66	в то	9	3
67	того чтобы	2	3
68	о нем	2	3
69	на себя	2	3
70	то это	2	3
71	но уже	3	3
72	для того	2	3
73	а в	5	3
74	в данном	4	3
75	и с	2	3
76	человека в	2	3
77	со своими	2	2
78	к этому	2	2
79	вопрос о	2	2
80	по себе	2	2
81	и вместе	2	2
82	на то	2	2
83	можно сказать	2	2
84	же в	2	2
85	с этой	2	2
86	по существу	4	2
87	мы и	2	2
88	и при	2	2
89	как у	4	2
90	а на	2	2
91	того же	2	2
92	и сам	2	2
93	жизни и	3	2
94	несмотря на	2	2
95	если бы	2	2
96	как таковое	2	2
97	от себя	2	2
98	одним из	4	2
99	как бы	8	2
100	и потому	2	2
101	еще в	3	2
102	даже в	4	2
103	один из	2	2
104	в своей	7	2
105	отношению к	4	2
106	еще один	2	2
107	когда он	2	2
108	во всех	2	2
109	том чтобы	2	2
110	время в	2	2
111	с ней	2	2
112	ее в	2	2
113	данном случае	4	2
114	со стороны	7	2
115	совершенно не	3	2
116	по отношению	4	2
117	и для	4	2
118	здесь как	2	2
119	самом деле	3	2
120	а не	12	2
121	того что	9	2
122	чтобы он	2	2
123	то в	3	2
124	обратим внимание	3	2
125	точки зрения	7	2
126	из них	4	2
127	о чем	3	2
