N	2gram	Medvedev_F_1	NovoeSre
1	а не	10	17
2	не может	16	16
3	и в	24	16
4	и не	20	11
5	что в	4	9
6	жизни и	7	8
7	он не	3	8
8	в том	6	8
9	культуры и	3	7
10	как и	11	7
11	в этом	15	7
12	к новому	2	7
13	может быть	14	7
14	с его	4	6
15	никогда не	4	6
16	не в	8	6
17	лишь в	8	6
18	но это	3	6
19	ни в	2	6
20	должен быть	5	5
21	в нем	14	5
22	все это	9	5
23	в жизни	3	5
24	с ее	7	5
25	и к	4	5
26	в ней	10	5
27	не только	7	5
28	не менее	11	4
29	то что	8	4
30	перестает быть	3	4
31	в них	3	4
32	это не	2	4
33	и все	6	4
34	не было	3	4
35	должно быть	11	4
36	эпохи и	2	4
37	есть лишь	2	4
38	прежде всего	22	4
39	и потому	9	4
40	жизни не	2	3
41	но и	7	3
42	не есть	2	3
43	должна быть	7	3
44	в своей	11	3
45	в истории	4	3
46	жизни в	2	3
47	с другой	5	3
48	вопрос о	2	3
49	во всех	5	3
50	перейти к	2	3
51	и пр	17	3
52	к тому	3	3
53	что такое	2	3
54	в мире	4	3
55	в ее	8	3
56	в основе	3	3
57	с тем	2	3
58	конечно не	4	3
59	как в	8	3
60	она не	6	3
61	еще не	6	3
62	в россии	3	3
63	за пределы	2	3
64	в новое	2	3
65	все время	2	2
66	место в	7	2
67	вместе с	2	2
68	бытия в	3	2
69	так и	18	2
70	для этого	4	2
71	формы и	5	2
72	и от	7	2
73	а в	6	2
74	с одной	4	2
75	все эти	6	2
76	думать что	3	2
77	уже не	2	2
78	нет и	2	2
79	одной стороны	4	2
80	и даже	3	2
81	хотя бы	5	2
82	но не	3	2
83	так же	4	2
84	по существу	2	2
85	это и	3	2
86	мы не	3	2
87	же как	2	2
88	одна из	2	2
89	и с	8	2
90	и что	2	2
91	и заключается	2	2
92	с этим	2	2
93	и на	8	2
94	в себе	3	2
95	в то	9	2
96	не могла	2	2
97	познания и	4	2
98	и это	2	2
99	том чтобы	2	2
100	как это	6	2
101	и должно	2	2
102	мысли в	2	2
103	но для	3	2
104	но в	5	2
