N	2gram	Medvedev_V_1	Problemy
1	и в	26	46
2	и не	19	27
3	может быть	22	23
4	как бы	5	19
5	не может	17	19
6	в нем	6	17
7	в этом	26	16
8	не только	25	14
9	перед нами	4	12
10	но и	10	12
11	как и	7	12
12	точки зрения	3	11
13	в одном	4	11
14	а не	7	11
15	не в	6	10
16	в пределах	5	10
17	между ними	3	10
18	прежде всего	13	9
19	в том	15	9
20	в самом	4	9
21	вовсе не	3	9
22	и к	3	9
23	в его	14	9
24	или в	3	8
25	по себе	2	7
26	еще не	2	7
27	как раз	3	7
28	в себе	6	7
29	никогда не	4	6
30	в каждом	2	6
31	хотя и	2	6
32	но в	2	6
33	что он	4	6
34	в романе	4	6
35	то же	10	6
36	все это	10	6
37	и он	2	6
38	и его	6	6
39	только в	7	6
40	это не	7	5
41	же время	5	5
42	в котором	3	5
43	жизни и	3	5
44	по отношению	7	5
45	в то	6	5
46	в жизни	2	5
47	с его	3	5
48	у него	6	5
49	о том	10	5
50	отношению к	7	5
51	во всех	6	5
52	так сказать	2	5
53	том числе	2	4
54	что в	10	4
55	можно сказать	4	4
56	например в	3	4
57	у тургенева	3	4
58	в виду	4	4
59	в их	5	4
60	таким образом	31	4
61	еще и	2	4
62	все эти	6	4
63	и наконец	2	4
64	должно быть	2	4
65	же и	2	4
66	он и	2	4
67	том что	8	4
68	но не	2	4
69	том же	6	4
70	он не	2	4
71	все же	5	4
72	то что	6	4
73	в процессе	16	4
74	так и	5	4
75	приводит к	5	4
76	с другой	11	3
77	из этих	7	3
78	человека и	3	3
79	не могут	7	3
80	в своем	8	3
81	более или	6	3
82	числе и	2	3
83	эти явления	2	3
84	одним из	5	3
85	но для	2	3
86	себе и	2	3
87	то это	2	3
88	и для	2	3
89	и их	3	3
90	другой стороны	8	3
91	так же	3	3
92	и даже	2	3
93	также и	2	3
94	в конце	3	3
95	как он	2	3
96	их в	6	3
97	бы в	3	3
98	мы имеем	3	3
99	если бы	3	3
100	в единстве	4	3
101	в различных	2	3
102	по существу	3	3
103	и при	5	3
104	всех его	2	3
105	она не	3	3
106	было бы	7	3
107	в своей	4	3
108	что и	3	3
109	него в	3	3
110	или менее	6	3
111	они должны	2	3
112	отличается от	2	3
113	в слове	3	3
114	в этой	4	3
115	далеко не	2	3
116	например у	2	2
117	не менее	2	2
118	он сам	2	2
119	или меньшей	3	2
120	достоевского и	2	2
121	или иной	2	2
122	от них	2	2
123	к тому	4	2
124	оно является	2	2
125	и как	3	2
126	же как	2	2
127	большей или	3	2
128	смысле слова	2	2
129	в большей	2	2
130	для него	8	2
131	в общем	2	2
132	во сне	21	2
133	меньшей степени	2	2
134	если в	2	2
135	вот как	4	2
136	образов и	4	2
137	не было	7	2
138	они не	2	2
139	лишь в	2	2
140	в системе	2	2
141	и по	3	2
142	а в	3	2
143	в которых	3	2
144	в результате	5	2
145	сказать что	5	2
146	единого и	2	2
147	что мы	2	2
148	в художественном	10	2
149	могло бы	2	2
150	между тем	5	2
151	а как	2	2
152	вне его	2	2
153	с этим	3	2
154	у пушкина	2	2
155	с нею	2	2
156	из своих	2	2
157	стороны и	2	2
158	остановимся на	2	2
159	но с	2	2
160	у нас	2	2
161	явления в	2	2
162	одна из	4	2
163	об этом	9	2
164	нет и	3	2
165	когда он	3	2
166	вместе с	7	2
167	бы и	6	2
168	при всем	3	2
169	бы не	2	2
170	и через	2	2
171	что такое	2	2
172	хотя бы	19	2
173	можно было	2	2
174	этот вопрос	3	2
175	могут быть	5	2
176	в другом	2	2
177	ту же	2	2
178	которые в	2	2
179	одном из	3	2
