N	2gram	Bakhtin_Pr_5	RusskieA
1	и в	35	29
2	что в	6	22
3	том что	3	22
4	в том	5	22
5	как бы	31	18
6	может быть	14	13
7	так как	4	13
8	во время	5	12
9	как и	18	11
10	в этом	14	11
11	все это	14	10
12	в этот	2	10
13	и с	12	10
14	не только	10	10
15	о том	2	9
16	а в	7	9
17	но и	14	8
18	его в	4	8
19	мы видели	2	7
20	как в	5	7
21	или в	2	7
22	с тем	3	6
23	еще не	7	6
24	вместе с	2	6
25	таким образом	7	6
26	при этом	2	6
27	и на	6	6
28	на нее	2	6
29	потому что	8	5
30	это не	3	5
31	должна была	2	5
32	то что	10	5
33	и что	6	5
34	но не	6	5
35	для этого	2	5
36	не может	18	5
37	будто бы	2	5
38	но в	19	5
39	в них	4	4
40	и все	15	4
41	вопрос о	2	4
42	а затем	2	4
43	уже не	3	4
44	так что	5	4
45	не в	10	4
46	из них	3	4
47	к нему	13	4
48	так же	7	4
49	то же	15	4
50	на них	7	4
51	а не	4	4
52	в которых	2	4
53	их в	2	4
54	в виде	7	4
55	на этом	2	3
56	тем что	4	3
57	в этих	2	3
58	и от	3	3
59	в ее	3	3
60	за ним	2	3
61	до конца	4	3
62	того что	3	3
63	было бы	3	3
64	в котором	3	3
65	с другими	2	3
66	во всех	3	3
67	в отличие	2	3
68	все эти	3	3
69	и по	2	3
70	друг друга	2	3
71	как мы	8	3
72	тому как	2	3
73	между тем	4	3
74	но он	4	3
75	подобно тому	2	3
76	что это	4	3
77	отличие от	2	3
78	в эту	4	3
79	а он	3	2
80	не менее	2	2
81	с этой	2	2
82	никогда не	4	2
83	о них	2	2
84	с другой	4	2
85	он есть	2	2
86	это в	2	2
87	прежде всего	12	2
88	как можно	2	2
89	что и	3	2
90	к ней	2	2
91	что с	2	2
92	говорит о	2	2
93	это и	3	2
94	и как	2	2
95	совсем не	3	2
96	в глаза	5	2
97	здесь в	2	2
98	что на	2	2
99	из этого	2	2
100	иной характер	2	2
101	в него	3	2
102	в виду	3	2
103	еще в	4	2
104	все же	8	2
105	в своей	4	2
106	в самый	2	2
107	в форме	3	2
108	а с	3	2
109	на самом	9	2
110	там где	7	2
111	и для	8	2
112	должно быть	3	2
113	можно было	2	2
114	следующий за	2	2
115	жизнь и	2	2
116	каждый из	2	2
117	так в	2	2
118	и то	5	2
119	пока еще	2	2
120	с другим	13	2
121	с этим	3	2
122	во всем	4	2
123	в то	11	2
124	так чтобы	4	2
125	в которой	2	2
126	та же	4	2
