N	2gram	Bakhtin_sl_1	Myshleni
1	и речи	2	38
2	точки зрения	16	26
3	таким образом	9	26
4	в том	3	24
5	и в	41	23
6	том что	2	21
7	в целом	2	20
8	с точки	8	18
9	в этом	12	17
10	так же	2	16
11	не только	16	16
12	того что	3	15
13	для того	2	15
14	может быть	14	14
15	но и	16	14
16	как и	4	14
17	в его	13	14
18	речи в	4	14
19	не может	14	12
20	как бы	12	11
21	сказать что	2	11
22	с другой	5	10
23	прежде всего	8	10
24	в отношении	6	10
25	в качестве	3	9
26	одной стороны	4	9
27	не является	2	9
28	другой стороны	4	9
29	и не	16	9
30	между тем	2	9
31	и с	4	9
32	внутренней речи	3	9
33	с одной	4	8
34	и на	14	8
35	в основе	5	8
36	в процессе	4	8
37	то же	14	8
38	в самом	5	7
39	в то	14	7
40	так как	3	7
41	мы не	2	7
42	и ее	3	7
43	в другом	2	7
44	все время	3	6
45	столь же	2	6
46	с этой	3	6
47	же как	2	6
48	между этими	2	6
49	и тем	2	6
50	все это	5	6
51	именно в	3	6
52	лишь в	4	6
53	потому что	2	6
54	с этим	3	6
55	о том	3	6
56	в сущности	13	6
57	и его	14	6
58	в себе	3	6
59	только в	6	6
60	тому что	2	5
61	перед нами	4	5
62	то время	2	5
63	можно сказать	2	5
64	и все	4	5
65	но в	8	5
66	между собой	2	5
67	он не	3	5
68	слова и	13	5
69	так и	11	5
70	как мы	8	5
71	из этого	3	5
72	но не	2	4
73	что все	2	4
74	в свою	3	4
75	не в	7	4
76	при этом	6	4
77	друг с	2	4
78	время как	2	4
79	в котором	2	4
80	все эти	9	4
81	в результате	3	4
82	с его	4	4
83	в одном	2	4
84	к этому	2	4
85	и к	5	4
86	по существу	3	4
87	было бы	3	4
88	к тому	3	4
89	в своей	7	4
90	сих пор	2	4
91	как в	8	4
92	как раз	2	4
93	а с	2	4
94	хотя бы	3	4
95	мы видим	2	4
96	с другом	2	4
97	до сих	2	4
98	может не	8	3
99	в самых	2	3
100	в своем	3	3
101	и от	4	3
102	из этих	3	3
103	одного из	2	3
104	на все	2	3
105	свою очередь	2	3
106	мы и	2	3
107	что они	2	3
108	смысле слова	2	3
109	и следовательно	7	3
110	друг другу	2	3
111	в их	4	3
112	и других	3	3
113	вовсе не	7	3
114	всяком случае	5	3
115	речи но	2	3
116	не могло	3	3
117	тем и	2	3
118	во всех	17	3
119	она не	3	3
120	все же	7	3
121	а не	15	3
122	можно было	2	3
123	и то	2	3
124	во всяком	7	3
125	он в	5	3
126	могут быть	19	3
127	связи с	2	3
128	в которой	4	3
129	ничего не	4	3
130	связана с	2	2
131	в частности	2	2
132	известном смысле	2	2
133	никогда не	3	2
134	точку зрения	3	2
135	или даже	2	2
136	в смысле	4	2
137	словом и	3	2
138	в зависимости	3	2
139	на этом	2	2
140	же время	12	2
141	для него	3	2
142	хотя и	2	2
143	был бы	2	2
144	один из	4	2
145	по всей	3	2
146	не с	2	2
147	данном случае	3	2
148	той же	2	2
149	в слове	7	2
150	и той	2	2
151	и наконец	4	2
152	и даже	6	2
153	речь и	3	2
154	как такового	3	2
155	должно быть	2	2
156	бы и	3	2
157	а в	6	2
158	и те	2	2
159	в первом	3	2
160	в этих	2	2
161	от этого	2	2
162	в известном	2	2
163	всех этих	4	2
164	он может	2	2
165	в них	6	2
166	лежит в	4	2
167	и эти	2	2
168	в ее	2	2
169	зависимости от	3	2
170	чем он	2	2
171	одно и	2	2
172	за пределы	4	2
173	наконец в	2	2
174	том же	4	2
175	основное содержание	2	2
176	и потому	4	2
177	даже в	2	2
178	и другим	2	2
179	с ней	2	2
180	слова как	6	2
181	в известной	2	2
182	в контекст	2	2
183	нами в	2	2
184	если мы	2	2
185	уже не	2	2
186	и слово	2	2
187	между ними	2	2
188	речь в	2	2
189	почти всегда	3	2
190	с другими	5	2
191	в данном	3	2
192	различные формы	2	2
193	в виде	2	2
194	слова так	2	2
195	там где	4	2
