N	2gram	Trubetskoy_1	formyVre
1	и в	23	50
2	то есть	2	33
3	в этом	12	25
4	в нем	3	24
5	прежде всего	3	15
6	и не	8	14
7	как мы	2	14
8	вовсе не	2	13
9	в его	5	13
10	по существу	6	12
11	так и	10	12
12	может быть	16	11
13	таким образом	31	11
14	мы уже	4	11
15	то же	4	11
16	но в	4	10
17	в конце	4	9
18	в том	30	9
19	же время	2	9
20	все эти	19	9
21	в то	6	9
22	не только	7	9
23	в самом	8	8
24	и их	5	8
25	но и	9	8
26	и на	6	8
27	как и	9	8
28	того же	9	8
29	жизни и	2	8
30	не было	2	7
31	для себя	2	7
32	все же	13	6
33	в частности	2	6
34	это не	3	6
35	в дальнейшем	2	6
36	с ее	2	6
37	в их	4	6
38	не может	17	6
39	лишь в	5	6
40	так же	8	6
41	в результате	9	6
42	так как	7	6
43	у него	5	6
44	с этим	11	6
45	и все	7	6
46	в жизни	3	6
47	и того	3	6
48	связи с	4	6
49	во всех	10	6
50	то что	18	6
51	между двумя	5	6
52	что в	8	5
53	одного и	3	5
54	не в	8	5
55	и до	3	5
56	этот процесс	2	5
57	в связи	3	5
58	в разных	3	5
59	в основе	2	5
60	точки зрения	13	5
61	всех этих	4	5
62	но все	5	5
63	если бы	8	5
64	отнюдь не	2	5
65	но не	2	5
66	еще не	5	5
67	он не	3	5
68	отношению к	9	5
69	того чтобы	8	5
70	для того	8	5
71	и у	4	5
72	но на	2	4
73	в своем	10	4
74	мы и	2	4
75	в котором	2	4
76	на этой	2	4
77	все это	11	4
78	между этими	2	4
79	потому что	9	4
80	и с	5	4
81	в ней	3	4
82	между собой	4	4
83	в них	2	4
84	то время	2	4
85	конечно не	3	4
86	и проч	4	4
87	в процессе	2	4
88	жизнь и	3	4
89	том что	19	4
90	и для	6	4
91	и то	4	4
92	только в	6	4
93	и это	3	4
94	не могут	4	3
95	себя и	2	3
96	в этих	3	3
97	вследствие этого	2	3
98	к тому	8	3
99	с тем	2	3
100	при этом	9	3
101	имеет место	2	3
102	хотя и	4	3
103	в виду	2	3
104	и уже	2	3
105	по отношению	9	3
106	с одной	3	3
107	именно в	5	3
108	и других	2	3
109	в одно	2	3
110	они не	2	3
111	друг друга	2	3
112	а в	3	3
113	и те	2	3
114	их в	2	3
115	одно из	3	3
116	в начале	2	3
117	его в	5	3
118	не знает	2	3
119	к этому	5	3
120	в сущности	2	3
121	мы говорили	7	3
122	и потому	3	3
123	что и	7	3
124	вместе с	6	3
125	сих пор	8	3
126	между ними	2	3
127	в таком	4	3
128	во всяком	2	3
129	совершенно иной	2	3
130	и ее	2	3
131	в себе	5	3
132	этими двумя	2	3
133	все его	2	3
134	до сих	8	3
135	мы будем	3	2
136	же как	3	2
137	никогда не	4	2
138	в течение	4	2
139	в нашем	3	2
140	точку зрения	2	2
141	с другой	6	2
142	никто не	2	2
143	что все	5	2
144	вопрос о	3	2
145	для нас	3	2
146	тому же	6	2
147	есть в	2	2
148	в свою	2	2
149	для него	2	2
150	одной стороны	2	2
151	нет в	2	2
152	не без	2	2
153	но для	2	2
154	в целом	5	2
155	отношение к	4	2
156	те же	2	2
157	в самой	2	2
158	во втором	2	2
159	того что	6	2
160	и по	3	2
161	к ним	2	2
162	в которых	2	2
163	широком смысле	2	2
164	также и	2	2
165	во всем	3	2
166	в истории	3	2
167	что мы	4	2
168	мы должны	4	2
169	все то	2	2
170	тех же	2	2
171	с ним	6	2
172	друг к	2	2
173	сравнению с	5	2
174	он должен	2	2
175	же что	2	2
176	тогда когда	3	2
177	ясно что	8	2
178	и к	5	2
179	одна из	2	2
180	чем в	3	2
181	и может	3	2
182	было бы	3	2
183	и культур	4	2
184	том же	4	2
185	на почве	3	2
186	слагается из	3	2
187	по сравнению	5	2
188	к другу	2	2
189	как бы	10	2
190	весьма часто	2	2
191	быть и	5	2
192	оказывается что	5	2
193	совершенно не	3	2
194	если мы	4	2
195	с точки	8	2
196	хотя бы	4	2
197	в которой	5	2
198	у них	6	2
199	в данном	3	2
200	можно назвать	3	2
201	и вообще	3	2
202	ту же	2	2
203	далеко не	5	2
204	отличие от	3	2
205	но по	3	2
