N	2gram	Medvedev_U_1	Formalny
1	и в	14	38
2	в этом	7	27
3	может быть	6	23
4	таким образом	2	20
5	и не	8	20
6	в самом	2	16
7	прежде всего	8	15
8	формального метода	9	15
9	не в	2	15
10	в шкловский	2	14
11	не может	7	14
12	но и	4	13
13	с его	2	11
14	в том	2	11
15	формальный метод	11	10
16	в его	2	10
17	и с	2	9
18	как и	3	9
19	не только	10	9
20	что и	2	8
21	все же	3	8
22	самом деле	2	8
23	тем что	2	8
24	не могут	2	7
25	по себе	2	7
26	для него	3	7
27	по существу	2	7
28	в своей	3	7
29	этом отношении	2	7
30	художественного произведения	2	6
31	истории литературы	3	6
32	в шкловского	2	6
33	то что	7	6
34	в этой	4	6
35	было бы	3	6
36	в их	4	6
37	то же	5	6
38	а не	10	6
39	как такового	3	6
40	как раз	2	6
41	могут быть	2	6
42	только в	2	6
43	хотя бы	5	6
44	должна быть	2	5
45	если бы	2	5
46	что он	2	5
47	же время	3	5
48	и только	5	5
49	и для	2	5
50	сводится к	2	5
51	в то	3	5
52	материала и	2	4
53	не столько	2	4
54	не как	3	4
55	литературы и	2	4
56	в сторону	2	4
57	не о	3	4
58	в некоторых	2	4
59	другой стороны	3	4
60	даже и	2	4
61	именно как	2	4
62	не следует	3	4
63	ничего не	2	4
64	но в	3	4
65	всех этих	2	3
66	а о	2	3
67	с другой	4	3
68	а как	2	3
69	как таковой	2	3
70	не приходится	2	3
71	о формальном	3	3
72	не есть	2	3
73	все это	5	3
74	и прием	2	3
75	мы не	2	3
76	с проблемой	2	3
77	в области	3	3
78	это было	2	3
79	предмет изучения	2	2
80	для этого	3	2
81	это не	3	2
82	в конце	2	2
83	как прием	2	2
84	материал как	2	2
85	в широком	2	2
86	том что	2	2
87	но это	2	2
88	должна была	2	2
89	но не	2	2
90	очевидно что	3	2
91	на первый	2	2
92	конце концов	2	2
93	поэтики на	2	2
94	этом смысле	2	2
95	художественное произведение	5	2
96	то ни	3	2
97	литературной науки	4	2
98	превращается в	2	2
99	этого термина	2	2
100	вряд ли	3	2
101	и то	3	2
102	формы и	2	2
103	между тем	2	2
104	является в	2	2
105	в искусстве	6	2
106	вопроса о	2	2
107	произведения искусства	3	2
108	в художественном	5	2
109	к сожалению	3	2
