N	2gram	Bakhtin_Fr_1	Narrotol
1	не только	10	32
2	может быть	6	25
3	но и	10	23
4	и не	22	20
5	и в	65	19
6	то есть	45	19
7	в том	16	18
8	в этом	15	17
9	в частности	5	14
10	том что	6	14
11	не в	4	14
12	то что	3	11
13	не может	3	10
14	точки зрения	7	10
15	при этом	6	9
16	так и	10	9
17	в его	9	9
18	с другой	3	8
19	не является	3	8
20	и т.п	17	8
21	в себе	3	8
22	времени и	6	7
23	как и	5	7
24	еще не	6	7
25	к тому	2	7
26	все же	6	7
27	как в	5	7
28	с одной	2	7
29	одной стороны	2	7
30	том числе	10	6
31	с его	5	6
32	что он	3	6
33	но не	2	6
34	в себя	3	6
35	в той	5	6
36	на протяжении	5	6
37	о том	2	6
38	но в	14	6
39	или иной	5	5
40	можно сказать	2	5
41	в форме	3	5
42	уже не	3	5
43	к нему	3	5
44	и его	10	5
45	в основе	8	5
46	в отличие	4	5
47	к себе	2	5
48	отличие от	5	5
49	в этой	4	5
50	далеко не	3	5
51	мира в	3	5
52	прежде всего	11	4
53	в нем	13	4
54	что не	2	4
55	же в	2	4
56	да и	2	4
57	основе своей	2	4
58	но все	3	4
59	при всей	2	4
60	связи с	4	4
61	той или	5	4
62	как бы	22	4
63	о нем	3	4
64	в особенности	2	4
65	числе и	7	4
66	сказать что	6	4
67	только в	7	4
68	и с	3	4
69	жизни в	5	3
70	что в	3	3
71	могут быть	2	3
72	никогда не	6	3
73	из этих	2	3
74	в сущности	16	3
75	хотя и	2	3
76	в ней	6	3
77	он не	2	3
78	и даже	8	3
79	из них	4	3
80	жизни и	7	3
81	в ее	3	3
82	на него	2	3
83	в эпизоде	2	3
84	особенно в	2	3
85	этом отношении	3	3
86	как мы	6	3
87	и он	2	3
88	жизни как	3	3
89	и на	11	3
90	между тем	5	3
91	по своей	3	3
92	бы быть	2	3
93	в своем	8	2
94	в противоположность	2	2
95	или даже	2	2
96	здесь и	4	2
97	от всех	3	2
98	в литературе	6	2
99	совершенно иной	2	2
100	есть в	5	2
101	между ними	4	2
102	всех его	2	2
103	в значительной	6	2
104	для него	5	2
105	они в	2	2
106	несмотря на	2	2
107	например в	2	2
108	наряду с	2	2
109	значительной степени	2	2
110	и потому	10	2
111	и др	24	2
112	даже в	3	2
113	нет и	2	2
114	приобщение к	2	2
115	при всех	2	2
116	во второй	2	2
117	время в	2	2
118	и до	4	2
119	в чужой	2	2
120	приводит к	2	2
121	смерти и	2	2
122	отношение к	4	2
123	во всей	3	2
124	как раз	3	2
125	отношения к	2	2
126	все эти	10	2
127	совершенно не	4	2
128	самом деле	3	2
129	что мы	2	2
130	одним из	2	2
131	и для	2	2
132	с точки	3	2
133	это не	3	2
134	роль в	2	2
135	в таком	2	2
136	или в	2	2
137	а иногда	2	2
138	нового времени	13	2
139	одно из	6	2
140	но как	3	2
141	и все	5	2
142	жизни но	2	2
143	его в	7	2
144	мира и	4	2
145	ничего не	3	2
146	истории и	2	2
147	и одновременно	5	2
