N	2gram	Trubetskoy_1	Istorich
1	и в	14	26
2	так как	4	18
3	никогда не	5	13
4	потому что	5	13
5	что в	4	12
6	таким образом	11	12
7	в том	17	12
8	и на	5	12
9	в этом	17	12
10	может быть	9	11
11	том что	9	10
12	и т	3	10
13	и не	19	10
14	не только	9	10
15	что он	6	9
16	еще не	3	9
17	но и	10	9
18	в нем	5	8
19	все же	4	8
20	на том	3	8
21	вместе с	4	8
22	все эти	2	8
23	с ним	2	8
24	уже не	2	7
25	мы можем	2	7
26	у него	2	7
27	о том	7	7
28	но в	2	7
29	у народов	2	6
30	этом случае	3	6
31	то что	13	6
32	мы уже	2	6
33	ее в	2	6
34	не может	22	6
35	в виде	3	6
36	и с	7	6
37	как и	4	5
38	в ней	2	5
39	в его	4	5
40	то это	3	5
41	не будет	7	5
42	то же	11	5
43	и что	2	5
44	тем что	3	5
45	в то	10	5
46	только в	5	5
47	его в	4	5
48	есть и	2	4
49	с тем	6	4
50	из этих	3	4
51	прежде всего	8	4
52	зависит от	2	4
53	но это	2	4
54	до сих	5	4
55	все что	4	4
56	как бы	4	4
57	и тем	2	4
58	что и	3	4
59	сих пор	5	4
60	на земле	4	4
61	что оно	3	4
62	и по	3	4
63	в других	2	4
64	если бы	6	3
65	в частности	2	3
66	и от	2	3
67	должна быть	2	3
68	вопрос о	5	3
69	таким же	3	3
70	так что	2	3
71	не в	4	3
72	от него	2	3
73	в качестве	3	3
74	она не	2	3
75	главным образом	3	3
76	от того	4	3
77	приводят к	2	3
78	в своей	5	3
79	из этого	3	3
80	данном случае	3	3
81	со стороны	4	3
82	а в	5	3
83	при этом	5	3
84	и вот	2	3
85	из которых	5	3
86	и наконец	2	3
87	как на	8	3
88	или в	3	3
89	в своих	6	3
90	в данном	7	3
91	и то	4	3
92	если они	2	3
93	их в	2	3
94	и только	5	3
95	приходит к	3	3
96	в себе	9	3
97	не было	3	3
98	как будто	2	3
99	и как	3	2
100	в этих	2	2
101	в своем	6	2
102	отличается от	2	2
103	с этим	2	2
104	так часто	2	2
105	на то	5	2
106	к тому	7	2
107	сводится к	3	2
108	для нас	2	2
109	по отношению	2	2
110	что они	3	2
111	одна из	3	2
112	но не	4	2
113	так же	2	2
114	было бы	5	2
115	не так	2	2
116	но для	2	2
117	всяком случае	6	2
118	но мы	3	2
119	не есть	3	2
120	на этой	2	2
121	жизни и	4	2
122	в некоторых	2	2
123	ни в	2	2
124	что же	4	2
125	целый ряд	2	2
126	борьбе с	3	2
127	точно так	2	2
128	тогда как	2	2
129	он не	5	2
130	а с	2	2
131	и сейчас	3	2
132	именно на	2	2
133	тем самым	2	2
134	а не	2	2
135	того что	3	2
136	и те	2	2
137	можно было	4	2
138	людей и	2	2
139	во всяком	9	2
140	знаем что	3	2
141	к себе	2	2
142	самого себя	7	2
143	о котором	3	2
144	мы должны	7	2
145	в этой	4	2
146	что это	3	2
147	отметить что	2	2
