N	2gram	Kanaev_Sov_1	Problema
1	и не	6	28
2	не только	4	24
3	в виде	2	22
4	в том	4	20
5	и в	7	20
6	все эти	5	16
7	у нас	3	14
8	было бы	3	14
9	точки зрения	12	14
10	или иной	2	13
11	не в	3	13
12	в нашем	2	12
13	в себе	3	12
14	прежде всего	5	11
15	с точки	5	11
16	не менее	2	10
17	тем не	2	10
18	отнюдь не	3	10
19	может быть	12	9
20	все это	3	9
21	и даже	2	9
22	в этом	7	9
23	таким образом	11	8
24	в результате	6	8
25	во всяком	2	8
26	и все	3	8
27	но в	3	8
28	это не	4	7
29	ясно что	3	7
30	еще не	3	7
31	такого рода	2	7
32	мы не	9	7
33	и потому	3	7
34	то же	3	7
35	а не	3	7
36	для нас	3	6
37	как и	6	6
38	при этом	3	6
39	в таком	2	6
40	же самое	2	6
41	каждый раз	6	5
42	в нем	3	5
43	жизни и	4	5
44	вместе с	4	5
45	то и	2	5
46	не может	17	5
47	так как	4	5
48	если мы	4	5
49	уже не	2	5
50	когда мы	3	5
51	уже в	3	4
52	времени и	2	4
53	и есть	2	4
54	и во	2	4
55	в одном	3	4
56	в этой	3	4
57	что она	3	4
58	как бы	4	4
59	всяком случае	2	4
60	отличается от	3	4
61	с этим	2	4
62	а в	4	4
63	и наконец	5	4
64	в условиях	5	3
65	и к	3	3
66	как мы	2	3
67	но все	2	3
68	совершенно не	2	3
69	в его	2	3
70	в зависимости	4	3
71	что в	2	3
72	самом деле	2	3
73	из которых	2	3
74	из них	4	3
75	мы должны	4	3
76	зависимости от	4	3
77	в области	3	3
78	мы можем	6	3
79	для его	2	2
80	между собой	3	2
81	в конце	3	2
82	нет и	4	2
83	тот или	2	2
84	тот же	2	2
85	со всеми	2	2
86	что это	2	2
87	на его	2	2
88	в самом	2	2
89	ни одна	2	2
90	только один	2	2
91	все же	3	2
92	на этой	3	2
93	не будем	2	2
94	можно назвать	2	2
95	как угодно	2	2
96	и что	2	2
97	и по	2	2
98	только так	2	2
99	говорить о	2	2
100	в два	3	2
101	в которой	2	2
102	еще более	2	2
