N	2gram	Tiupa_Lite_3	NovoeSre
1	а не	12	17
2	не может	8	16
3	и в	16	16
4	и не	22	11
5	что в	2	9
6	жизни и	3	8
7	в том	12	8
8	как и	5	7
9	в этом	14	7
10	может быть	12	7
11	с его	6	6
12	никогда не	4	6
13	не знает	2	6
14	не в	10	6
15	лишь в	5	6
16	в нем	2	5
17	в жизни	8	5
18	с ее	3	5
19	xix века	2	5
20	и к	3	5
21	не только	14	5
22	не менее	2	4
23	то что	12	4
24	жизни к	2	4
25	это не	5	4
26	мировой войны	2	4
27	быть может	2	4
28	и для	4	4
29	должно быть	4	4
30	потому что	3	4
31	прежде всего	3	4
32	о том	6	4
33	и потому	2	4
34	к жизни	2	3
35	жизни не	2	3
36	но и	14	3
37	к власти	2	3
38	в своей	7	3
39	жизни в	4	3
40	с другой	6	3
41	вопрос о	2	3
42	во всех	2	3
43	не означает	2	3
44	к тому	6	3
45	в мире	16	3
46	в ее	5	3
47	в основе	5	3
48	подобно тому	2	3
49	как в	5	3
50	еще не	6	3
51	тому как	3	3
52	жизни как	2	2
53	я не	2	2
54	все время	3	2
55	себя в	7	2
56	место в	4	2
57	жизнью в	3	2
58	вместе с	5	2
59	в природе	4	2
60	бытия в	2	2
61	все они	2	2
62	так и	9	2
63	и т.п	6	2
64	другой стороны	2	2
65	а в	5	2
66	с одной	4	2
67	свободы и	2	2
68	уже не	3	2
69	того чтобы	2	2
70	одной стороны	4	2
71	и даже	2	2
72	но не	4	2
73	ни к	3	2
74	так же	2	2
75	по существу	4	2
76	том что	8	2
77	и с	2	2
78	и на	2	2
79	в себе	6	2
80	в то	9	2
81	как будто	4	2
82	мира а	2	2
83	такого рода	10	2
84	том чтобы	2	2
85	мира и	2	2
86	как это	3	2
87	хотя и	4	2
88	но в	3	2
