N	2gram	Berdyaev_O_1	Tragedij
1	и в	19	18
2	в этом	12	9
3	в бесах	3	9
4	не только	11	8
5	он сам	4	7
6	и не	13	7
7	и на	2	7
8	и с	2	7
9	может быть	11	7
10	как бы	3	7
11	что он	3	6
12	и его	4	6
13	у него	22	6
14	но в	2	6
15	все же	2	5
16	так и	2	5
17	это не	3	5
18	не может	4	5
19	как и	6	5
20	у достоевского	19	5
21	но и	13	4
22	то что	5	4
23	что в	4	4
24	он всегда	7	4
25	все это	6	4
26	прежде всего	9	4
27	и все	10	4
28	в нем	10	4
29	том что	2	4
30	в этой	5	4
31	достоевский не	4	4
32	что достоевский	2	4
33	в себе	3	4
34	еще не	3	4
35	записках из	3	3
36	уже в	2	3
37	достоевского в	3	3
38	в своем	2	3
39	никто не	3	3
40	все эти	4	3
41	и он	8	3
42	к нему	3	3
43	должно быть	2	3
44	в его	7	3
45	для него	5	3
46	с ним	3	3
47	не имеет	2	2
48	и великий	3	2
49	не могут	3	2
50	что и	2	2
51	в душе	2	2
52	и наказании	3	2
53	зла в	2	2
54	романах достоевского	3	2
55	в самую	4	2
56	что все	2	2
57	вопрос о	10	2
58	для достоевского	5	2
59	с его	4	2
60	отношение к	5	2
61	в преступлении	4	2
62	человеческой личности	6	2
63	о его	5	2
64	он был	8	2
65	в ее	2	2
66	в том	5	2
67	до конца	7	2
68	так что	2	2
69	не в	11	2
70	мертвого дома	2	2
71	и то	2	2
72	в записках	3	2
73	потому что	9	2
74	с тем	2	2
75	тем что	2	2
76	личности и	2	2
77	и ее	3	2
78	ивана карамазова	7	2
79	о том	3	2
80	преступлении и	3	2
81	его в	2	2
82	в самом	5	2
83	ничего не	2	2
84	он не	7	2
85	из мертвого	2	2
86	никогда не	9	2
