N	3gram	Vinokur_Ku_3	Myshleni
1	в том что	8	17
2	для того чтобы	11	7
3	в отличие от	2	6
4	с одной стороны	4	5
5	можно было бы	10	5
6	тем не менее	9	5
7	в зависимости от	7	5
8	в связи с	4	5
9	что и в	2	5
10	и того же	2	4
11	смысле этого слова	2	4
12	ни в какой	2	4
13	одного и того	2	4
14	о том что	3	3
15	то обстоятельство что	3	3
16	а с другой	3	3
17	бы сказать что	3	3
18	с другой стороны	3	3
19	как мы видели	2	3
20	от того как	2	2
21	в известном смысле	2	2
22	той или иной	5	2
23	и в этом	4	2
24	так и в	3	2
25	и только после	2	2
26	точки зрения на	2	2
27	того или иного	3	2
28	только в том	2	2
29	не может быть	3	2
30	по отношению к	2	2
