N	2gram	Vinokur_Ku_2	Tvorches
1	и в	23	21
2	как бы	4	17
3	в то	4	15
4	в его	5	13
5	то же	6	13
6	что в	10	12
7	как и	2	12
8	же время	3	12
9	том что	11	11
10	все это	5	10
11	как в	3	8
12	он не	3	8
13	то что	9	8
14	у него	3	7
15	в свою	2	7
16	в том	19	7
17	тем самым	2	7
18	при этом	2	7
19	не только	20	7
20	и не	16	7
21	в году	2	7
22	и на	6	7
23	но в	11	7
24	что он	5	6
25	и все	2	6
26	не менее	7	6
27	а в	3	6
28	и его	3	6
29	в этом	18	6
30	отнюдь не	4	5
31	вовсе не	9	5
32	а не	10	5
33	но это	3	5
34	может быть	15	5
35	в этой	6	5
36	все же	7	5
37	таким образом	5	5
38	хотя бы	9	5
39	в своих	2	5
40	потому что	25	5
41	как будто	2	5
42	только в	5	5
43	в своем	2	4
44	прежде всего	8	4
45	конечном счете	2	4
46	в конечном	2	4
47	один из	5	4
48	своего рода	4	4
49	в своей	2	4
50	не может	9	4
51	это не	6	4
52	и от	2	4
53	уже в	3	3
54	никогда не	2	3
55	с другой	8	3
56	что все	5	3
57	я не	5	3
58	это в	2	3
59	это и	3	3
60	в соответствии	3	3
61	соответствии с	2	3
62	что я	4	3
63	но не	6	3
64	в самом	12	3
65	той же	2	3
66	в нем	4	3
67	и т	39	3
68	но и	7	3
69	дело не	2	3
70	достоевского и	2	3
71	в их	2	3
72	уже не	8	3
73	на самом	2	3
74	того что	3	3
75	и даже	2	3
76	и по	3	3
77	вот почему	3	3
78	так же	4	3
79	и с	7	3
80	хотя и	4	3
81	ту же	6	3
82	так как	15	3
83	ни на	2	3
84	перед нами	4	2
85	в частности	2	2
86	на том	2	2
87	в качестве	8	2
88	по крайней	6	2
89	точно так	3	2
90	одного из	2	2
91	к этому	4	2
92	в современном	2	2
93	можно сказать	4	2
94	что и	3	2
95	крайней мере	6	2
96	об этом	5	2
97	не в	8	2
98	иными словами	8	2
99	того же	3	2
100	до конца	3	2
101	в нашей	4	2
102	тот же	5	2
103	к тому	4	2
104	следовало бы	2	2
105	по преимуществу	2	2
106	в ней	3	2
107	же и	2	2
108	себе не	2	2
109	был бы	2	2
110	гораздо более	3	2
111	и тем	5	2
112	тем не	6	2
113	наше время	2	2
114	вместе с	5	2
115	данном случае	2	2
116	так и	4	2
117	приводит к	5	2
118	в наше	2	2
119	вряд ли	4	2
120	и далее	2	2
121	в отличие	2	2
122	что для	2	2
123	именно в	3	2
124	что она	3	2
125	но только	4	2
126	здесь мы	2	2
127	самом деле	9	2
128	что не	6	2
129	и у	2	2
130	для этой	2	2
131	отличие от	2	2
132	или в	4	2
133	сказать что	4	2
134	могут быть	4	2
135	в данном	4	2
136	т п	24	2
137	о котором	2	2
138	не знает	3	2
139	не то	2	2
140	в виду	3	2
