N	2gram	Vygotskiy__3	OGranits
1	и в	38	13
2	и его	6	12
3	не может	7	8
4	и не	10	8
5	может быть	19	8
6	точки зрения	16	7
7	в его	5	7
8	таким образом	12	6
9	не только	12	6
10	то что	35	6
11	только в	4	6
12	как бы	14	6
13	все же	8	5
14	с точки	9	5
15	хотя бы	2	5
16	и наконец	2	5
17	то же	10	4
18	но мы	2	4
19	в своей	5	4
20	все это	3	4
21	еще и	2	4
22	в двух	9	4
23	мы не	5	4
24	мы можем	7	4
25	слов и	2	4
26	было бы	12	4
27	но в	3	4
28	и уже	2	3
29	что в	20	3
30	никогда не	4	3
31	но и	5	3
32	что же	2	3
33	и все	10	3
34	в одном	8	3
35	здесь мы	4	3
36	со всей	3	3
37	самом деле	21	3
38	в ее	7	3
39	как и	8	3
40	не в	12	3
41	в которой	5	3
42	и то	8	3
43	одно и	3	3
44	в себе	4	3
45	с этим	8	3
46	и для	4	3
47	так как	6	3
48	и этот	3	2
49	с этой	2	2
50	самого начала	6	2
51	и тем	3	2
52	в нем	4	2
53	ее в	4	2
54	в целом	4	2
55	который мы	3	2
56	данном случае	2	2
57	а не	7	2
58	что эта	4	2
59	думать что	2	2
60	другой стороны	5	2
61	с другой	7	2
62	от своего	2	2
63	в них	3	2
64	а в	7	2
65	с одной	6	2
66	в течение	4	2
67	в полном	2	2
68	все эти	4	2
69	вовсе не	8	2
70	конечно в	3	2
71	материалом для	2	2
72	в тех	4	2
73	с самого	6	2
74	к тому	6	2
75	и к	3	2
76	как в	4	2
77	если бы	14	2
78	в общем	2	2
79	не имеет	6	2
80	в том	25	2
81	в которую	2	2
82	так же	2	2
83	не мог	4	2
84	том что	14	2
85	мы видим	12	2
86	в своих	4	2
87	в данном	2	2
88	что они	4	2
89	в этом	13	2
90	тем что	3	2
91	между тем	7	2
92	и следовательно	2	2
93	при этом	4	2
94	и ее	2	2
95	для него	2	2
96	в другом	5	2
97	тот же	3	2
98	одной стороны	5	2
99	и может	2	2
100	несмотря на	5	2
101	мы уже	7	2
102	в самом	25	2
103	имеет место	2	2
104	которое мы	3	2
105	там где	6	2
106	бы в	3	2
107	в ней	15	2
