N	3gram	Losev_Vesc_1	Problema
1	о том что	4	9
2	с точки зрения	3	8
3	в том что	4	8
4	в конце концов	2	6
5	с другой стороны	2	5
6	тем не менее	3	5
7	по крайней мере	4	4
8	можно сказать что	3	3
9	и то что	3	3
10	может быть только	3	3
11	не что иное	7	3
12	только тогда когда	2	3
13	что иное как	7	3
14	с одной стороны	3	3
15	в данном случае	2	2
16	то и другое	4	2
17	на то что	2	2
18	бы то ни	4	2
19	дело в том	2	2
20	во всяком случае	2	2
21	потому что они	3	2
22	не может быть	6	2
23	равно как и	2	2
24	но даже и	2	2
25	для того чтобы	2	2
