N	2gram	Losev_Vesc_1	Problemy
1	и в	21	35
2	как бы	12	31
3	и не	29	27
4	в его	2	21
5	но в	5	19
6	не может	17	18
7	к себе	4	18
8	как и	8	18
9	в нем	2	16
10	то же	6	15
11	с самим	4	15
12	и все	5	15
13	но и	18	14
14	для него	4	14
15	может быть	16	14
16	все это	5	14
17	в сущности	4	14
18	и его	2	14
19	в этом	4	14
20	что я	24	13
21	прежде всего	9	12
22	и с	8	12
23	в другом	2	12
24	в то	3	11
25	слова и	5	11
26	не в	5	10
27	самом деле	4	10
28	не только	36	10
29	то что	27	10
30	в отношении	4	9
31	самим собою	2	9
32	я не	4	8
33	так и	3	8
34	себя и	4	8
35	потому что	16	8
36	мы уже	3	8
37	все же	4	8
38	как мы	4	8
39	и для	9	8
40	я сам	3	7
41	себя самого	2	7
42	а в	4	7
43	точки зрения	5	7
44	с ним	8	7
45	вовсе не	10	7
46	еще не	8	7
47	для себя	5	7
48	что же	8	7
49	таким образом	8	7
50	слова в	2	6
51	что в	9	6
52	к тому	3	6
53	но это	10	6
54	что они	6	6
55	и что	15	6
56	у меня	3	6
57	в самом	9	6
58	что у	5	6
59	в одном	2	6
60	но не	5	6
61	в слове	2	6
62	на меня	3	6
63	только в	14	6
64	с собою	6	5
65	в конце	2	5
66	в том	8	5
67	да и	3	5
68	так что	5	5
69	знает и	2	5
70	как к	4	5
71	и даже	6	5
72	с ними	3	5
73	когда я	5	5
74	и то	10	5
75	в себе	14	5
76	и это	14	5
77	но на	2	4
78	никогда не	2	4
79	с другой	6	4
80	всяком случае	2	4
81	и вот	2	4
82	но он	2	4
83	той или	2	4
84	ведь и	5	4
85	его в	2	4
86	так как	7	4
87	бы в	5	4
88	у него	2	4
89	как раз	9	4
90	по себе	13	4
91	меня не	2	4
92	так чтобы	2	4
93	тот же	3	4
94	и делает	2	4
95	в своей	5	4
96	только на	3	4
97	в той	3	4
98	а не	19	4
99	что не	5	4
100	и у	3	4
101	и без	3	4
102	во всяком	3	4
103	тем что	2	4
104	я в	2	4
105	что это	13	4
106	в чем	6	4
107	то ни	4	3
108	и от	3	3
109	ни было	4	3
110	это я	4	3
111	и кто	2	3
112	знает что	2	3
113	в виду	2	3
114	с ее	6	3
115	бы то	4	3
116	из них	4	3
117	другой стороны	2	3
118	его и	2	3
119	ее как	2	3
120	все эти	3	3
121	к одному	3	3
122	но только	3	3
123	того что	8	3
124	должно быть	6	3
125	это не	5	3
126	сказать что	17	3
127	и во	3	3
128	даже и	4	3
129	говорить о	6	3
130	мы должны	2	3
131	а так	2	3
132	себя как	2	3
133	или как	2	3
134	в котором	3	3
135	с тем	5	3
136	с этим	3	3
137	в ее	7	3
138	это и	6	3
139	том что	8	3
140	одно и	5	3
141	было бы	14	3
142	во всех	2	3
143	конце концов	2	3
144	что и	3	3
145	обойтись без	2	3
146	только что	2	3
147	а с	3	3
148	сводится к	2	3
149	уже не	9	3
150	только с	3	3
151	ничего не	3	3
152	не менее	3	2
153	что вы	3	2
154	и внешнего	2	2
155	тому что	2	2
156	для этого	4	2
157	вообще не	2	2
158	с этой	4	2
159	что все	2	2
160	что на	2	2
161	без всякого	4	2
162	из его	2	2
163	на этом	2	2
164	но что	2	2
165	со своим	7	2
166	хотя и	4	2
167	мог бы	5	2
168	в своем	6	2
169	что оно	8	2
170	не просто	19	2
171	я хочу	5	2
172	и тут	3	2
173	есть только	7	2
174	тому как	4	2
175	но для	2	2
176	их в	3	2
177	в ней	12	2
178	к ней	2	2
179	теперь же	2	2
180	что тут	6	2
181	по своей	2	2
182	ни на	3	2
183	но ведь	2	2
184	о том	6	2
185	в первом	2	2
186	слово в	2	2
187	я и	6	2
188	вне себя	2	2
189	в жизни	3	2
190	этих двух	2	2
191	с собой	2	2
192	а затем	2	2
193	и того	2	2
194	то в	4	2
195	если я	6	2
196	ли это	7	2
197	но именно	2	2
198	когда она	4	2
199	мы говорили	2	2
200	внутреннего и	4	2
201	как можно	3	2
202	и этот	2	2
203	но уже	3	2
204	себя в	10	2
205	бы и	5	2
206	все равно	2	2
207	слово и	4	2
208	и как	8	2
209	хотя бы	6	2
210	с точки	3	2
211	той же	2	2
212	самое главное	2	2
213	или в	2	2
214	можно было	2	2
215	с другими	8	2
216	не случайно	2	2
217	мы можем	4	2
218	сам по	3	2
219	подобно тому	4	2
220	и самое	2	2
