N	3gram	Losev_Prob_2	Psycholo
1	в том что	4	17
2	для того чтобы	2	13
3	в самом деле	2	11
4	заключается в том	2	10
5	не может быть	3	8
6	то же самое	5	6
7	на то что	4	6
8	до сих пор	4	5
9	на самом деле	2	5
10	только в том	4	4
11	в данном случае	5	4
12	о том что	14	4
13	и той же	2	4
14	в том случае	2	4
15	можно было бы	2	4
16	одной и той	2	4
17	тем не менее	12	4
18	сами по себе	2	3
19	то что она	2	3
20	в конце концов	7	3
21	само по себе	2	3
22	точно так же	3	3
23	как только мы	2	2
24	это значит что	3	2
25	бы то ни	2	2
26	том что в	2	2
27	во всяком случае	10	2
28	ни в каком	4	2
29	подобно тому как	2	2
30	в то же	4	2
31	и то что	7	2
32	в этой области	3	2
33	и т д	6	2
34	это то что	4	2
35	того или иного	5	2
36	с другой стороны	5	2
