N	2gram	Medvedev_V_1	Istorich
1	т е	18	29
2	что он	4	24
3	и т	23	19
4	не только	25	18
5	т д	14	18
6	может быть	22	17
7	никогда не	4	15
8	и в	26	15
9	мы имеем	3	15
10	но и	10	14
11	так же	3	13
12	что в	10	12
13	знаем что	2	12
14	а в	3	12
15	то что	6	12
16	об этом	9	11
17	мы знаем	3	11
18	и не	19	11
19	в этом	26	11
20	что они	3	10
21	его в	3	10
22	то же	10	10
23	с тем	3	9
24	еще не	2	9
25	все же	5	9
26	в другом	2	9
27	связи с	4	8
28	один из	5	8
29	он не	2	8
30	том что	8	7
31	в нем	6	7
32	вместе с	7	7
33	таким образом	31	7
34	не в	6	7
35	связана с	2	6
36	в его	14	6
37	как бы	5	6
38	то это	2	6
39	что и	3	6
40	в том	15	6
41	только в	7	6
42	но в	2	6
43	и есть	5	5
44	с этим	3	5
45	прежде всего	13	5
46	в одном	4	5
47	к тому	4	5
48	она не	3	5
49	было бы	7	5
50	же как	2	5
51	в котором	3	5
52	так и	5	5
53	что она	2	5
54	что при	2	5
55	не может	17	5
56	в связи	3	5
57	а не	7	5
58	и наконец	2	5
59	можно было	2	5
60	с одной	2	4
61	и др	9	4
62	у него	6	4
63	в этой	4	4
64	в ней	2	4
65	после этого	2	4
66	они должны	2	4
67	они не	2	4
68	три года	2	4
69	в себе	6	4
70	все эти	6	4
71	всех этих	2	3
72	видели что	3	3
73	в качестве	11	3
74	и его	6	3
75	из этих	7	3
76	как это	12	3
77	одной стороны	2	3
78	между прочим	2	3
79	же и	2	3
80	о том	10	3
81	отношению к	7	3
82	когда он	3	3
83	в их	5	3
84	все это	10	3
85	по отношению	7	3
86	того что	3	3
87	роль в	4	3
88	тому как	2	3
89	в работе	3	3
90	подобно тому	2	3
91	он и	2	3
92	что мы	2	3
93	как он	2	3
94	на вопрос	2	2
95	во время	3	2
96	зависит от	2	2
97	не было	7	2
98	и социальной	2	2
99	могут быть	5	2
100	перед нами	4	2
101	с другой	11	2
102	это не	7	2
103	не столько	2	2
104	но с	2	2
105	в жизни	2	2
106	главным образом	7	2
107	о его	2	2
108	что у	2	2
109	а затем	2	2
110	именно в	2	2
111	в основном	5	2
112	по существу	3	2
113	как и	7	2
114	мы видели	3	2
115	в силу	11	2
116	является не	4	2
117	одна из	4	2
118	но не	2	2
119	ни один	7	2
120	в нашей	4	2
121	и может	2	2
122	того чтобы	3	2
123	например в	3	2
124	и для	2	2
125	хотя бы	19	2
126	ее в	4	2
127	только у	2	2
128	из них	9	2
129	во всех	6	2
130	и их	3	2
131	приводит к	5	2
132	показывают что	3	2
133	другой стороны	8	2
134	человека в	2	2
135	в системе	2	2
136	и по	3	2
137	его не	3	2
138	другом месте	2	2
139	или в	3	2
140	с другими	2	2
141	с ними	4	2
142	в которых	3	2
143	сказать что	5	2
144	также что	2	2
145	и ее	4	2
146	это только	4	2
147	будто бы	2	2
148	при помощи	3	2
149	самый факт	2	2
150	так сказать	2	2
151	в особенности	2	2
152	иметь в	2	2
153	их в	6	2
154	только с	2	2
155	в которой	2	2
156	в виду	4	2
