N	2gram	Berdyaev_N_1	Narrotol
1	не только	5	31
2	но и	3	27
3	и не	11	23
4	может быть	7	15
5	как и	7	13
6	а не	17	13
7	а в	2	13
8	в этом	7	12
9	и в	16	11
10	такого рода	2	10
11	времени и	2	9
12	то что	4	9
13	в том	8	8
14	и т.п	2	8
15	не может	16	8
16	уже не	2	8
17	у него	2	7
18	том что	2	7
19	на протяжении	2	7
20	но в	2	7
21	к тому	3	6
22	не в	6	6
23	жизни и	8	6
24	в себе	2	6
25	в своей	3	5
26	так и	2	5
27	и на	2	5
28	потому что	4	5
29	с его	6	4
30	никогда не	6	4
31	но не	2	4
32	прежде всего	4	4
33	еще не	3	4
34	в ней	5	4
35	в нем	5	4
36	в мире	3	4
37	как в	3	4
38	того чтобы	2	4
39	истории в	5	4
40	хотя и	2	4
41	в то	2	4
42	о том	4	4
43	одна из	2	4
44	не существует	3	3
45	истории не	3	3
46	не менее	4	3
47	тому как	3	3
48	что в	9	3
49	это не	4	3
50	в жизни	5	3
51	но для	2	3
52	он не	8	3
53	в центре	2	3
54	не было	4	3
55	лишь в	6	3
56	мы не	2	3
57	и с	2	3
58	подобно тому	3	3
59	как будто	2	3
60	и все	4	3
61	как это	2	3
62	зависит от	2	2
63	с ее	5	2
64	к ее	3	2
65	по своему	4	2
66	она не	3	2
67	к ним	3	2
68	к жизни	3	2
69	не имеет	4	2
70	хотя бы	2	2
71	себя в	2	2
72	не будет	7	2
73	вместе с	2	2
74	другой стороны	2	2
75	жизни в	3	2
76	не могла	2	2
77	который в	2	2
78	и даже	2	2
79	времени в	2	2
80	жизни как	2	2
81	с другой	3	2
82	и для	4	2
83	роль в	2	2
84	сказать что	3	2
85	и от	2	2
86	более не	2	2
87	это было	3	2
