N	2gram	Propp_Isto_4	Psycholo
1	и в	26	38
2	то что	16	35
3	в том	3	25
4	что в	14	20
5	может быть	14	19
6	и что	5	18
7	на то	3	16
8	что она	3	16
9	если бы	2	14
10	том что	3	14
11	как бы	3	14
12	и т	27	14
13	потому что	6	14
14	в этой	2	13
15	совершенно ясно	2	13
16	в этом	7	13
17	мы видим	6	12
18	было бы	2	12
19	не только	15	12
20	мы увидим	3	12
21	таким образом	10	12
22	не в	5	12
23	что он	10	11
24	что это	2	10
25	то же	8	10
26	же самое	2	10
27	и не	9	10
28	и все	2	10
29	увидим что	2	9
30	все же	9	8
31	с тем	2	8
32	перед нами	3	8
33	с этим	2	8
34	в одном	5	8
35	вовсе не	4	8
36	для нас	3	8
37	как и	7	8
38	так что	2	8
39	и как	5	8
40	говорит что	2	8
41	видим что	2	8
42	и то	6	8
43	с другой	4	7
44	а не	6	7
45	мы можем	6	7
46	не может	6	7
47	что у	3	7
48	как мы	5	7
49	а в	8	7
50	мы уже	5	7
51	из них	2	6
52	и здесь	5	6
53	мы видели	6	6
54	до сих	5	6
55	она не	3	6
56	и если	3	6
57	не имеет	3	6
58	указывает на	4	6
59	он не	7	6
60	так как	9	6
61	он говорит	2	6
62	как это	3	6
63	и его	10	6
64	и на	2	6
65	в которых	4	6
66	о том	4	6
67	там где	3	6
68	должна быть	2	5
69	в своем	2	5
70	на этом	2	5
71	в своей	4	5
72	вместе с	6	5
73	но и	12	5
74	сих пор	5	5
75	другой стороны	4	5
76	к которым	5	5
77	или в	3	5
78	в другом	5	5
79	в его	5	5
80	никогда не	2	4
81	что эта	3	4
82	в тех	4	4
83	что они	6	4
84	при этом	3	4
85	когда он	6	4
86	конечно не	2	4
87	не мог	3	4
88	в нем	2	4
89	что и	9	4
90	с той	2	4
91	в целом	2	4
92	как в	7	4
93	т д	24	4
94	все эти	3	4
95	при помощи	10	4
96	здесь мы	2	4
97	того что	2	4
98	из которых	5	4
99	и даже	4	4
100	что этот	4	4
101	сказать что	2	4
102	у него	5	4
103	только в	3	4
104	одна из	2	4
105	в себе	2	4
106	из этих	3	3
107	главным образом	2	3
108	к этому	5	3
109	указать на	3	3
110	ни в	2	3
111	но это	3	3
112	интересно что	4	3
113	наряду с	3	3
114	не к	2	3
115	все это	2	3
116	и только	5	3
117	такое же	4	3
118	по его	2	3
119	к ним	2	3
120	и тем	2	3
121	того как	4	3
122	тем что	5	3
123	на это	2	3
124	его в	9	3
125	здесь не	4	3
126	но в	5	3
127	в данном	3	2
128	не могут	2	2
129	и более	3	2
130	видели что	3	2
131	к своему	3	2
132	что образ	2	2
133	и другие	3	2
134	в этих	7	2
135	смысле этого	2	2
136	хотя бы	2	2
137	так например	2	2
138	с этой	2	2
139	и во	2	2
140	этот случай	9	2
141	показывает что	10	2
142	только что	3	2
143	же в	3	2
144	уже не	5	2
145	у нас	2	2
146	по существу	3	2
147	в силу	5	2
148	есть в	2	2
149	что здесь	7	2
150	мы читаем	2	2
151	от своего	3	2
152	том как	2	2
153	например в	3	2
154	должен был	3	2
155	но он	4	2
156	большей частью	3	2
157	указывают на	2	2
158	но мы	3	2
159	то это	5	2
160	он может	2	2
161	дело не	2	2
162	данном случае	3	2
163	говорит о	2	2
164	так же	18	2
165	в одной	3	2
166	в виде	2	2
167	не просто	4	2
168	и вот	2	2
169	мы рассмотрим	7	2
170	и по	5	2
171	есть только	3	2
172	в качестве	7	2
173	вор и	3	2
174	а у	2	2
175	их в	7	2
176	он в	4	2
177	или от	2	2
178	это же	2	2
179	к себе	3	2
180	представляет собой	2	2
181	в истории	2	2
182	чтобы он	2	2
183	его к	3	2
184	этого слова	2	2
185	в русской	3	2
186	представляют собой	4	2
187	к этой	3	2
188	ничего не	5	2
189	могло бы	2	2
190	и действительно	3	2
