N	2gram	Medvedev_U_1	Problemy
1	и в	14	43
2	и не	8	29
3	может быть	6	23
4	не может	7	18
5	но и	4	14
6	как и	3	14
7	в этом	7	13
8	что он	2	13
9	не в	2	11
10	по себе	2	11
11	не только	10	11
12	прежде всего	8	10
13	но в	3	10
14	в его	2	10
15	для него	3	8
16	то же	5	8
17	до сих	2	7
18	в самом	2	7
19	в то	3	7
20	то что	7	7
21	сих пор	2	7
22	а не	10	7
23	в том	2	6
24	не как	3	6
25	же время	3	5
26	все это	5	5
27	таким образом	2	5
28	и с	2	5
29	но не	2	5
30	было бы	3	5
31	самом деле	2	5
32	в себе	2	5
33	не могут	2	4
34	с другой	4	4
35	но это	2	4
36	а как	2	4
37	с его	2	4
38	в своей	3	4
39	мы не	2	4
40	как раз	2	4
41	только в	2	4
42	же не	2	4
43	должна быть	2	3
44	это не	3	3
45	в их	4	3
46	и только	5	3
47	в художественном	5	3
48	художественном творчестве	2	3
49	между тем	2	3
50	если бы	2	3
51	по существу	2	3
52	что и	2	3
53	все же	3	3
54	другой стороны	3	3
55	и для	2	3
56	ничего не	2	3
57	тем что	2	3
58	могут быть	2	3
59	в сторону	2	2
60	его и	2	2
61	в конце	2	2
62	мы и	2	2
63	художественного творчества	5	2
64	что такое	4	2
65	и является	2	2
66	для этого	3	2
67	установку на	2	2
68	именно как	2	2
69	ни было	3	2
70	превращается в	2	2
71	этом смысле	2	2
72	но конечно	2	2
73	у нас	3	2
74	конечно не	4	2
75	конце концов	2	2
76	не есть	2	2
77	бы и	2	2
78	том что	2	2
79	хотя бы	5	2
80	и то	3	2
81	а между	2	2
