N	2gram	Medvedev_V_1	VelikijI
1	и не	19	20
2	и в	26	16
3	то что	6	9
4	еще не	2	8
5	что они	3	7
6	и потому	2	7
7	а не	7	7
8	человека и	3	6
9	хотя и	2	5
10	как бы	5	5
11	но и	10	5
12	все это	10	5
13	того что	3	5
14	и есть	5	4
15	что все	3	4
16	в образе	2	4
17	что он	4	4
18	в нем	6	4
19	как и	7	4
20	что мы	2	4
21	в котором	3	4
22	так и	5	4
23	что не	3	4
24	в этом	26	4
25	в ней	2	4
26	говорить о	2	4
27	в его	14	4
28	с его	3	3
29	что в	10	3
30	по этому	9	3
31	в них	4	3
32	в конце	3	3
33	в жизни	2	3
34	в том	15	3
35	не в	6	3
36	к тому	4	3
37	во всех	6	3
38	никогда не	4	3
39	то это	2	3
40	что и	3	3
41	жизни и	3	3
42	в своей	4	3
43	бы и	6	3
44	тому что	6	3
45	не было	7	3
46	лишь в	2	3
47	хотя бы	19	3
48	и для	2	3
49	должно быть	2	3
50	их в	6	3
51	все эти	6	3
52	в чем	2	3
53	но в	2	3
54	не могут	7	2
55	с тем	3	2
56	это не	7	2
57	прежде всего	13	2
58	том что	8	2
59	одна из	4	2
60	но не	2	2
61	в последнем	2	2
62	это мы	3	2
63	для него	8	2
64	того чтобы	3	2
65	вслед за	2	2
66	не только	25	2
67	нет и	3	2
68	один из	5	2
69	и т	23	2
70	ее в	4	2
71	в форме	3	2
72	т д	14	2
73	вот почему	4	2
74	его не	3	2
75	а в	3	2
76	можно было	2	2
77	между тем	5	2
78	могут быть	5	2
79	самого себя	2	2
80	только в	7	2
