N	2gram	Vinokur_Ku_2	DiskursI
1	при этом	2	17
2	состоит в	2	16
3	в качестве	8	16
4	и в	23	16
5	может быть	15	16
6	как и	2	16
7	в этом	18	16
8	и не	16	15
9	а не	10	14
10	в частности	2	12
11	в отличие	2	12
12	отличие от	2	12
13	но и	7	11
14	но в	11	11
15	том что	11	10
16	не только	20	10
17	своего рода	4	10
18	со стороны	4	10
19	так и	4	9
20	не может	9	9
21	в том	19	8
22	а также	3	8
23	как в	3	8
24	не менее	7	7
25	прежде всего	8	7
26	в нем	4	7
27	ни в	4	7
28	но не	6	7
29	в данном	4	7
30	отнюдь не	4	6
31	еще не	5	6
32	все же	7	6
33	в своей	2	6
34	данном случае	2	6
35	то же	6	6
36	тем самым	2	6
37	в своих	2	6
38	ни к	15	5
39	что в	10	5
40	в своем	2	5
41	с другой	8	5
42	же время	3	5
43	то что	9	5
44	и на	6	5
45	в то	4	5
46	одного из	2	4
47	к этому	4	4
48	в пределах	4	4
49	как бы	4	4
50	этом отношении	3	4
51	с одной	2	4
52	роль в	2	4
53	потому что	25	4
54	точки зрения	14	4
55	в этой	6	4
56	и то	5	4
57	перед нами	4	3
58	могут быть	4	3
59	в них	4	3
60	это не	6	3
61	и все	2	3
62	уже не	8	3
63	не в	8	3
64	соответствии с	2	3
65	можно сказать	4	3
66	он не	3	3
67	в его	5	3
68	для данного	2	3
69	приводит к	5	3
70	не было	4	3
71	все эти	12	3
72	также и	5	3
73	и его	3	3
74	но это	3	3
75	в другом	2	3
76	не знает	3	3
77	как будто	2	3
78	только в	5	3
79	не следует	5	3
80	же как	2	2
81	по словам	2	2
82	никогда не	2	2
83	это в	2	2
84	или иного	2	2
85	этом случае	2	2
86	что на	4	2
87	в той	2	2
88	что он	5	2
89	в соответствии	3	2
90	есть в	3	2
91	того же	3	2
92	должна быть	5	2
93	свое время	2	2
94	в ней	3	2
95	в свое	2	2
96	что и	3	2
97	с точки	8	2
98	с той	2	2
99	но уже	2	2
100	наше время	2	2
101	слова не	3	2
102	вместе с	5	2
103	что же	5	2
104	в языке	10	2
105	не на	2	2
106	именно в	3	2
107	по преимуществу	2	2
108	сводится к	3	2
109	все это	5	2
110	не более	2	2
111	другой стороны	7	2
112	речи в	6	2
113	и для	2	2
114	должно быть	4	2
115	а в	3	2
116	той же	2	2
117	в наше	2	2
118	в результате	4	2
119	и с	7	2
120	говорить о	4	2
121	отсюда и	2	2
122	и это	3	2
123	на примере	2	2
124	здесь не	3	2
125	но здесь	2	2
126	в области	11	2
127	мы имеем	5	2
128	между тем	6	2
