N	2gram	Propp_Russ_1	EvropaiE
1	и в	36	37
2	точки зрения	3	23
3	что в	19	21
4	не только	22	18
5	с точки	3	17
6	то же	3	15
7	в своем	3	14
8	в качестве	3	14
9	но и	16	14
10	и не	6	14
11	но в	2	14
12	в этом	12	12
13	в их	4	11
14	в том	17	11
15	в области	3	11
16	так и	7	10
17	отнюдь не	2	9
18	не может	4	9
19	т е	17	9
20	только в	4	9
21	так же	3	9
22	западной европы	3	9
23	думать что	3	8
24	к тому	4	8
25	между тем	7	8
26	как и	10	7
27	между прочим	2	7
28	того что	4	7
29	а также	3	7
30	так как	15	7
31	том что	19	6
32	может быть	8	6
33	как бы	5	6
34	то что	6	6
35	во всех	4	6
36	и на	10	6
37	то есть	3	6
38	в частности	2	5
39	но не	2	5
40	как мы	10	5
41	в течение	5	5
42	и по	8	5
43	в виде	6	5
44	в россии	4	5
45	и потому	2	5
46	западной европе	2	4
47	независимо от	2	4
48	но даже	2	4
49	чем в	2	4
50	несмотря на	3	4
51	в ней	2	4
52	к ней	2	4
53	для нас	6	4
54	не на	2	4
55	мы не	6	4
56	не имеет	6	4
57	во многих	5	4
58	как это	8	4
59	и к	3	3
60	с тем	8	3
61	в них	6	3
62	на себя	2	3
63	от них	3	3
64	представляет собой	4	3
65	мы можем	2	3
66	в свою	3	3
67	в прошлом	2	3
68	свой народ	2	3
69	из них	8	3
70	что и	7	3
71	когда он	2	3
72	как в	5	3
73	до г	2	3
74	она в	3	3
75	и некоторые	3	3
76	народ и	2	3
77	и для	2	3
78	к ним	3	3
79	в которых	5	3
80	потому что	10	3
81	тем что	4	3
82	о том	8	3
83	там где	2	3
84	большинстве случаев	2	3
85	и более	2	2
86	для них	3	2
87	относятся к	2	2
88	европы в	2	2
89	а не	2	2
90	в этих	3	2
91	в какой	2	2
92	не означает	2	2
93	с в	4	2
94	с этим	2	2
95	в большинстве	2	2
96	в одном	3	2
97	представление о	3	2
98	главным образом	2	2
99	что на	4	2
100	рождества христова	6	2
101	и как	2	2
102	в силу	2	2
103	такой же	2	2
104	свою очередь	2	2
105	приводит нас	2	2
106	не можем	3	2
107	что это	3	2
108	она не	2	2
109	имеет место	2	2
110	русских и	2	2
111	нас к	2	2
112	в его	2	2
113	если в	3	2
114	как не	2	2
115	в некоторых	4	2
116	вместе с	10	2
117	а в	9	2
118	таким образом	6	2
119	начиная с	3	2
120	и других	7	2
121	и что	4	2
122	на этот	3	2
123	в других	11	2
124	мы видим	2	2
125	или в	2	2
126	в своих	2	2
127	этот вопрос	2	2
128	и с	2	2
129	хотя и	2	2
130	могут быть	2	2
131	как будто	5	2
132	мы должны	2	2
133	далеко не	3	2
134	между собой	2	2
135	и поэтому	2	2
136	также в	3	2
