N	2gram	Bakhtin_KF_1	Sovremen
1	не может	27	17
2	точки зрения	12	12
3	может быть	45	12
4	мы не	3	9
5	в каждом	3	8
6	в этом	14	7
7	и в	24	7
8	и не	26	6
9	как и	5	6
10	ничего не	3	6
11	прежде всего	2	5
12	все эти	10	5
13	с точки	9	5
14	как бы	9	4
15	нет и	3	4
16	в целом	10	4
17	жизни и	8	4
18	это не	10	4
19	а в	4	4
20	вопрос о	2	4
21	не только	5	4
22	в том	6	4
23	все же	5	3
24	мы получим	2	3
25	отнюдь не	6	3
26	он может	2	3
27	может не	2	3
28	все это	10	3
29	то же	5	3
30	ясно что	3	3
31	в нем	28	3
32	а не	17	3
33	для нас	4	3
34	не в	12	3
35	в этой	2	3
36	еще не	4	3
37	а все	3	3
38	при этом	4	3
39	было бы	8	3
40	и т.д	2	3
41	и мы	2	3
42	в одном	4	3
43	и все	7	3
44	в себе	21	3
45	в области	2	3
46	но в	5	3
47	и потому	2	3
48	совершенно не	6	2
49	может иметь	2	2
50	что это	3	2
51	не менее	3	2
52	и есть	9	2
53	в виде	2	2
54	и именно	2	2
55	быть и	3	2
56	принципиально не	2	2
57	еще более	2	2
58	уже не	7	2
59	в свою	3	2
60	может дать	3	2
61	или иной	2	2
62	самом деле	3	2
63	и пр	3	2
64	из которых	2	2
65	к чему	3	2
66	тем не	2	2
67	конечно в	2	2
68	то ни	2	2
69	но все	5	2
70	времени и	4	2
71	могут быть	3	2
72	что в	4	2
73	не дает	3	2
74	говорить о	2	2
75	со всеми	2	2
76	которой он	2	2
77	ни одна	2	2
78	в его	40	2
