N	2gram	Propp_Russ_1	EvropaiC
1	таким образом	6	32
2	в том	17	31
3	и в	36	24
4	том что	19	20
5	все эти	2	19
6	не может	4	18
7	то что	6	17
8	может быть	8	15
9	все же	5	15
10	точки зрения	3	13
11	в своем	3	12
12	в этом	12	12
13	все это	6	11
14	между тем	7	11
15	с этим	2	11
16	как бы	5	10
17	во всех	4	10
18	так и	7	10
19	при этом	6	9
20	как и	10	9
21	что в	19	9
22	так же	3	8
23	чем у	2	8
24	а и	5	8
25	с точки	3	8
26	не менее	3	7
27	для этого	2	7
28	к тому	4	7
29	но и	16	7
30	и не	6	7
31	и что	4	7
32	из этих	4	7
33	о том	8	7
34	по существу	4	7
35	в силу	2	7
36	на самом	2	7
37	так что	2	6
38	несмотря на	3	6
39	того что	4	6
40	и на	10	6
41	так как	15	6
42	с ним	2	6
43	еще не	4	6
44	что и	7	6
45	тогда как	2	6
46	мы можем	2	6
47	только в	4	6
48	вместе с	10	6
49	что это	3	5
50	на все	2	5
51	у него	2	5
52	в целом	2	5
53	и их	4	5
54	и с	2	5
55	потому что	10	5
56	но в	2	5
57	к этому	4	5
58	и к	3	5
59	в его	2	5
60	не только	22	5
61	быть и	2	5
62	и для	2	5
63	но все	3	5
64	между двумя	2	5
65	как будто	5	5
66	далеко не	3	5
67	та же	2	4
68	этом случае	5	4
69	тем не	3	4
70	в дальнейшем	2	4
71	других народов	2	4
72	хотя и	2	4
73	из них	8	4
74	в их	4	4
75	всех этих	2	4
76	между собой	2	4
77	связи с	4	4
78	мы должны	2	4
79	том же	2	4
80	то же	3	4
81	а с	4	4
82	в течение	5	4
83	в в	2	4
84	народ и	2	4
85	и у	5	4
86	в виде	6	4
87	в области	3	4
88	но даже	2	3
89	в нашем	2	3
90	в этих	3	3
91	с в	4	3
92	представление о	3	3
93	в тех	4	3
94	для нас	6	3
95	основаны на	2	3
96	в настоящее	3	3
97	в нем	2	3
98	на этой	2	3
99	в разных	3	3
100	и других	7	3
101	и по	8	3
102	а в	9	3
103	это не	10	3
104	настоящее время	3	3
105	и потому	2	3
106	в эти	4	3
107	с тем	8	3
108	в жизни	2	3
109	таким же	3	3
110	у нас	8	3
111	чем в	2	3
112	как известно	2	3
113	что по	4	3
114	которые не	3	3
115	в связи	4	3
116	ничего общего	2	3
117	же не	2	3
118	свою очередь	2	2
119	независимо от	2	2
120	в частности	2	2
121	себя и	2	2
122	тому что	4	2
123	что у	2	2
124	что на	4	2
125	как мы	10	2
126	такой же	2	2
127	что они	7	2
128	на этом	3	2
129	в свою	3	2
130	к ним	3	2
131	в ней	2	2
132	народов европы	2	2
133	и до	2	2
134	что она	2	2
135	показывают что	2	2
136	имеет место	2	2
137	которого в	2	2
138	них в	2	2
139	и некоторые	3	2
140	к таким	3	2
141	и те	3	2
142	с ними	5	2
143	в которых	5	2
144	одно из	5	2
145	не было	2	2
146	в один	2	2
147	то есть	3	2
148	борьбы с	2	2
149	и более	2	2
150	отнюдь не	2	2
151	друг к	2	2
152	в них	6	2
153	и начало	2	2
154	одна из	4	2
155	но не	2	2
156	она не	2	2
157	свой народ	2	2
158	и из	3	2
159	между прочим	2	2
160	как не	2	2
161	на каждом	3	2
162	к другу	2	2
163	этот вопрос	2	2
164	сходство с	2	2
165	этого слова	3	2
166	и поэтому	2	2
