N	2gram	Tiupa_Anal_2	Istorich
1	и в	16	26
2	т е	2	22
3	мы имеем	3	14
4	никогда не	3	13
5	что в	2	12
6	таким образом	2	12
7	в том	12	12
8	и на	6	12
9	в этом	18	12
10	может быть	6	11
11	с другой	6	10
12	том что	12	10
13	и не	12	10
14	не только	16	10
15	еще не	2	9
16	но и	12	9
17	вместе с	2	8
18	другой стороны	2	8
19	с ним	2	8
20	превращается в	2	7
21	уже не	4	7
22	с одной	5	7
23	одной стороны	4	7
24	и его	4	7
25	у него	4	7
26	о том	7	7
27	но в	6	7
28	этом случае	4	6
29	то что	7	6
30	как в	4	6
31	не может	4	6
32	как и	14	5
33	нас к	2	5
34	в его	2	5
35	так и	15	5
36	то же	4	5
37	как это	6	5
38	тем что	3	5
39	в то	2	5
40	только в	4	5
41	его в	2	5
42	прежде всего	3	4
43	все что	2	4
44	на его	3	4
45	как бы	10	4
46	и тем	4	4
47	что и	3	4
48	как мы	3	4
49	и он	2	4
50	а также	7	4
51	одну из	2	4
52	борьбы с	3	3
53	если бы	3	3
54	в частности	16	3
55	могут быть	10	3
56	на котором	2	3
57	попадает в	3	3
58	вообще не	2	3
59	в одном	2	3
60	к этому	2	3
61	так что	3	3
62	не в	4	3
63	в качестве	11	3
64	так например	2	3
65	она не	2	3
66	еще в	2	3
67	один из	2	3
68	в своей	2	3
69	данном случае	5	3
70	что она	2	3
71	со стороны	3	3
72	а в	3	3
73	при этом	10	3
74	к своему	2	3
75	так у	4	3
76	или в	3	3
77	в данном	8	3
78	и то	3	3
79	сказать что	2	3
80	в себе	7	3
81	как будто	3	3
82	о чем	2	2
83	в этих	2	2
84	в эту	3	2
85	в своем	4	2
86	того же	4	2
87	вовсе не	2	2
88	на то	2	2
89	можно сказать	4	2
90	к тому	7	2
91	сводится к	3	2
92	он был	2	2
93	по отношению	4	2
94	но не	4	2
95	так же	2	2
96	было бы	3	2
97	и сам	3	2
98	миф и	2	2
99	не так	4	2
100	я его	2	2
101	даже в	2	2
102	не есть	2	2
103	отношению к	4	2
104	не имеет	2	2
105	на этой	2	2
106	своего рода	12	2
107	и до	2	2
108	на него	2	2
109	борьбе с	2	2
110	тогда как	19	2
111	он не	2	2
112	тем самым	4	2
113	а не	10	2
114	того что	2	2
115	можно было	3	2
116	с ними	3	2
117	что касается	3	2
118	он и	2	2
119	представляет собой	8	2
120	из его	2	2
121	в этой	9	2
122	ничего не	9	2
123	же не	2	2
