N	2gram	Vygotskiy__2	formyVre
1	и в	15	50
2	в этом	19	25
3	и его	4	16
4	прежде всего	4	15
5	и не	7	14
6	как мы	6	14
7	вовсе не	6	13
8	как раз	4	13
9	в его	2	13
10	по существу	5	12
11	так и	8	12
12	человека и	3	11
13	может быть	9	11
14	таким образом	14	11
15	мы уже	6	11
16	то же	5	11
17	и как	2	10
18	но в	6	10
19	в том	33	9
20	и др	5	9
21	все эти	3	9
22	в других	2	9
23	не только	15	9
24	с его	4	9
25	ничего не	3	9
26	в самом	11	8
27	и их	5	8
28	но и	10	8
29	как и	6	8
30	того же	3	8
31	ни в	2	8
32	для себя	3	7
33	все же	4	6
34	в частности	6	6
35	это не	5	6
36	с ее	2	6
37	в их	2	6
38	не может	9	6
39	лишь в	3	6
40	так же	4	6
41	в результате	3	6
42	так как	4	6
43	у него	2	6
44	с этим	3	6
45	и все	3	6
46	связи с	9	6
47	во всех	2	6
48	то что	20	6
49	как в	4	6
50	что в	14	5
51	не в	8	5
52	значение в	3	5
53	и до	3	5
54	в связи	6	5
55	в основе	3	5
56	точки зрения	26	5
57	но все	2	5
58	если бы	8	5
59	отнюдь не	2	5
60	но не	3	5
61	наряду с	2	5
62	он не	7	5
63	не могло	2	5
64	отношению к	5	5
65	и речи	13	5
66	того чтобы	12	5
67	для того	10	5
68	могут быть	2	5
69	том числе	3	4
70	но на	3	4
71	понятно что	2	4
72	в своем	9	4
73	своей жизни	2	4
74	в котором	2	4
75	на этой	2	4
76	все это	4	4
77	не имеет	4	4
78	потому что	7	4
79	и с	4	4
80	к себе	2	4
81	в них	4	4
82	в присутствии	2	4
83	раз в	2	4
84	в процессе	11	4
85	или как	2	4
86	и т.п	7	4
87	том что	27	4
88	и для	2	4
89	только в	4	4
90	и это	3	4
91	не могут	2	3
92	в этих	2	3
93	в отношении	6	3
94	к тому	7	3
95	при этом	3	3
96	в виду	6	3
97	по отношению	6	3
98	этом отношении	3	3
99	с одной	7	3
100	именно в	2	3
101	и других	2	3
102	но эта	3	3
103	они не	3	3
104	друг друга	5	3
105	а в	4	3
106	их в	4	3
107	сказать что	6	3
108	в начале	4	3
109	в одном	2	3
110	к этому	4	3
111	уже говорили	3	3
112	в качестве	4	3
113	одной из	3	3
114	в сущности	9	3
115	что и	2	3
116	вместе с	6	3
117	во всей	5	3
118	а не	3	3
119	мы не	10	3
120	мы видим	4	3
121	или в	3	3
122	с другими	3	3
123	нас в	2	3
124	во всяком	7	3
125	и ее	3	3
126	в себе	2	3
127	уже в	5	2
128	мы будем	3	2
129	же как	2	2
130	никогда не	8	2
131	в течение	2	2
132	точку зрения	6	2
133	с другой	6	2
134	что все	4	2
135	вопрос о	5	2
136	или иной	2	2
137	для нас	4	2
138	с их	2	2
139	числе и	3	2
140	смысле слова	5	2
141	для него	3	2
142	одной стороны	7	2
143	но для	2	2
144	в целом	10	2
145	в некоторых	2	2
146	как по	2	2
147	те же	3	2
148	мы находим	6	2
149	с помощью	5	2
150	в самой	3	2
151	на основе	7	2
152	того что	17	2
153	и даже	5	2
154	и по	3	2
155	в которых	3	2
156	также и	2	2
157	в более	2	2
158	той или	2	2
159	во всем	2	2
160	в истории	6	2
161	что мы	9	2
162	мы должны	6	2
163	как он	6	2
164	с ним	3	2
165	для всех	4	2
166	не является	9	2
167	сравнению с	5	2
168	он должен	2	2
169	в стороне	2	2
170	здесь и	3	2
171	тогда когда	5	2
172	по себе	7	2
173	стороны и	2	2
174	и к	6	2
175	об этом	3	2
176	чем в	2	2
177	во все	2	2
178	было бы	10	2
179	том же	2	2
180	к ней	2	2
181	а также	2	2
182	нет и	2	2
183	принадлежит к	2	2
184	по сравнению	5	2
185	в своей	4	2
186	как бы	7	2
187	ее в	2	2
188	в отличие	3	2
189	связь между	5	2
190	этой проблемы	2	2
191	если мы	6	2
192	и эта	2	2
193	с точки	18	2
194	речи в	6	2
195	хотя бы	4	2
196	в которой	4	2
197	той же	2	2
198	у них	2	2
199	в данном	3	2
200	от этого	2	2
201	тем что	2	2
202	всей его	2	2
203	и вообще	2	2
204	ту же	2	2
205	там где	6	2
206	отличие от	3	2
