N	2gram	Tiupa_Hudo_1	Sovremen
1	не может	7	17
2	точки зрения	5	12
3	может быть	5	12
4	мы не	2	9
5	в этом	11	7
6	и в	14	7
7	и не	2	6
8	как и	9	6
9	в результате	2	6
10	ничего не	8	6
11	что же	2	5
12	прежде всего	11	5
13	все эти	3	5
14	с точки	3	5
15	как бы	7	4
16	в целом	2	4
17	жизни и	5	4
18	это не	7	4
19	а в	7	4
20	вопрос о	2	4
21	не только	12	4
22	в том	12	4
23	из них	4	4
24	в системе	2	3
25	все же	3	3
26	отнюдь не	3	3
27	все это	2	3
28	в конце	4	3
29	то же	9	3
30	ясно что	2	3
31	в нем	3	3
32	а не	12	3
33	и к	4	3
34	не в	7	3
35	в этой	8	3
36	одна из	2	3
37	еще не	7	3
38	при этом	12	3
39	было бы	6	3
40	и все	4	3
41	как он	2	3
42	в себе	11	3
43	что она	4	3
44	но в	5	3
45	и потому	2	3
46	так сказать	2	2
47	каждого из	2	2
48	не знаем	2	2
49	не менее	5	2
50	у него	9	2
51	приводит к	3	2
52	то и	3	2
53	говорить об	2	2
54	как мы	3	2
55	уже не	7	2
56	самом деле	5	2
57	и что	2	2
58	что при	3	2
59	и даже	3	2
60	и по	3	2
61	тем не	4	2
62	мы знаем	2	2
63	той же	2	2
64	в таком	3	2
65	такой же	3	2
66	на этом	3	2
67	с этим	3	2
68	что в	6	2
69	говорить о	3	2
70	на его	2	2
71	такого рода	3	2
72	по мнению	5	2
73	в самом	4	2
74	в его	8	2
