N	2gram	Nazirov_Tv_1	Problema
1	то есть	12	46
2	в его	13	43
3	и не	7	42
4	и в	21	38
5	не может	4	27
6	может быть	5	26
7	как бы	17	22
8	отнюдь не	5	19
9	и с	3	17
10	и его	6	16
11	в нем	3	15
12	в этом	6	15
13	и т	3	14
14	прежде всего	4	13
15	только в	5	13
16	т п	2	13
17	но не	3	12
18	в их	3	10
19	таким образом	5	10
20	но и	3	9
21	не только	7	9
22	место в	3	8
23	в том	7	8
24	и как	4	8
25	то что	8	8
26	что в	12	7
27	с другой	3	7
28	не в	2	7
29	в самом	3	7
30	как и	12	7
31	в своей	4	7
32	и наконец	2	6
33	а в	6	6
34	все же	5	6
35	самом деле	2	6
36	то же	13	5
37	в своем	4	5
38	это не	4	5
39	при этом	7	5
40	никогда не	3	5
41	в основе	2	5
42	далеко не	3	5
43	с ним	3	5
44	себя как	2	5
45	не нужно	2	5
46	так и	2	5
47	в отличие	2	5
48	а не	5	5
49	могут быть	2	5
50	отличие от	2	5
51	не менее	6	4
52	на самом	3	4
53	в ней	2	4
54	в конечном	4	4
55	в виду	2	4
56	данном случае	2	4
57	сказать что	2	4
58	в то	15	4
59	о том	6	4
60	но в	7	4
61	конечном счете	4	4
62	как в	8	4
63	в романе	10	4
64	тем самым	7	4
65	что не	2	4
66	хотя бы	5	4
67	в данном	2	4
68	в себе	2	4
69	и от	4	3
70	тем не	2	3
71	его как	2	3
72	в дальнейшем	3	3
73	но это	5	3
74	же время	12	3
75	хотя и	3	3
76	и тем	2	3
77	в целом	4	3
78	все это	10	3
79	и даже	3	3
80	и на	7	3
81	а как	2	3
82	и все	6	3
83	том что	11	3
84	со всеми	3	3
85	действительности и	2	3
86	одной из	4	3
87	он не	8	3
88	приводит к	2	3
89	в мире	4	3
90	не знает	2	3
91	я не	3	2
92	и другие	3	2
93	в частности	2	2
94	в этих	2	2
95	и мир	2	2
96	что все	3	2
97	в каждом	3	2
98	можно сказать	2	2
99	в нашей	2	2
100	ибо в	2	2
101	в свою	7	2
102	и у	2	2
103	не имеют	4	2
104	в котором	6	2
105	здесь нет	2	2
106	но она	2	2
107	как к	2	2
108	человека как	2	2
109	и других	3	2
110	здесь мы	2	2
111	того что	3	2
112	действительности в	2	2
113	в своих	5	2
114	о котором	2	2
115	в россии	3	2
116	подхода к	3	2
117	в него	2	2
118	с его	11	2
119	себе не	2	2
120	к этому	2	2
121	вовсе не	5	2
122	есть не	2	2
123	что он	6	2
124	одна из	2	2
125	что и	2	2
126	не во	2	2
127	в двух	2	2
128	человека в	6	2
129	в себя	2	2
130	и он	2	2
131	или в	2	2
132	в виде	3	2
133	дело в	3	2
134	в чем	2	2
