N	2gram	Tiupa_Anal_2	KulturaY
1	т е	2	38
2	в том	12	30
3	и в	16	24
4	том что	12	21
5	что в	2	17
6	было бы	3	15
7	в этом	18	14
8	точки зрения	4	14
9	может быть	6	13
10	таким образом	2	12
11	в его	2	12
12	и не	12	12
13	не в	4	11
14	только в	4	11
15	вовсе не	2	10
16	в самом	6	10
17	не только	16	10
18	если бы	3	9
19	то что	7	9
20	прежде всего	3	9
21	отношению к	4	9
22	того что	2	9
23	с точки	2	9
24	о том	7	9
25	языка и	2	8
26	по отношению	4	8
27	то же	4	8
28	уже не	4	8
29	а не	10	8
30	как раз	4	8
31	тем что	3	8
32	не менее	4	7
33	с другой	6	7
34	в качестве	11	7
35	как бы	10	7
36	вместе с	2	7
37	не может	4	7
38	бы в	3	7
39	так и	15	7
40	именно в	3	6
41	при этом	10	6
42	на себе	3	6
43	но и	12	6
44	все это	4	6
45	другой стороны	2	6
46	можно было	3	6
47	мы имеем	3	6
48	этого рода	2	6
49	не случайно	8	6
50	по крайней	3	5
51	к тому	7	5
52	крайней мере	3	5
53	но не	4	5
54	еще не	2	5
55	этом отношении	3	5
56	а в	3	5
57	и его	4	5
58	в результате	3	5
59	между тем	2	5
60	речи и	2	5
61	с ним	2	5
62	в рамках	3	4
63	в частности	16	4
64	в этих	2	4
65	на то	2	4
66	по существу	2	4
67	есть в	3	4
68	того же	4	4
69	в пределах	9	4
70	из них	3	4
71	в таких	2	4
72	речи в	2	4
73	один из	2	4
74	что и	3	4
75	не есть	2	4
76	тем не	3	4
77	в целом	8	4
78	со стороны	3	4
79	как в	4	4
80	внимание на	2	4
81	тем самым	4	4
82	так что	3	4
83	так же	2	4
84	роль в	2	4
85	с ними	3	4
86	и на	6	4
87	в данном	8	4
88	и является	4	4
89	того или	3	4
90	казалось бы	3	3
91	уже и	2	3
92	состоит в	8	3
93	на себя	5	3
94	этом смысле	2	3
95	была бы	2	3
96	или иного	3	3
97	или иной	3	3
98	можно сказать	4	3
99	сводится к	3	3
100	ли не	2	3
101	в соответствии	2	3
102	соответствии с	2	3
103	в этой	9	3
104	в общем	2	3
105	и если	3	3
106	в сущности	4	3
107	этого слова	3	3
108	в котором	2	3
109	даже в	2	3
110	не с	4	3
111	на его	3	3
112	что она	2	3
113	в своем	4	3
114	в их	3	3
115	и даже	9	3
116	и он	2	3
117	в таком	2	3
118	несмотря на	3	3
119	той же	2	3
120	с их	2	3
121	и то	3	3
122	хотя и	4	3
123	в речи	3	3
124	в себе	7	3
125	это только	2	3
126	как это	6	3
127	в одном	2	3
128	о чем	2	2
129	никогда не	3	2
130	превращается в	2	2
131	и все	3	2
132	что касается	3	2
133	что все	2	2
134	не знаю	2	2
135	по себе	2	2
136	к своему	2	2
137	в то	2	2
138	как о	3	2
139	этом случае	4	2
140	как и	14	2
141	в сторону	5	2
142	а то	2	2
143	же время	2	2
144	что с	2	2
145	в своей	2	2
146	по преимуществу	4	2
147	никак не	2	2
148	в контексте	5	2
149	речь идет	2	2
150	в состоянии	2	2
151	и тем	4	2
152	дело не	2	2
153	так например	2	2
154	он не	2	2
155	и для	2	2
156	иначе говоря	11	2
157	не мог	3	2
158	лишь в	9	2
159	этих случаях	2	2
160	свидетельствует о	2	2
161	на этот	2	2
162	не имеет	2	2
163	или в	3	2
164	не столько	3	2
165	одно из	2	2
166	тогда как	19	2
167	ничего не	9	2
168	но в	6	2
169	это было	2	2
