N	2gram	Trubetskoy_1	Poddanst
1	не только	7	17
2	и в	23	14
3	и не	8	12
4	в области	4	11
5	в этом	12	10
6	то же	4	9
7	в том	30	9
8	но в	4	9
9	хотя бы	4	8
10	же время	2	7
11	в то	6	7
12	только в	6	7
13	но и	9	6
14	в ней	3	6
15	было бы	3	6
16	с другой	6	5
17	не в	8	5
18	в которых	2	5
19	может быть	16	5
20	в котором	2	4
21	то что	18	4
22	что в	8	4
23	если бы	8	4
24	в своем	10	4
25	не может	17	4
26	европейской культуры	6	4
27	в с	3	4
28	и к	5	4
29	а в	3	4
30	том что	19	4
31	мы должны	4	4
32	и если	6	4
33	тех кто	5	4
34	в гораздо	2	4
35	как бы	10	4
36	и потому	3	4
37	в нем	3	3
38	с тем	2	3
39	и без	5	3
40	столь же	5	3
41	это не	3	3
42	с одной	3	3
43	прежде всего	3	3
44	заключается в	2	3
45	тем самым	3	3
46	для того	8	3
47	с точки	8	3
48	сводится к	2	3
49	с ними	2	3
50	между тем	12	3
51	но не	2	3
52	точки зрения	13	3
53	в себе	5	3
54	что мы	4	3
55	тот же	3	3
56	одной стороны	2	3
57	потому что	9	3
58	хотя и	4	3
59	не менее	7	2
60	в мире	6	2
61	именно в	5	2
62	во всех	10	2
63	в частности	2	2
64	отнюдь не	2	2
65	тем более	3	2
66	заключает в	2	2
67	в них	2	2
68	все это	11	2
69	современной европейской	2	2
70	с этим	11	2
71	в жизни	3	2
72	между прочим	2	2
73	и других	2	2
74	того что	6	2
75	должно быть	4	2
76	для нас	3	2
77	как на	4	2
78	говорить о	2	2
79	есть в	2	2
80	одна из	2	2
81	в силу	7	2
82	в виде	4	2
83	в а	2	2
84	по сравнению	5	2
85	не было	2	2
86	в начале	2	2
87	в европе	6	2
88	из них	5	2
89	в общем	6	2
90	и это	3	2
91	культуры в	10	2
92	другие народы	3	2
93	в эту	2	2
94	в его	5	2
95	и с	5	2
