N	2gram	Tiupa_Vved_1	Problemy
1	и не	12	31
2	и в	13	29
3	в его	4	24
4	может быть	18	24
5	а не	15	22
6	в этом	21	22
7	как бы	4	19
8	в нем	5	19
9	для него	3	18
10	не только	20	15
11	то что	6	15
12	не как	2	14
13	но и	19	14
14	и его	5	14
15	то же	5	14
16	в пределах	2	13
17	уже не	5	13
18	как и	11	12
19	точка зрения	3	12
20	не может	7	12
21	таким образом	4	12
22	в самом	2	10
23	в то	4	10
24	только в	6	10
25	героя и	3	10
26	это не	6	9
27	все же	6	9
28	в романе	6	9
29	но не	5	9
30	же время	3	9
31	если бы	7	9
32	в своем	5	8
33	до конца	3	8
34	по себе	2	8
35	что в	3	8
36	отношению к	7	8
37	в своей	5	8
38	по отношению	7	8
39	потому что	5	8
40	в том	10	8
41	прежде всего	7	7
42	том что	7	7
43	не в	6	7
44	так и	8	7
45	а в	6	7
46	и на	3	7
47	в себе	5	7
48	мира и	2	7
49	но в	6	7
50	в одной	2	6
51	в целом	3	6
52	одним из	5	6
53	как в	4	6
54	как раз	2	6
55	самом деле	3	6
56	в мире	8	6
57	могут быть	4	6
58	перед нами	6	5
59	должна быть	2	5
60	было бы	4	5
61	еще не	7	5
62	он не	3	5
63	на самом	4	5
64	он и	2	5
65	с ним	3	5
66	мира в	8	5
67	в результате	3	4
68	в едином	3	4
69	в литературе	2	4
70	бы и	4	4
71	что и	2	4
72	но это	3	4
73	и с	2	4
74	и для	3	4
75	не было	2	4
76	тем что	2	4
77	как мы	3	4
78	и наконец	2	4
79	их в	2	4
80	в основе	3	4
81	в авторском	2	4
82	так сказать	2	4
83	что же	3	4
84	никогда не	4	3
85	в них	2	3
86	с другой	5	3
87	нового времени	3	3
88	точек зрения	2	3
89	одна из	4	3
90	все что	3	3
91	и понимания	2	3
92	бытия в	2	3
93	на него	2	3
94	во времени	2	3
95	другой стороны	2	3
96	этом отношении	4	3
97	например в	2	3
98	приводит к	2	3
99	тому как	2	3
100	в своих	2	3
101	подобно тому	2	3
102	как будто	4	3
103	далеко не	4	3
104	автора в	5	3
105	бы в	3	3
106	а лишь	2	2
107	однако в	4	2
108	нести в	2	2
109	в настоящем	2	2
110	но они	2	2
111	и от	2	2
112	мира не	2	2
113	те же	2	2
114	в жизни	4	2
115	вследствие этого	3	2
116	и к	2	2
117	жизни и	7	2
118	при этом	26	2
119	а его	2	2
120	никак не	2	2
121	не о	2	2
122	в котором	8	2
123	один из	3	2
124	начала и	2	2
125	отношение к	2	2
126	данном случае	6	2
127	по своим	3	2
128	то и	2	2
129	в той	4	2
130	слова но	2	2
131	можно было	2	2
132	в данном	13	2
133	то он	2	2
134	в ней	4	2
135	как образ	2	2
136	всей его	2	2
137	в сознании	4	2
138	тоже не	2	2
