N	3gram	Bakhtin_Pr_3	Formalny
1	с точки зрения	4	14
2	не может быть	6	14
3	на самом деле	10	12
4	то же время	12	7
5	в то же	12	7
6	и т д	2	6
7	во всяком случае	5	6
8	и т п	6	5
9	с другой стороны	3	5
10	в самом деле	3	4
11	а вовсе не	2	4
12	в большинстве случаев	2	4
13	то ни было	4	4
14	и не может	2	4
15	бы то ни	4	4
16	подобно тому как	2	4
17	как мы знаем	2	4
18	а не в	2	3
19	может войти в	2	3
20	вместе с тем	2	3
21	по отношению к	5	3
22	все без исключения	2	3
23	смысле этого слова	2	2
24	мы увидим что	2	2
25	слова и его	3	2
26	так и в	2	2
27	и в то	5	2
28	в пределах одного	2	2
29	тем не менее	2	2
30	в отличие от	2	2
31	в конце концов	3	2
32	как мы видели	2	2
33	в высшей степени	3	2
34	именно потому что	2	2
35	как и все	2	2
36	в этом смысле	4	2
37	мы без труда	2	2
