N	2gram	Bakhtin_Fr_5	Tvorches
1	и в	45	20
2	в году	3	16
3	в романе	11	15
4	не только	14	13
5	как бы	12	11
6	в его	13	10
7	таким образом	8	10
8	в то	11	10
9	и его	13	9
10	и не	15	9
11	прежде всего	10	8
12	в том	10	8
13	при этом	2	8
14	но и	10	8
15	может быть	2	8
16	в этом	14	8
17	и с	10	8
18	это не	3	7
19	же время	9	7
20	что в	12	7
21	не может	5	7
22	то же	11	7
23	потому что	7	7
24	у него	4	6
25	в конце	7	6
26	что он	6	6
27	как и	10	6
28	в целом	2	6
29	в своей	3	6
30	так и	6	6
31	все это	7	6
32	именно в	3	6
33	а не	4	6
34	но это	5	5
35	но не	4	5
36	например в	5	5
37	все же	2	5
38	и даже	4	5
39	так же	8	5
40	и на	5	5
41	в этой	6	5
42	о том	4	5
43	то есть	25	5
44	об этом	4	4
45	и от	4	4
46	в духе	2	4
47	мы не	4	4
48	том что	7	4
49	мы видим	5	4
50	первой части	4	4
51	хотя и	5	4
52	что она	3	4
53	когда он	2	4
54	как в	3	4
55	в известной	2	4
56	все эти	5	4
57	не в	7	4
58	а в	4	4
59	первая часть	2	4
60	в чем	2	4
61	ничего не	4	4
62	но в	14	4
63	же как	4	3
64	жизни в	2	3
65	превращается в	2	3
66	в одной	3	3
67	к этому	2	3
68	с ним	5	3
69	и отчасти	2	3
70	так например	2	3
71	для него	3	3
72	у нее	2	3
73	одной из	5	3
74	своего рода	4	3
75	в самом	4	3
76	он не	6	3
77	и др	8	3
78	один из	2	3
79	в нем	10	3
80	то что	2	3
81	и это	4	3
82	вместе с	3	3
83	сих пор	3	3
84	в их	4	3
85	так как	6	3
86	в свете	2	3
87	одним из	5	3
88	в которых	3	3
89	в начале	2	3
90	его в	5	3
91	между тем	2	3
92	до сих	3	3
93	не менее	3	2
94	и есть	2	2
95	и без	2	2
96	точку зрения	2	2
97	в одном	3	2
98	вовсе не	8	2
99	в этот	2	2
100	такой же	4	2
101	что на	3	2
102	тому же	4	2
103	права на	2	2
104	известной мере	2	2
105	и если	2	2
106	том же	2	2
107	человеческой культуры	2	2
108	нет и	2	2
109	только для	2	2
110	в первой	4	2
111	в истории	2	2
112	на него	2	2
113	в ту	2	2
114	так в	2	2
115	в отличие	2	2
116	начиная с	2	2
117	не было	3	2
118	но эта	2	2
119	всякого рода	2	2
120	самом деле	5	2
121	и что	2	2
122	связь с	3	2
123	и у	5	2
124	и наконец	2	2
125	на этот	3	2
126	и он	3	2
127	рядом с	2	2
128	роль в	2	2
129	тут же	2	2
130	не столько	2	2
131	в основе	4	2
132	говорить о	2	2
133	и вообще	2	2
134	и только	2	2
135	только в	4	2
136	отличие от	2	2
