N	2gram	Propp_Russ_1	KFilosof
1	может быть	8	43
2	в его	2	39
3	в нем	2	31
4	не может	4	27
5	и не	6	26
6	и в	36	22
7	а не	2	17
8	только в	4	16
9	точки зрения	3	13
10	в этом	12	13
11	но не	2	12
12	все эти	2	11
13	в своем	3	10
14	это не	10	10
15	все это	6	10
16	во всех	4	10
17	с точки	3	10
18	в целом	2	9
19	но и	16	9
20	в их	4	9
21	как бы	5	9
22	и для	2	9
23	не было	2	8
24	и здесь	2	7
25	что и	7	7
26	то что	6	7
27	в том	17	6
28	но это	4	6
29	отнюдь не	2	6
30	и их	4	6
31	не значит	2	6
32	уже не	6	6
33	то же	3	5
34	его как	2	5
35	но все	3	5
36	не имеет	6	5
37	с ним	2	5
38	но в	2	5
39	как и	10	5
40	не только	22	5
41	ни одно	2	5
42	все же	5	5
43	мы имеем	4	5
44	там где	2	5
45	что в	19	4
46	входит в	4	4
47	для нас	6	4
48	при этом	6	4
49	к ним	3	4
50	в своих	2	4
51	с ними	5	4
52	между тем	7	4
53	в одном	3	4
54	том что	19	4
55	а в	9	4
56	независимо от	2	3
57	что это	3	3
58	не менее	3	3
59	в каждом	2	3
60	в свою	3	3
61	до конца	2	3
62	и пр	2	3
63	того что	4	3
64	и на	10	3
65	в ней	2	3
66	о том	8	3
67	мы не	6	3
68	всех этих	2	3
69	еще не	4	3
70	быть и	2	3
71	на самом	2	3
72	что этот	4	3
73	тем что	4	3
74	могут быть	2	3
75	ничего не	3	3
76	слова в	3	2
77	а с	4	2
78	его и	2	2
79	та же	2	2
80	его к	2	2
81	тем не	3	2
82	и как	2	2
83	только по	2	2
84	с этого	6	2
85	но ни	2	2
86	себя и	2	2
87	его с	4	2
88	тому что	4	2
89	для этого	2	2
90	и других	7	2
91	потому что	10	2
92	с тем	8	2
93	в жизни	2	2
94	к этому	4	2
95	думать что	3	2
96	в качестве	3	2
97	в это	3	2
98	но есть	2	2
99	и потому	2	2
100	этого слова	3	2
101	так и	7	2
102	как в	5	2
103	в виде	6	2
104	ничего общего	2	2
105	в области	3	2
