N	2gram	Savitsky_E_1	KFilosof
1	может быть	6	43
2	в его	2	39
3	не может	9	27
4	и не	14	26
5	и в	37	22
6	в котором	2	21
7	в себе	9	21
8	не есть	2	19
9	в ее	8	17
10	а не	2	17
11	только в	9	16
12	точки зрения	23	13
13	в этом	12	13
14	но не	5	12
15	в своей	8	11
16	не в	5	11
17	к нему	2	11
18	в своем	14	10
19	во всех	6	10
20	с точки	17	10
21	но и	14	9
22	в их	11	9
23	как бы	6	9
24	и все	2	9
25	и для	3	9
26	если бы	2	8
27	было бы	8	8
28	жизни и	2	8
29	со стороны	5	8
30	на основе	2	7
31	вовсе не	6	7
32	что и	3	7
33	то что	6	7
34	в смысле	9	6
35	в том	11	6
36	и только	3	6
37	в мире	2	6
38	отнюдь не	9	6
39	за вычетом	2	6
40	он не	2	6
41	мира в	4	6
42	никогда не	3	5
43	хотя бы	15	5
44	то же	15	5
45	именно в	4	5
46	не имеет	4	5
47	но как	2	5
48	но в	14	5
49	жизни в	3	5
50	как и	7	5
51	не только	18	5
52	ко всему	2	5
53	там где	3	5
54	место в	3	4
55	что в	21	4
56	ни было	4	4
57	для нас	4	4
58	к ним	3	4
59	в своих	2	4
60	между тем	8	4
61	в одном	2	4
62	мира и	3	4
63	том что	6	4
64	мира но	2	4
65	во всей	2	4
66	а в	2	4
67	тем самым	5	4
68	в каком	4	4
69	бы и	3	3
70	независимо от	4	3
71	должна быть	2	3
72	что это	2	3
73	в свою	3	3
74	не дает	3	3
75	на язык	2	3
76	и тем	3	3
77	того что	7	3
78	поскольку он	2	3
79	и на	6	3
80	в ней	4	3
81	в то	16	3
82	того или	4	3
83	о том	3	3
84	мы не	4	3
85	на своем	3	3
86	тогда когда	2	3
87	этом смысле	3	3
88	или иного	4	3
89	в некотором	4	3
90	по своему	7	3
91	культурные ценности	2	3
92	мира не	2	3
93	и этот	2	3
94	культуры и	2	3
95	для того	6	3
96	тем что	3	3
97	могут быть	2	3
98	можно ли	3	2
99	то ни	4	2
100	прежде всего	9	2
101	вопрос о	4	2
102	или иной	4	2
103	и как	2	2
104	же время	14	2
105	и мы	3	2
106	поскольку она	2	2
107	по себе	4	2
108	могут стать	2	2
109	и других	2	2
110	не из	3	2
111	ее от	2	2
112	потому что	3	2
113	той или	4	2
114	и то	2	2
115	с тем	3	2
116	думать что	8	2
117	при условии	2	2
118	будет ли	2	2
119	и того	2	2
120	не будет	3	2
121	бы то	4	2
122	в качестве	14	2
123	не нужно	2	2
124	ли это	3	2
125	кажется что	2	2
126	этот факт	3	2
127	и потому	5	2
128	в процессе	4	2
129	так и	10	2
130	как в	3	2
131	в виде	5	2
132	еще более	2	2
133	того чтобы	6	2
134	и эта	2	2
135	в данном	3	2
136	и та	2	2
137	от этого	5	2
138	в этой	2	2
139	отношении к	15	2
140	его на	2	2
141	как оно	2	2
142	дело в	3	2
143	в области	11	2
