N	2gram	Savitsky_P_1	Dialekti
1	т е	3	48
2	и не	12	27
3	а не	2	26
4	точки зрения	3	25
5	и в	14	24
6	и т	3	24
7	не только	17	23
8	есть нечто	2	23
9	по себе	4	20
10	не может	4	19
11	и есть	2	16
12	то что	4	14
13	с точки	3	14
14	может быть	5	13
15	того что	2	12
16	не менее	2	11
17	отнюдь не	2	10
18	она есть	3	10
19	но и	6	9
20	есть не	2	9
21	прежде всего	3	8
22	и как	3	8
23	что мы	3	8
24	том что	4	8
25	в этом	10	8
26	в виде	2	8
27	что в	4	7
28	потому что	3	7
29	как раз	2	7
30	все это	2	6
31	и с	2	6
32	если бы	4	6
33	то же	9	6
34	и пр	5	6
35	в том	9	5
36	хотя и	3	5
37	как на	2	5
38	в то	7	5
39	в них	2	5
40	и к	4	5
41	было бы	6	5
42	мы не	3	5
43	только в	7	5
44	с другой	5	4
45	это не	3	4
46	хотя бы	8	4
47	говорить о	2	4
48	и это	2	4
49	быть может	6	3
50	не было	2	3
51	и без	3	3
52	в своем	4	3
53	может ли	2	3
54	не в	5	3
55	есть в	2	3
56	же время	7	3
57	одной стороны	3	3
58	тем более	2	3
59	в нем	3	3
60	из них	2	3
61	с одной	3	3
62	сравнении с	3	3
63	должно быть	2	3
64	с этим	2	3
65	именно как	2	3
66	в силу	2	3
67	одна из	2	3
68	и о	5	3
69	сами по	3	3
70	как бы	4	3
71	тем самым	3	3
72	для того	3	3
73	в сравнении	3	3
74	в частности	2	2
75	а я	5	2
76	в смысле	6	2
77	для нас	2	2
78	и если	4	2
79	например в	2	2
80	не о	2	2
81	и тем	2	2
82	именно в	2	2
83	и вот	2	2
84	а в	4	2
85	никак не	2	2
86	в ней	6	2
87	и потому	4	2
88	но в	9	2
89	я и	3	2
90	думать что	2	2
91	же в	4	2
92	но не	3	2
93	со стороны	2	2
94	но о	2	2
95	могут быть	3	2
96	в себе	3	2
97	в его	2	2
98	может и	2	2
