N	2gram	Berdyaev_N_1	Russkaja
1	не может	16	22
2	и не	11	19
3	в том	8	17
4	в этом	7	17
5	и в	16	14
6	то что	4	13
7	но и	3	10
8	в то	2	10
9	том что	2	9
10	не только	5	9
11	в себе	2	9
12	может быть	7	9
13	прежде всего	4	8
14	того чтобы	2	8
15	ни к	2	7
16	к богу	2	7
17	стремление к	2	7
18	к тому	3	7
19	не будет	7	7
20	о том	4	7
21	и с	2	7
22	и к	5	6
23	с тем	3	6
24	все это	5	6
25	и для	4	6
26	в россии	3	6
27	жизни в	3	5
28	хотя бы	2	5
29	вопрос о	3	5
30	и на	2	5
31	конечно не	3	5
32	в своей	3	5
33	он не	8	5
34	никогда не	6	5
35	в нем	5	5
36	во всех	3	5
37	по существу	2	5
38	а в	2	5
39	потому что	4	5
40	во имя	15	5
41	церкви не	2	5
42	но не	2	4
43	что в	9	4
44	в мире	3	4
45	как и	7	4
46	ли это	2	4
47	себя в	2	4
48	жизни и	8	4
49	вместе с	2	4
50	не в	6	4
51	можно было	2	4
52	в будущем	2	3
53	что все	2	3
54	лишь в	6	3
55	должно быть	4	3
56	еще не	3	3
57	ни одна	2	3
58	том чтобы	2	3
59	и потому	4	3
60	для этого	2	3
61	не есть	3	3
62	все они	2	3
63	не было	4	3
64	культуры в	5	3
65	одна из	2	3
66	место в	2	2
67	зависит от	2	2
68	должна быть	3	2
69	и есть	10	2
70	у него	2	2
71	и от	2	2
72	с этим	2	2
73	культуры и	7	2
74	том и	2	2
75	ни в	6	2
76	уже не	2	2
77	это есть	7	2
78	но это	6	2
79	она не	3	2
80	но для	2	2
81	в ней	5	2
82	будут не	3	2
83	помнить что	2	2
84	центр тяжести	2	2
85	не к	2	2
86	но она	2	2
87	все эти	2	2
88	и что	2	2
89	а не	17	2
90	что такое	3	2
91	и даже	2	2
92	так же	2	2
93	общественной жизни	6	2
94	как будто	2	2
95	стремиться к	2	2
96	и должно	2	2
97	но в	2	2
