N	2gram	Tiupa_Vved_1	Formalny
1	и не	12	30
2	и в	13	27
3	может быть	18	25
4	не может	7	24
5	так и	8	21
6	и его	5	19
7	таким образом	4	18
8	в этом	21	18
9	а не	15	17
10	самом деле	3	16
11	в нем	5	15
12	то же	5	15
13	на самом	4	14
14	как и	11	14
15	не в	6	12
16	если бы	7	12
17	и от	2	11
18	в самом	2	11
19	в жизни	4	11
20	место в	2	10
21	но и	19	10
22	лишь в	2	9
23	как его	2	9
24	не только	20	9
25	что в	3	8
26	при этом	26	8
27	в пределах	2	8
28	как бы	4	8
29	отнюдь не	7	8
30	и все	4	8
31	то что	6	8
32	как раз	2	8
33	как мы	3	8
34	только в	6	8
35	не менее	4	7
36	в том	10	7
37	же время	3	7
38	потому что	5	7
39	в то	4	7
40	для них	3	7
41	в его	4	7
42	с другой	5	6
43	в своих	2	6
44	бы в	3	6
45	но в	6	6
46	в литературе	2	6
47	еще не	7	6
48	было бы	4	6
49	и понимания	2	6
50	все же	6	6
51	в своей	5	6
52	и для	3	6
53	в данном	13	6
54	никогда не	4	5
55	не является	3	5
56	другой стороны	2	5
57	в одной	2	5
58	в ней	4	5
59	в направлении	2	5
60	в результате	3	5
61	но не	5	5
62	что же	3	5
63	сводится к	4	5
64	без исключения	2	5
65	тому как	2	5
66	тем что	2	5
67	так сказать	2	5
68	прежде всего	7	4
69	к тому	6	4
70	его смысла	2	4
71	до конца	3	4
72	мы видели	2	4
73	в целом	3	4
74	жизни и	7	4
75	данном случае	6	4
76	со стороны	5	4
77	о том	5	4
78	мы можем	2	4
79	между собой	2	4
80	по себе	2	4
81	в романе	6	4
82	том что	7	4
83	как в	4	4
84	в слове	3	4
85	мы не	4	4
86	могут быть	4	4
87	подобно тому	2	4
88	произведение в	2	4
89	бы и	4	3
90	в этих	3	3
91	в какой	4	3
92	это не	6	3
93	те же	2	3
94	вследствие этого	3	3
95	можно сказать	4	3
96	для нас	2	3
97	мы и	2	3
98	должна быть	2	3
99	того что	6	3
100	имеет место	4	3
101	одним из	5	3
102	не о	2	3
103	и тем	2	3
104	по отношению	7	3
105	этом отношении	4	3
106	высказывания как	3	3
107	и на	3	3
108	не следует	3	3
109	никак не	2	3
110	их в	2	3
111	и с	2	3
112	в основе	3	3
113	он и	2	3
114	к его	3	3
115	и более	3	3
116	жизни в	4	3
117	в них	2	3
118	сливаются в	2	3
119	на фоне	2	3
120	во всех	2	3
121	еще в	2	3
122	отношению к	7	3
123	дело с	2	3
124	в той	4	3
125	уже не	5	3
126	то он	2	3
127	в себе	5	3
128	он является	2	2
129	а на	2	2
130	язык как	2	2
131	или иной	3	2
132	но это	3	2
133	как о	2	2
134	не можем	2	2
135	в котором	8	2
136	важно не	2	2
137	в своем	5	2
138	от этих	2	2
139	действующих лиц	2	2
140	из этих	3	2
141	в высшей	2	2
142	как он	2	2
143	к которому	2	2
144	том как	3	2
145	однако в	4	2
146	установкой на	2	2
147	не как	2	2
148	но при	5	2
149	к этому	2	2
150	с установкой	2	2
151	не утрачивая	2	2
152	говорить о	2	2
153	а к	3	2
154	одна из	4	2
155	связано с	3	2
156	в данной	2	2
157	не могло	2	2
158	что и	2	2
159	тем не	3	2
160	так в	4	2
161	в отличие	2	2
162	это только	2	2
163	бы не	2	2
164	и сами	2	2
165	быть только	2	2
166	высшей степени	2	2
167	героя и	3	2
168	здесь не	2	2
169	отличие от	2	2
170	в области	3	2
