N	2gram	Tiupa_Teor_1	VeschiIm
1	не может	4	33
2	не только	16	31
3	может быть	17	29
4	и не	13	28
5	и в	18	26
6	то что	3	24
7	а не	9	20
8	в имени	2	15
9	что она	2	14
10	только в	6	14
11	и что	3	13
12	того что	4	13
13	и –	3	12
14	но и	9	12
15	сказать что	3	12
16	в себя	3	12
17	и то	2	12
18	и ее	3	12
19	таким образом	3	11
20	а и	4	11
21	то же	7	10
22	уже не	4	10
23	как бы	5	10
24	и больше	2	10
25	потому что	3	10
26	в том	16	9
27	в самом	4	9
28	прежде всего	2	9
29	с ее	3	8
30	в себе	9	8
31	и это	2	8
32	– не	4	7
33	говорить о	3	7
34	в то	6	7
35	его в	2	7
36	– в	15	7
37	том что	9	7
38	себя в	6	7
39	не будет	2	7
40	как раз	2	7
41	с другими	5	7
42	в этом	8	7
43	и как	2	6
44	что в	9	6
45	для него	2	6
46	со стороны	2	6
47	отличается от	2	6
48	точки зрения	9	6
49	но в	9	6
50	если мы	2	6
51	не менее	4	5
52	в отношении	3	5
53	это не	2	5
54	тем не	3	5
55	не в	7	5
56	свою очередь	2	5
57	еще не	4	5
58	– как	2	5
59	а в	13	5
60	как к	2	5
61	если бы	3	5
62	отнюдь не	3	5
63	в свою	3	5
64	в ее	5	5
65	у нас	2	5
66	но не	9	5
67	того же	3	5
68	и для	2	5
69	на себя	2	5
70	я не	2	4
71	в своем	4	4
72	с другой	7	4
73	же время	5	4
74	в их	2	4
75	и даже	2	4
76	как и	4	4
77	и о	4	4
78	и потому	2	4
79	на почве	4	4
80	что и	2	4
81	быть и	2	4
82	между ними	4	4
83	с точки	3	4
84	в данном	8	4
85	определенным образом	2	4
86	есть как	2	3
87	никогда не	4	3
88	но –	2	3
89	можно сказать	3	3
90	к тому	2	3
91	более или	2	3
92	в нем	4	3
93	отношение к	5	3
94	все это	2	3
95	отношения к	2	3
96	о ней	2	3
97	их в	3	3
98	мы имеем	7	3
99	в одном	2	3
100	в жизни	2	3
101	один из	2	3
102	и притом	2	3
103	могла бы	2	3
104	в своей	6	3
105	вместе с	2	3
106	так и	10	3
107	или менее	2	3
108	а с	3	3
109	в той	2	3
110	я в	16	3
111	в основе	3	3
112	– с	5	2
113	казалось бы	2	2
114	в частности	16	2
115	тому что	2	2
116	была бы	3	2
117	а только	3	2
118	ни в	2	2
119	в самой	2	2
120	мог бы	3	2
121	в виду	5	2
122	так или	4	2
123	и тем	3	2
124	в первой	5	2
125	но она	2	2
126	данном случае	5	2
127	а а	5	2
128	и вот	3	2
129	в слове	3	2
130	тех или	3	2
131	заключается в	2	2
132	во втором	3	2
133	так же	2	2
134	самим собою	2	2
135	в первом	2	2
136	как это	8	2
137	то есть	12	2
138	ни к	3	2
139	жизни в	2	2
140	превращается в	2	2
141	не с	3	2
142	это тоже	2	2
143	– и	2	2
144	то в	2	2
145	в качестве	24	2
146	об этом	2	2
147	он не	3	2
148	– это	18	2
149	как в	5	2
150	приводит к	5	2
151	тогда как	15	2
152	и мира	2	2
153	к чему	2	2
154	и его	8	2
155	или иначе	5	2
156	не случайно	5	2
157	отношении к	2	2
158	дело в	2	2
159	не все	3	2
160	это было	2	2
