N	2gram	Tiupa_Narr_2	VerxiiNi
1	и в	13	26
2	таким образом	5	22
3	в этом	13	15
4	точки зрения	5	13
5	как бы	6	12
6	в том	14	11
7	может быть	10	10
8	не только	26	10
9	из этих	2	10
10	что в	4	9
11	но и	15	9
12	в области	2	9
13	с другой	5	8
14	но не	3	8
15	и не	14	8
16	и у	4	8
17	как на	2	8
18	том что	13	7
19	одной стороны	5	7
20	то что	8	7
21	а с	2	7
22	с одной	5	7
23	потому что	2	7
24	но в	6	7
25	в конце	4	6
26	к тому	9	6
27	несмотря на	2	6
28	что и	2	6
29	все же	6	6
30	так и	9	6
31	все эти	3	6
32	с точки	2	6
33	в себе	8	6
34	и т.д	4	6
35	о том	5	6
36	и к	6	5
37	тому же	4	5
38	в его	6	5
39	никогда не	6	5
40	так же	2	5
41	а не	17	5
42	того чтобы	3	5
43	не имеет	2	5
44	в силу	4	5
45	и для	3	5
46	в мире	4	5
47	должен был	2	4
48	что он	5	4
49	в нем	5	4
50	в самом	2	4
51	в котором	5	4
52	не может	8	4
53	а в	9	4
54	то же	4	4
55	в течение	2	4
56	и что	2	4
57	и по	3	4
58	во время	2	4
59	в виде	2	4
60	он не	5	4
61	в то	5	4
62	только в	11	4
63	то есть	9	4
64	в этой	4	4
65	далеко не	5	4
66	не менее	4	3
67	в рамках	6	3
68	же как	2	3
69	что это	4	3
70	если бы	4	3
71	как о	2	3
72	хотя бы	2	3
73	точно так	2	3
74	можно сказать	6	3
75	для него	4	3
76	представляет собой	16	3
77	в своем	6	3
78	в качестве	14	3
79	не вполне	2	3
80	тем не	5	3
81	отношению к	5	3
82	при этом	14	3
83	уже не	4	3
84	того что	6	3
85	и даже	3	3
86	в таком	3	3
87	или иначе	2	3
88	с этой	3	3
89	в результате	2	3
90	в других	2	3
91	с его	3	2
92	только не	2	2
93	именно в	2	2
94	состоит в	12	2
95	одно из	2	2
96	превращается в	2	2
97	но при	4	2
98	прежде всего	6	2
99	в свою	2	2
100	на то	2	2
101	или иной	3	2
102	ему в	2	2
103	а также	6	2
104	к его	3	2
105	и здесь	2	2
106	в начале	2	2
107	по своему	2	2
108	все что	4	2
109	же время	3	2
110	когда же	2	2
111	еще не	2	2
112	со всеми	2	2
113	мысль о	2	2
114	вслед за	6	2
115	той или	3	2
116	не могло	2	2
117	один из	3	2
118	не к	4	2
119	жизни и	4	2
120	в процессе	2	2
121	только что	2	2
122	если не	2	2
123	этом отношении	3	2
124	те же	2	2
125	мы имеем	3	2
126	свидетельствует о	4	2
127	в глазах	4	2
128	можно назвать	2	2
129	сказать что	3	2
130	не в	8	2
131	по своей	3	2
132	о котором	3	2
133	и все	4	2
134	к которому	2	2
135	между тем	3	2
