N	2gram	Tiupa_Hudo_1	Literetu
1	а не	12	20
2	и в	14	19
3	может быть	5	17
4	своего рода	7	13
5	то же	9	12
6	и не	2	11
7	в том	12	10
8	как и	9	10
9	но и	5	10
10	состоит в	2	9
11	же время	8	9
12	такого рода	3	9
13	не может	7	9
14	тогда как	7	9
15	в мире	3	9
16	в этом	11	9
17	в то	8	9
18	не только	12	8
19	и даже	3	8
20	том что	16	7
21	то что	8	7
22	так и	13	7
23	не менее	5	6
24	однако в	2	6
25	в себе	11	6
26	при этом	12	6
27	себя в	4	6
28	и на	3	6
29	конечном счете	2	5
30	столь же	4	5
31	художественного мышления	6	5
32	одна из	2	5
33	но не	3	5
34	в качестве	9	5
35	он не	4	5
36	в конечном	2	5
37	на фоне	2	5
38	так в	2	5
39	уединенного сознания	4	5
40	того что	4	5
41	в рамках	2	4
42	что в	6	4
43	тех кто	2	4
44	в частности	5	4
45	жизни в	6	4
46	прежде всего	11	4
47	не в	7	4
48	отнюдь не	3	4
49	для него	10	4
50	в ней	4	4
51	в его	8	4
52	еще в	3	4
53	даже в	3	4
54	один из	4	4
55	жизни и	5	4
56	человека в	6	4
57	так что	2	4
58	мы не	2	4
59	по отношению	8	4
60	тем что	3	4
61	точки зрения	5	4
62	в русской	4	4
63	не случайно	7	4
64	едва ли	3	4
65	я и	2	4
66	никогда не	6	3
67	быть может	7	3
68	личности в	7	3
69	в себя	2	3
70	что он	9	3
71	идет о	3	3
72	в нем	3	3
73	наш взгляд	2	3
74	в начале	2	3
75	такой же	3	3
76	в этой	8	3
77	в противовес	2	3
78	и он	5	3
79	речь идет	3	3
80	и ты	2	3
81	отношению к	8	3
82	со стороны	3	3
83	себе и	2	3
84	в их	2	3
85	то и	3	3
86	и для	3	3
87	этом отношении	3	3
88	но с	2	3
89	всего лишь	4	3
90	с точки	3	3
91	а в	7	3
92	и его	5	3
93	в глазах	6	3
94	не столько	2	3
95	на наш	2	3
96	и с	4	3
97	как к	3	3
98	в другом	2	3
99	как правило	6	3
100	в равной	3	3
101	ничего не	8	3
102	на этом	3	2
103	не было	4	2
104	к жизни	5	2
105	же как	2	2
106	у него	9	2
107	себя и	2	2
108	с этой	2	2
109	в конце	4	2
110	все еще	2	2
111	в такой	2	2
112	и каждый	2	2
113	художественного письма	2	2
114	и к	4	2
115	а также	3	2
116	жизни как	2	2
117	слово не	2	2
118	в ее	3	2
119	тем не	4	2
120	до конца	2	2
121	еще не	7	2
122	было бы	6	2
123	одной из	2	2
124	не бывает	2	2
125	при всей	2	2
126	как бы	7	2
127	картина мира	4	2
128	если в	2	2
129	для себя	3	2
130	как он	2	2
131	все же	3	2
132	с ее	2	2
133	и т	11	2
134	же в	3	2
135	в целом	2	2
136	из них	4	2
137	по преимуществу	3	2
138	русской литературе	3	2
139	в е	2	2
140	как раз	4	2
141	т п	8	2
142	не раз	2	2
143	той же	2	2
144	и читателя	4	2
145	жизни на	2	2
146	все равно	2	2
147	к своему	2	2
148	способ существования	2	2
149	уже не	7	2
150	и что	2	2
151	героя в	2	2
152	что не	2	2
153	речь в	2	2
154	друг друга	5	2
155	художественного мира	2	2
156	не знает	2	2
157	в своих	3	2
158	из нас	3	2
159	то в	4	2
160	в результате	2	2
161	потому что	5	2
162	в первый	2	2
163	но как	2	2
164	что я	2	2
165	с другим	2	2
166	о том	12	2
167	в художественном	2	2
168	к этой	3	2
169	это прежде	2	2
170	с ним	4	2
171	в него	2	2
172	но в	5	2
