N	2gram	Tiupa_Teor_1	Problema
1	то есть	12	46
2	в его	6	43
3	и не	13	42
4	и в	18	38
5	эстетического объекта	2	37
6	эстетический объект	3	37
7	не может	4	27
8	может быть	17	26
9	как бы	5	22
10	по отношению	4	21
11	в художественном	3	20
12	отнюдь не	3	19
13	отношению к	4	19
14	и его	8	16
15	в нем	4	15
16	в этом	8	15
17	прежде всего	2	13
18	только в	6	13
19	в эстетический	2	12
20	за пределы	2	12
21	в искусстве	6	12
22	но не	9	12
23	ни в	2	11
24	художественного произведения	4	11
25	и для	2	11
26	в области	4	11
27	отношение к	5	10
28	в их	2	10
29	таким образом	3	10
30	материала в	2	10
31	в поэзии	2	9
32	но и	9	9
33	его в	2	9
34	не только	16	9
35	место в	5	8
36	в том	16	8
37	и как	2	8
38	точки зрения	9	8
39	то что	3	8
40	слова в	2	7
41	что в	9	7
42	с другой	7	7
43	не в	7	7
44	в самом	4	7
45	между тем	5	7
46	как и	4	7
47	еще не	4	7
48	в своей	6	7
49	в пределах	5	6
50	а в	13	6
51	на основе	2	6
52	с точки	3	6
53	отношения к	2	6
54	то же	7	5
55	в своем	4	5
56	это не	2	5
57	при этом	12	5
58	имеет место	2	5
59	никогда не	4	5
60	все эти	2	5
61	в основе	3	5
62	далеко не	2	5
63	в них	2	5
64	и о	4	5
65	в большинстве	2	5
66	так и	10	5
67	не на	2	5
68	в отличие	6	5
69	а не	9	5
70	могут быть	4	5
71	отличие от	6	5
72	не менее	4	4
73	в нашем	4	4
74	искусства но	3	4
75	известной степени	3	4
76	в конечном	6	4
77	в виду	5	4
78	другой стороны	5	4
79	данном случае	5	4
80	в форме	2	4
81	сказать что	3	4
82	в то	6	4
83	в произведении	3	4
84	и потому	2	4
85	к которому	3	4
86	но в	9	4
87	конечном счете	6	4
88	не с	3	4
89	в ее	5	4
90	как в	5	4
91	в романе	3	4
92	тем самым	4	4
93	между ними	4	4
94	в данном	8	4
95	композиционная форма	2	4
96	в себе	9	4
97	композиционных форм	5	3
98	к действительности	3	3
99	тем не	3	3
100	имеем дело	2	3
101	же время	5	3
102	одной стороны	2	3
103	хотя и	3	3
104	не является	4	3
105	и тем	3	3
106	в целом	3	3
107	все это	2	3
108	с одной	2	3
109	и даже	2	3
110	языка в	4	3
111	если бы	3	3
112	эстетического созерцания	3	3
113	этом смысле	2	3
114	на фоне	2	3
115	и к	3	3
116	том что	9	3
117	говорить о	3	3
118	одной из	2	3
119	мы в	2	3
120	он не	3	3
121	на почве	4	3
122	приводит к	5	3
123	в мире	19	3
124	в слове	3	3
125	с другими	5	3
126	не знает	3	3
127	и это	2	3
128	я не	2	2
129	не могут	2	2
130	ни к	3	2
131	и другие	2	2
132	в частности	16	2
133	искусства как	2	2
134	в равной	3	2
135	в этих	3	2
136	в какой	2	2
137	столь же	2	2
138	была бы	3	2
139	для понимания	2	2
140	или иной	4	2
141	можно сказать	3	2
142	а только	3	2
143	искусства в	2	2
144	в свою	3	2
145	случае не	2	2
146	это отношение	3	2
147	совпадает с	3	2
148	не вполне	2	2
149	в культуре	2	2
150	но она	2	2
151	отличается от	2	2
152	как к	2	2
153	в самой	2	2
154	лишь в	6	2
155	и что	3	2
156	того что	4	2
157	коем случае	2	2
158	и здесь	2	2
159	не следует	4	2
160	самим собою	2	2
161	к его	2	2
162	того или	3	2
163	как это	8	2
164	мы имеем	7	2
165	с его	5	2
166	он должен	2	2
167	не все	3	2
168	вовсе не	3	2
169	или иного	3	2
170	в коем	2	2
171	у нас	2	2
172	что и	2	2
173	себя в	6	2
174	эстетическая деятельность	6	2
175	в лирике	2	2
176	в себя	3	2
177	к чему	2	2
178	художественного впечатления	5	2
179	или в	3	2
180	и ее	3	2
181	в другом	3	2
182	дело в	2	2
