N	2gram	Vinokur_Vv_1	Narrotol
1	не только	21	31
2	но и	5	27
3	и не	13	23
4	при этом	3	19
5	может быть	24	15
6	в частности	3	14
7	в качестве	7	14
8	в тексте	4	13
9	как и	5	13
10	а не	3	13
11	а в	5	13
12	только в	13	12
13	в этом	34	12
14	и в	27	11
15	в данном	11	11
16	состоит в	2	10
17	такого рода	2	10
18	своего рода	3	10
19	и его	5	10
20	тогда как	2	10
21	времени и	4	9
22	то что	17	9
23	то же	8	8
24	в том	31	8
25	данном случае	5	8
26	со стороны	12	8
27	не может	13	8
28	уже не	5	8
29	представляет собой	12	8
30	если бы	2	7
31	том что	26	7
32	на протяжении	2	7
33	но в	10	7
34	и т.д	4	6
35	к тому	4	6
36	об этом	5	6
37	а также	3	6
38	не в	8	6
39	в самом	12	6
40	не мог	2	6
41	как бы	5	6
42	один из	6	6
43	жизни и	2	6
44	как раз	4	6
45	во втором	2	6
46	в себе	4	6
47	в его	10	6
48	в этой	3	6
49	можно сказать	3	5
50	в соответствии	2	5
51	в своей	4	5
52	и на	3	5
53	потому что	14	5
54	точки зрения	7	5
55	о чем	4	4
56	никогда не	3	4
57	из этих	5	4
58	соответствии с	2	4
59	все же	8	4
60	но не	7	4
61	же время	5	4
62	прежде всего	8	4
63	еще не	4	4
64	к нему	2	4
65	в ней	3	4
66	и тем	5	4
67	в нем	13	4
68	в первом	5	4
69	из них	3	4
70	по себе	9	4
71	внимание на	4	4
72	того что	12	4
73	того чтобы	21	4
74	истории в	2	4
75	в принципе	2	4
76	хотя и	3	4
77	в то	5	4
78	о том	15	4
79	одна из	2	4
80	из наиболее	4	4
81	в одном	4	4
82	не существует	2	3
83	истории не	2	3
84	не менее	8	3
85	он сам	3	3
86	что в	11	3
87	однако в	3	3
88	в своем	3	3
89	первом случае	2	3
90	это не	8	3
91	большей части	2	3
92	что он	4	3
93	тем не	8	3
94	у нас	2	3
95	и как	9	3
96	в начале	3	3
97	в целом	5	3
98	самом деле	6	3
99	но как	2	3
100	для того	21	3
101	может служить	3	3
102	речь идет	2	3
103	отношению к	4	3
104	по отношению	4	3
105	в центре	4	3
106	этом отношении	3	3
107	именно в	8	3
108	о них	2	3
109	мы не	2	3
110	и то	5	3
111	также и	16	3
112	и с	2	3
113	и ее	4	3
114	как будто	3	3
115	представляют собой	6	3
116	как это	5	3
117	мы имеем	3	3
118	между тем	8	3
119	в известном	3	2
120	этого не	2	2
121	зависит от	3	2
122	казалось бы	2	2
123	по мере	4	2
124	в этих	3	2
125	она была	2	2
126	большей или	2	2
127	в конце	3	2
128	язык как	3	2
129	в сущности	3	2
130	центре внимания	2	2
131	так называемая	2	2
132	что может	3	2
133	как мы	9	2
134	но зато	2	2
135	да и	4	2
136	известном смысле	3	2
137	и того	2	2
138	по своему	5	2
139	между ними	2	2
140	до конца	3	2
141	до сих	5	2
142	в обоих	2	2
143	не вполне	4	2
144	всяком случае	3	2
145	не имеет	4	2
146	хотя бы	5	2
147	себя в	2	2
148	нами не	2	2
149	вместе с	6	2
150	быть и	2	2
151	дело не	3	2
152	сих пор	5	2
153	в форме	2	2
154	только на	3	2
155	и тогда	3	2
156	другой стороны	5	2
157	только что	4	2
158	в отличие	3	2
159	в связи	2	2
160	входит в	2	2
161	в особенности	4	2
162	и вот	3	2
163	в той	7	2
164	что не	5	2
165	и даже	5	2
166	времени в	3	2
167	жизни как	2	2
168	с другой	8	2
169	и для	4	2
170	отличие от	3	2
171	ничего не	2	2
172	каждый из	2	2
173	дело с	6	2
174	в результате	3	2
175	сказать что	5	2
176	во всяком	3	2
177	мы можем	2	2
178	он и	2	2
179	связи с	3	2
180	что мы	2	2
181	же самое	2	2
182	дело в	3	2
183	здесь не	2	2
184	в чем	4	2
185	в области	4	2
186	как она	4	2
