N	2gram	Vinokur_St_2	Problemy
1	и в	29	34
2	и не	9	29
3	как бы	5	27
4	что он	13	23
5	в его	13	22
6	может быть	2	19
7	в нем	4	19
8	не может	2	19
9	как и	2	18
10	но в	8	16
11	все это	11	16
12	и его	6	16
13	в этом	21	16
14	и с	4	15
15	прежде всего	5	15
16	что я	2	15
17	он не	9	15
18	то же	2	14
19	самом деле	3	13
20	для него	4	13
21	т е	10	12
22	но и	19	12
23	и к	4	12
24	потому что	9	12
25	в то	2	12
26	вовсе не	6	11
27	то что	11	11
28	на самом	3	11
29	не только	19	10
30	в отношении	2	9
31	не в	4	9
32	а не	5	9
33	самого начала	3	8
34	никогда не	3	8
35	с самого	3	8
36	в самом	7	8
37	и т	9	8
38	о мире	2	8
39	так же	3	8
40	точки зрения	5	8
41	в другом	4	8
42	я не	7	7
43	что в	19	7
44	и даже	3	7
45	отношении к	3	7
46	все же	6	7
47	там где	2	7
48	что они	2	6
49	у меня	3	6
50	что у	4	6
51	и на	6	6
52	с его	2	6
53	так и	9	6
54	т п	3	6
55	в себе	2	6
56	только в	2	6
57	что это	3	5
58	в конце	2	5
59	к тому	10	5
60	так что	3	5
61	но все	7	5
62	и что	6	5
63	того что	5	5
64	и сам	2	5
65	всяком случае	3	5
66	из них	3	5
67	таким образом	10	5
68	не мог	3	5
69	с тем	7	5
70	это слово	3	5
71	в одном	6	5
72	даже в	2	5
73	что и	2	5
74	к своему	2	5
75	ни одного	3	5
76	хотя бы	3	5
77	во всяком	3	5
78	на вопрос	3	4
79	то ни	2	4
80	с другой	4	4
81	ни было	2	4
82	ни в	3	4
83	из его	2	4
84	но это	3	4
85	при этом	2	4
86	на его	2	4
87	в общем	3	4
88	бы то	2	4
89	все эти	2	4
90	в начале	3	4
91	его в	2	4
92	так как	2	4
93	если бы	2	4
94	как раз	8	4
95	но не	3	4
96	как в	3	4
97	с точки	2	4
98	тем что	3	4
99	на меня	2	4
100	и это	2	4
101	ничего не	4	4
102	вместе с	7	4
103	не менее	3	3
104	в том	27	3
105	что с	2	3
106	до конца	3	3
107	хотя и	4	3
108	в виду	7	3
109	в котором	7	3
110	другой стороны	3	3
111	в одной	2	3
112	в ней	7	3
113	где он	2	3
114	но он	3	3
115	как он	2	3
116	по себе	3	3
117	в ее	2	3
118	том что	27	3
119	по своему	2	3
120	между тем	5	3
121	наконец в	3	3
122	еще в	2	3
123	нет и	2	3
124	в своей	7	3
125	только что	2	3
126	а с	3	3
127	если не	2	3
128	и как	2	3
129	эти слова	2	3
130	только с	2	3
131	это было	2	3
132	не было	3	2
133	отрывок из	2	2
134	в роман	2	2
135	тому что	7	2
136	вообще не	3	2
137	с этой	2	2
138	вопрос о	6	2
139	тем не	2	2
140	обращает на	3	2
141	о своей	2	2
142	кажется что	3	2
143	например в	3	2
144	что такое	2	2
145	не является	3	2
146	в своем	9	2
147	т д	6	2
148	как на	9	2
149	особенно в	2	2
150	с этим	3	2
151	о том	17	2
152	почти все	2	2
153	на нее	3	2
154	сказать что	2	2
155	во время	2	2
156	а как	4	2
157	в них	2	2
158	того времени	4	2
159	меня в	2	2
160	конечно в	2	2
161	говорит о	2	2
162	а к	2	2
163	должна была	2	2
164	того же	2	2
165	было бы	5	2
166	раз в	2	2
167	если б	4	2
168	и потому	2	2
169	своего рода	5	2
170	в отличие	2	2
171	тому же	3	2
172	еще более	4	2
173	но с	4	2
174	в той	5	2
175	и он	3	2
176	в которой	11	2
177	связан с	3	2
178	не то	3	2
179	и вообще	2	2
180	еще до	4	2
181	отличие от	2	2
182	о чем	5	2
