N	2gram	Savitsky_P_1	Istorich
1	и т	3	27
2	и в	14	26
3	т е	3	18
4	то что	4	16
5	не только	17	15
6	что в	4	14
7	может быть	5	14
8	но и	6	12
9	и пр	5	11
10	и не	12	9
11	то же	9	8
12	а в	4	8
13	в качестве	9	7
14	в этом	10	7
15	не может	4	6
16	а не	2	6
17	потому что	3	6
18	могут быть	3	6
19	и как	3	5
20	это не	3	5
21	в силу	2	5
22	но не	3	5
23	в его	2	5
24	не в	5	5
25	с ними	3	5
26	и с	2	5
27	мы должны	4	5
28	но в	9	5
29	с другой	5	4
30	в которых	5	4
31	по сравнению	2	3
32	же в	4	3
33	для нас	2	3
34	в том	9	3
35	том что	4	3
36	и других	2	3
37	и если	4	3
38	например в	2	3
39	как бы	4	3
40	а также	4	3
41	наряду с	3	3
42	и и	2	3
43	что мы	3	3
44	только в	7	3
45	в русской	4	3
46	с тем	3	2
47	не менее	2	2
48	и есть	2	2
49	в своем	4	2
50	с этим	2	2
51	главным образом	2	2
52	по себе	4	2
53	и тем	2	2
54	сомнения что	2	2
55	есть в	2	2
56	одна из	2	2
57	было бы	6	2
58	если бы	4	2
59	между прочим	2	2
60	в частности	2	2
61	хотя и	3	2
62	хотя бы	8	2
63	только это	2	2
64	в нем	3	2
65	в северной	2	2
66	не к	2	2
67	из них	2	2
68	все это	2	2
69	и вот	2	2
70	того что	2	2
71	в виде	2	2
72	в себе	3	2
73	в области	11	2
