N	2gram	Tiupa_Narr_1	EvropaiC
1	в том	8	31
2	и в	11	24
3	том что	7	20
4	не может	8	18
5	то что	9	17
6	может быть	15	15
7	все же	4	15
8	точки зрения	5	13
9	в своем	3	12
10	до сих	2	12
11	сих пор	2	12
12	самом деле	3	12
13	в этом	12	12
14	между тем	3	11
15	отношению к	3	10
16	как бы	6	10
17	по отношению	3	10
18	все что	2	10
19	так и	5	10
20	на то	2	9
21	при этом	19	9
22	в результате	2	9
23	как и	13	9
24	что в	3	9
25	не в	6	8
26	в самом	6	8
27	если бы	7	8
28	и все	3	8
29	не менее	3	7
30	к тому	6	7
31	но и	27	7
32	и не	23	7
33	из этих	4	7
34	о том	4	7
35	что он	3	7
36	того чтобы	4	7
37	для того	3	7
38	с другой	2	6
39	в этой	6	6
40	того что	4	6
41	и на	5	6
42	что касается	2	6
43	с ним	2	6
44	в сознании	4	6
45	начало и	3	6
46	еще не	4	6
47	тогда как	10	6
48	в мире	4	6
49	мы можем	2	6
50	только в	12	6
51	вместе с	2	6
52	именно в	3	5
53	столь же	5	5
54	и от	2	5
55	тому же	6	5
56	у него	7	5
57	в целом	3	5
58	другой стороны	2	5
59	и с	3	5
60	потому что	5	5
61	но в	7	5
62	в то	4	5
63	по своему	2	5
64	в его	6	5
65	не только	31	5
66	не будет	2	5
67	быть и	2	5
68	и для	2	5
69	между двумя	5	5
70	лишь в	3	5
71	в себе	6	5
72	как будто	3	5
73	никогда не	4	4
74	та же	2	4
75	в конце	2	4
76	тем не	3	4
77	хотя и	4	4
78	из них	4	4
79	и то	3	4
80	между собой	2	4
81	связи с	2	4
82	иначе говоря	8	4
83	он не	3	4
84	то же	8	4
85	хотя бы	2	4
86	и конец	3	4
87	в таком	2	4
88	и т.д	6	4
89	в области	2	4
90	в нашем	3	3
91	в этих	2	3
92	не подлежит	2	3
93	как у	2	3
94	за ними	3	3
95	не вполне	2	3
96	в нем	4	3
97	данном случае	8	3
98	а в	13	3
99	это не	3	3
100	каждый из	2	3
101	в начале	3	3
102	что мы	2	3
103	прежде всего	4	3
104	в жизни	3	3
105	и того	2	3
106	у нас	3	3
107	как известно	3	3
108	только что	2	3
109	может служить	3	3
110	в данном	11	3
111	в связи	2	3
112	отличие от	2	3
113	то они	2	3
114	свою очередь	2	2
115	в частности	14	2
116	двух или	2	2
117	что у	4	2
118	о них	3	2
119	что на	4	2
120	как мы	2	2
121	сводится к	3	2
122	при отсутствии	2	2
123	для него	4	2
124	же время	4	2
125	в свою	2	2
126	к нему	4	2
127	к ним	2	2
128	они могут	2	2
129	но для	3	2
130	в ней	4	2
131	всяком случае	2	2
132	с ее	2	2
133	заключает в	2	2
134	имеет место	4	2
135	и состоит	4	2
136	во втором	6	2
137	в глазах	3	2
138	с ними	2	2
139	но как	3	2
140	не было	3	2
141	также и	3	2
142	во всяком	2	2
143	то есть	9	2
144	а для	3	2
145	отнюдь не	2	2
146	этих двух	2	2
147	то в	4	2
148	к двум	2	2
149	одна из	4	2
150	но не	4	2
151	она не	2	2
152	жизни и	6	2
153	в сущности	2	2
154	тем самым	5	2
155	между ними	2	2
156	и ее	3	2
157	и только	2	2
