N	3gram	Losev_Dial_4	VeschiIm
1	и т д	15	20
2	не может быть	6	18
3	это значит что	7	17
4	не что иное	8	8
5	что иное как	8	8
6	т д и	3	7
7	т е в	2	7
8	д и т	2	7
9	по крайней мере	7	6
10	вещи с ее	2	6
11	на то что	3	6
12	в том что	9	6
13	не есть ни	9	6
14	в свою очередь	2	5
15	тем не менее	2	5
16	есть не что	5	5
17	в чем же	2	5
18	то же время	6	4
19	т е не	2	4
20	с точки зрения	9	4
21	в то же	6	4
22	не есть просто	3	4
23	от того что	2	4
24	в собственном смысле	2	3
25	что она есть	4	3
26	то и другое	2	3
27	само по себе	4	3
28	сама по себе	5	3
29	сам по себе	2	3
30	подобно тому как	4	3
31	и в то	2	3
32	что это есть	3	2
33	никакого отношения к	2	2
34	что оно есть	2	2
35	это не есть	4	2
36	этой точки зрения	2	2
37	ни от чего	2	2
38	того что именно	3	2
39	по смыслу своему	2	2
40	и в частности	2	2
41	с этой точки	2	2
42	о том как	2	2
