N	2gram	Tiupa_Anal_1	EvropaiC
1	таким образом	3	32
2	в том	27	31
3	и в	18	24
4	том что	12	20
5	все эти	2	19
6	не может	22	18
7	то что	6	17
8	может быть	29	15
9	все же	4	15
10	точки зрения	6	13
11	самом деле	2	12
12	в этом	13	12
13	между тем	5	11
14	отношению к	5	10
15	как бы	5	10
16	по отношению	6	10
17	культуры в	2	10
18	так и	4	10
19	при этом	12	9
20	как и	13	9
21	того же	4	9
22	что в	5	9
23	не в	14	8
24	в самом	6	8
25	если бы	3	8
26	и все	3	8
27	с точки	4	8
28	для этого	2	7
29	к тому	7	7
30	но и	17	7
31	и не	21	7
32	из этих	2	7
33	по своей	6	7
34	о том	5	7
35	что он	3	7
36	в силу	3	7
37	в психике	2	7
38	на самом	2	7
39	того чтобы	3	7
40	для того	4	7
41	с другой	4	6
42	в этой	5	6
43	несмотря на	2	6
44	отличается от	2	6
45	того что	4	6
46	и на	5	6
47	так как	2	6
48	с ним	4	6
49	в сознании	2	6
50	еще не	3	6
51	что и	3	6
52	тогда как	14	6
53	в мире	8	6
54	только в	6	6
55	вместе с	4	6
56	именно в	4	5
57	столь же	4	5
58	на все	2	5
59	тому же	4	5
60	в целом	5	5
61	другой стороны	2	5
62	как к	2	5
63	и с	2	5
64	потому что	2	5
65	но в	8	5
66	и к	3	5
67	в то	9	5
68	в его	13	5
69	не только	15	5
70	не будет	3	5
71	между двумя	3	5
72	лишь в	5	5
73	в себе	11	5
74	как будто	3	5
75	далеко не	6	5
76	в которой	2	5
77	на вопрос	4	4
78	не могут	3	4
79	никогда не	2	4
80	из того	4	4
81	что как	3	4
82	лишь при	4	4
83	одним из	3	4
84	отношение к	2	4
85	из них	2	4
86	в их	5	4
87	должно быть	2	4
88	и то	2	4
89	между собой	2	4
90	иначе говоря	9	4
91	он не	3	4
92	не есть	8	4
93	то же	9	4
94	а с	3	4
95	из которых	4	4
96	хотя бы	3	4
97	в таком	3	4
98	все прочие	2	4
99	в области	4	4
100	с одной	3	3
101	в нашем	3	3
102	одного и	2	3
103	вопрос о	2	3
104	в нем	3	3
105	данном случае	2	3
106	то ни	3	3
107	и по	2	3
108	а в	9	3
109	это не	6	3
110	каждый из	2	3
111	в начале	2	3
112	что мы	3	3
113	при помощи	2	3
114	и потому	2	3
115	прежде всего	6	3
116	и того	5	3
117	как известно	3	3
118	даже в	3	3
119	может служить	2	3
120	в данном	2	3
121	тем более	2	3
122	отличие от	6	3
123	в частности	19	2
124	себя и	4	2
125	вследствие этого	3	2
126	как мы	2	2
127	сводится к	5	2
128	для него	2	2
129	такой же	2	2
130	на этом	2	2
131	же время	6	2
132	одной стороны	3	2
133	и сам	2	2
134	к нему	3	2
135	от себя	3	2
136	том чтобы	7	2
137	в котором	3	2
138	бы то	3	2
139	и до	2	2
140	имеет место	5	2
141	и состоит	5	2
142	ни было	4	2
143	широком смысле	2	2
144	не следует	4	2
145	также и	2	2
146	то есть	11	2
147	том и	2	2
148	в основе	6	2
149	и более	4	2
150	только не	2	2
151	представляет собою	2	2
152	отнюдь не	15	2
153	следует что	2	2
154	тогда когда	2	2
155	должен быть	6	2
156	вовсе не	2	2
157	то в	2	2
158	но не	10	2
159	было бы	2	2
160	никто не	3	2
161	в сущности	6	2
162	нашем случае	3	2
163	на каждом	2	2
164	в процессе	2	2
165	что же	2	2
166	в себя	6	2
167	тем самым	7	2
168	не более	4	2
169	в другом	4	2
170	этого слова	7	2
