N	2gram	Tiupa_Disk_2	Psycholo
1	и в	16	38
2	в басне	3	37
3	то что	5	35
4	в том	8	25
5	что в	5	20
6	может быть	16	19
7	точки зрения	4	16
8	в ней	2	15
9	то есть	12	15
10	том что	10	14
11	как бы	4	14
12	потому что	4	14
13	в этой	4	13
14	в этом	16	13
15	не только	10	12
16	не в	3	12
17	что он	2	11
18	то же	6	10
19	и не	15	10
20	и все	3	10
21	с точки	2	9
22	все же	6	8
23	перед нами	3	8
24	в одном	4	8
25	как и	16	8
26	и как	3	8
27	и то	4	8
28	и это	2	8
29	с другой	5	7
30	а не	14	7
31	не может	9	7
32	а в	2	7
33	между тем	2	7
34	из них	3	6
35	в котором	3	6
36	он не	3	6
37	с одной	4	6
38	и его	3	6
39	и на	5	6
40	о том	4	6
41	должна быть	2	5
42	в своем	5	5
43	одной стороны	4	5
44	иначе говоря	3	5
45	в своей	6	5
46	время в	2	5
47	вместе с	2	5
48	но и	11	5
49	другой стороны	2	5
50	в той	2	5
51	в другом	3	5
52	в его	3	5
53	никогда не	2	4
54	идет о	2	4
55	который не	2	4
56	при этом	17	4
57	и для	2	4
58	в нем	7	4
59	что и	2	4
60	с той	2	4
61	в целом	2	4
62	как в	8	4
63	все эти	3	4
64	в своих	6	4
65	только в	3	4
66	как будто	3	4
67	в себе	19	4
68	место в	2	3
69	как на	3	3
70	в них	3	3
71	из этих	3	3
72	к этому	4	3
73	указать на	2	3
74	ни в	7	3
75	но это	3	3
76	того же	2	3
77	одно и	2	3
78	в основе	4	3
79	из двух	3	3
80	не к	2	3
81	все это	2	3
82	всякий раз	2	3
83	что как	2	3
84	состоит в	16	3
85	далеко не	2	3
86	в то	5	3
87	его в	3	3
88	рассказ в	2	3
89	здесь не	2	3
90	но в	11	3
91	одного из	4	2
92	в данном	7	2
93	как все	2	2
94	к своему	2	2
95	можно назвать	4	2
96	в этих	3	2
97	отнюдь не	6	2
98	и одновременно	2	2
99	столь же	3	2
100	к своим	2	2
101	в полном	2	2
102	и ее	3	2
103	уже не	3	2
104	такой же	2	2
105	есть в	2	2
106	здесь в	3	2
107	для него	5	2
108	и может	3	2
109	например в	3	2
110	по преимуществу	2	2
111	уже как	2	2
112	совпадает с	2	2
113	с ее	2	2
114	наше время	2	2
115	содержание рассказа	2	2
116	данном случае	6	2
117	со стороны	10	2
118	что же	2	2
119	в наше	2	2
120	а с	5	2
121	не более	2	2
122	и наконец	3	2
123	той же	2	2
124	в качестве	16	2
125	их в	2	2
126	одно из	4	2
127	к его	4	2
128	представляет собой	11	2
129	в русской	3	2
130	на примере	2	2
