N	2gram	Bakhtin_fo_2	slovoVRo
1	и в	46	41
2	в нем	5	30
3	и т	14	28
4	то есть	10	26
5	т п	11	23
6	в романе	13	21
7	в роман	2	19
8	могут быть	2	19
9	во всех	11	17
10	но и	9	16
11	и не	9	16
12	точки зрения	10	16
13	не только	11	16
14	а не	4	15
15	то же	8	14
16	в пределах	5	14
17	может быть	7	14
18	и др	5	14
19	не может	2	14
20	и его	12	14
21	и на	7	14
22	в то	5	14
23	в сущности	2	13
24	в его	8	13
25	слова и	3	13
26	же время	4	12
27	до конца	2	12
28	как бы	10	12
29	в этом	22	12
30	так и	7	11
31	в большинстве	3	10
32	в той	2	10
33	или иной	2	9
34	таким образом	3	9
35	все эти	5	9
36	прежде всего	14	8
37	точка зрения	3	8
38	в особенности	6	8
39	но в	10	8
40	как в	4	8
41	как мы	6	8
42	с точки	8	8
43	все они	3	7
44	не в	9	7
45	отношение к	3	7
46	с ним	4	7
47	вовсе не	13	7
48	все же	6	7
49	во всяком	2	7
50	в отношении	2	6
51	того же	3	6
52	это не	2	6
53	при этом	6	6
54	и даже	3	6
55	а в	3	6
56	большинстве случаев	3	6
57	в них	7	6
58	только в	11	6
59	с другой	2	5
60	почти вовсе	2	5
61	все это	6	5
62	т д	3	5
63	в основе	6	5
64	как его	2	5
65	и к	2	5
66	не на	3	5
67	еще более	4	5
68	далеко не	2	5
69	так сказать	7	5
70	связанных с	3	4
71	и от	2	4
72	кроме того	3	4
73	один из	2	4
74	в их	3	4
75	с одной	2	4
76	лишь в	2	4
77	и наконец	6	4
78	рядом с	2	4
79	и с	6	4
80	и все	6	4
81	всех этих	7	4
82	лежит в	2	4
83	как и	8	4
84	в смысле	5	4
85	здесь в	6	4
86	еще не	6	4
87	том же	4	4
88	и потому	2	4
89	быть и	2	4
90	и для	9	4
91	автора и	2	4
92	ту же	2	4
93	там где	2	4
94	все его	4	4
95	смысла и	2	3
96	никогда не	6	3
97	из этих	4	3
98	к тому	3	3
99	словом и	2	3
100	в том	10	3
101	следовательно и	3	3
102	для него	3	3
103	из них	8	3
104	в своем	5	3
105	именно в	2	3
106	и других	2	3
107	того что	3	3
108	также и	4	3
109	не было	3	3
110	в истории	4	3
111	о том	4	3
112	его в	6	3
113	романе в	6	3
114	так как	6	3
115	у него	9	3
116	и во	6	3
117	с этим	5	3
118	романа в	2	3
119	но здесь	2	3
120	связанные с	5	3
121	в себе	4	3
122	с этой	4	3
123	по существу	5	3
124	в качестве	3	3
125	она не	2	3
126	не были	2	3
127	было бы	2	3
128	конечно не	4	3
129	он не	5	3
130	в основном	8	3
131	у рабле	18	3
132	романа у	2	3
133	но эти	3	3
134	почти всегда	2	3
135	в данном	2	3
136	и почти	2	3
137	в поэзии	2	3
138	в частности	5	2
139	характерно что	2	2
140	что все	2	2
141	этом случае	2	2
142	можно сказать	2	2
143	так что	4	2
144	они были	2	2
145	и самая	2	2
146	что они	4	2
147	на этом	2	2
148	смысле слова	2	2
149	друг с	4	2
150	для того	8	2
151	хотя и	3	2
152	между ними	2	2
153	и по	3	2
154	в этих	3	2
155	друг другу	2	2
156	не могла	2	2
157	уже не	3	2
158	те же	6	2
159	у них	2	2
160	должно быть	5	2
161	так же	2	2
162	потому что	8	2
163	но он	2	2
164	не является	3	2
165	оно было	2	2
166	в котором	4	2
167	перестает быть	2	2
168	роман в	2	2
169	в одном	7	2
170	в духе	2	2
171	к этому	3	2
172	у нас	2	2
173	том что	4	2
174	мы видим	2	2
175	то в	2	2
176	но не	5	2
177	по своему	2	2
178	а на	2	2
179	до сих	2	2
180	мы уже	9	2
181	уже сказали	3	2
182	и о	2	2
183	наконец в	2	2
184	и самое	4	2
185	а также	3	2
186	зрения не	3	2
187	для романа	3	2
188	сих пор	2	2
189	в зоне	2	2
190	и у	5	2
191	эпохи и	2	2
192	роль в	3	2
193	от этого	2	2
194	в другом	3	2
195	на протяжении	3	2
196	связи с	8	2
197	с другом	4	2
198	жизни но	2	2
199	здесь не	2	2
200	и стиль	2	2
