N	2gram	Nazirov_Tv_1	DiskursI
1	в качестве	2	34
2	не только	7	28
3	в том	7	23
4	а не	5	22
5	то есть	12	20
6	том что	11	19
7	может быть	5	17
8	представляет собой	3	17
9	и в	21	16
10	как и	12	16
11	в этом	6	15
12	но и	3	14
13	при этом	7	13
14	прежде всего	4	11
15	но не	3	11
16	и не	7	11
17	с другой	3	10
18	как в	8	10
19	далеко не	3	10
20	в частности	2	9
21	в нем	3	9
22	не может	4	9
23	отнюдь не	5	8
24	своего рода	4	8
25	так и	2	8
26	о том	6	8
27	но в	7	8
28	в основе	2	7
29	в его	13	7
30	то же	13	7
31	в себе	2	7
32	только в	5	7
33	не в	2	7
34	в своем	4	6
35	и как	4	6
36	к тому	2	5
37	можно сказать	2	5
38	как бы	17	5
39	в котором	6	5
40	в своей	4	5
41	то что	8	5
42	в отличие	2	5
43	а в	6	5
44	в себя	2	5
45	в их	3	5
46	по природе	6	5
47	отличие от	2	5
48	и на	7	5
49	в данном	2	5
50	с его	11	4
51	что в	12	4
52	что он	6	4
53	уже не	3	4
54	для него	6	4
55	в целом	4	4
56	же время	12	4
57	одной из	4	4
58	на его	3	4
59	по сути	4	4
60	что не	2	4
61	потому что	5	4
62	могут быть	2	4
63	перед нами	2	3
64	однако в	2	3
65	того же	2	3
66	это не	4	3
67	в одной	2	3
68	что и	2	3
69	и того	2	3
70	времени и	4	3
71	в свою	7	3
72	в самом	3	3
73	еще в	2	3
74	себе не	2	3
75	один из	4	3
76	хотя бы	5	3
77	на смену	2	3
78	все же	5	3
79	из них	2	3
80	таким образом	5	3
81	именно в	2	3
82	того что	3	3
83	и даже	3	3
84	ведет к	2	3
85	в своих	5	3
86	сказать что	2	3
87	общения с	2	3
88	в то	15	3
89	в первом	2	3
90	мира в	2	3
91	зависит от	2	2
92	не менее	6	2
93	одновременно и	2	2
94	никогда не	3	2
95	о котором	2	2
96	по крайней	2	2
97	и все	6	2
98	одного из	2	2
99	в каждом	3	2
100	это в	3	2
101	к этому	2	2
102	в году	7	2
103	в литературе	2	2
104	об этом	2	2
105	крайней мере	2	2
106	его как	2	2
107	в соответствии	3	2
108	было в	2	2
109	он ни	3	2
110	в принципе	2	2
111	одним из	4	2
112	хотя и	3	2
113	и тем	2	2
114	с ее	3	2
115	а по	2	2
116	наше время	2	2
117	когда он	2	2
118	на том	2	2
119	героя и	2	2
120	дело не	3	2
121	данном случае	2	2
122	мысли и	4	2
123	приводит к	2	2
124	в наше	2	2
125	жизни в	6	2
126	как к	2	2
127	уже в	3	2
128	человека в	6	2
129	свидетельствует о	2	2
130	и он	2	2
131	времени в	13	2
132	сути дела	3	2
133	и по	3	2
134	в современном	2	2
135	и его	6	2
136	или в	2	2
137	в рассказе	3	2
138	в момент	4	2
139	соответствии с	3	2
140	на протяжении	3	2
141	в этой	5	2
142	так сказать	2	2
143	в виду	2	2
