N	2gram	Vygotskiy__5	Russkaja
1	не может	18	22
2	и не	12	19
3	в том	18	17
4	в этом	25	17
5	и в	16	14
6	с другом	7	14
7	друг с	7	14
8	то что	26	13
9	таким образом	19	11
10	то же	8	11
11	точки зрения	18	11
12	но и	6	10
13	в то	5	10
14	том что	15	9
15	не только	16	9
16	с точки	9	9
17	может быть	9	9
18	во всяком	2	9
19	прежде всего	3	8
20	того чтобы	17	8
21	как на	3	8
22	к тому	6	7
23	самом деле	3	7
24	мы должны	8	7
25	о том	8	7
26	и с	3	7
27	если бы	8	6
28	что он	25	6
29	и к	2	6
30	с тем	3	6
31	для него	5	6
32	для того	14	6
33	если в	3	6
34	все это	2	6
35	в своем	5	6
36	в своих	2	6
37	себя и	2	5
38	между собой	13	5
39	хотя бы	5	5
40	он должен	5	5
41	вопрос о	12	5
42	и на	6	5
43	при этом	4	5
44	до сих	3	5
45	было бы	10	5
46	в своей	2	5
47	он не	8	5
48	никогда не	5	5
49	в нем	7	5
50	сих пор	3	5
51	во всех	2	5
52	по существу	3	5
53	а потому	3	5
54	из которых	3	5
55	а в	3	5
56	потому что	21	5
57	только в	10	5
58	между тем	3	5
59	но не	10	4
60	не могут	4	4
61	что в	16	4
62	тогда когда	5	4
63	как и	8	4
64	все что	2	4
65	как бы	5	4
66	все же	3	4
67	жизни и	2	4
68	в корне	2	4
69	вместе с	4	4
70	от того	3	4
71	в их	3	4
72	приводит к	7	4
73	тому чтобы	4	4
74	в совершенно	2	4
75	не в	6	4
76	можно было	5	4
77	и то	4	4
78	в этой	6	4
79	во всем	2	4
80	в его	11	4
81	и т.д	4	4
82	его в	2	4
83	так как	16	4
84	к этой	3	4
85	именно в	4	3
86	что все	6	3
87	таким же	3	3
88	этом случае	3	3
89	и как	3	3
90	в другом	6	3
91	то в	3	3
92	что они	5	3
93	должно быть	8	3
94	в качестве	4	3
95	лучшем случае	4	3
96	еще не	4	3
97	в самом	4	3
98	мы говорили	2	3
99	одной из	3	3
100	но если	6	3
101	и потому	2	3
102	но мы	5	3
103	то это	2	3
104	что и	3	3
105	не есть	4	3
106	из них	2	3
107	только к	2	3
108	что оно	6	3
109	того что	16	3
110	и по	4	3
111	что для	2	3
112	в лучшем	3	3
113	приходит к	3	3
114	тем что	5	3
115	говорить о	3	3
116	связи с	3	3
117	из этого	2	3
118	только для	2	2
119	а с	2	2
120	зависит от	4	2
121	сама по	4	2
122	и более	3	2
123	должна быть	5	2
124	и есть	7	2
125	в частности	3	2
126	у него	6	2
127	в меру	4	2
128	друг другу	2	2
129	его и	3	2
130	что только	2	2
131	и от	2	2
132	с этим	3	2
133	этот вопрос	6	2
134	состоит в	6	2
135	совершенно очевидно	2	2
136	по себе	7	2
137	так что	4	2
138	чтобы понять	2	2
139	это есть	4	2
140	но это	3	2
141	естественно что	2	2
142	является не	2	2
143	указывает на	2	2
144	что с	5	2
145	и тот	3	2
146	ничего другого	2	2
147	совершенно не	2	2
148	от друга	4	2
149	каждого отдельного	3	2
150	в ней	2	2
151	и является	3	2
152	в котором	2	2
153	приводят к	2	2
154	и тем	3	2
155	благодаря этому	2	2
156	друг от	4	2
157	к данному	2	2
158	ее в	3	2
159	сделать это	2	2
160	на основании	2	2
161	тому что	5	2
162	по отношению	12	2
163	отношения к	2	2
164	все эти	4	2
165	только на	2	2
166	и что	12	2
167	тем самым	8	2
168	а не	10	2
169	стоит только	2	2
170	и даже	2	2
171	к нему	3	2
172	так же	15	2
173	в результате	4	2
174	их в	2	2
175	больше чем	3	2
176	в силу	10	2
177	мы можем	6	2
178	понять что	2	2
179	как будто	2	2
180	в этих	3	2
181	с ним	5	2
182	в области	12	2
183	но в	6	2
