N	2gram	Propp_Isto_2	Myslijsy
1	потому что	9	46
2	в том	6	32
3	и в	15	30
4	может быть	17	28
5	то же	10	23
6	не только	18	21
7	только в	6	21
8	для нас	4	20
9	но и	14	19
10	том что	7	18
11	то что	12	18
12	того что	3	18
13	что в	12	17
14	в себе	4	16
15	не в	7	15
16	и не	11	15
17	а не	5	15
18	таким образом	7	14
19	что и	6	13
20	так как	14	13
21	точно так	6	12
22	вместе с	7	12
23	а в	12	12
24	так и	5	11
25	как и	2	10
26	как в	5	10
27	и что	6	10
28	в этом	11	10
29	из этих	3	9
30	было бы	5	9
31	в нем	7	9
32	мы не	3	9
33	в ней	4	8
34	что мы	3	8
35	и то	2	8
36	слова в	2	7
37	смысле этого	2	7
38	с другой	2	7
39	к тому	5	7
40	так что	6	7
41	с тем	9	7
42	но не	2	7
43	с одной	4	7
44	тем самым	2	7
45	тем что	4	7
46	зависит от	2	6
47	что он	24	6
48	но это	4	6
49	с этим	5	6
50	из них	2	6
51	например в	2	6
52	то это	6	6
53	не может	5	6
54	уже в	2	5
55	одно из	2	5
56	еще не	9	5
57	отношению к	3	5
58	по отношению	3	5
59	с другими	2	5
60	тому как	3	5
61	сказать что	2	5
62	и т	19	5
63	к ней	2	5
64	что это	6	4
65	мы видели	2	4
66	по мере	3	4
67	все это	3	4
68	в его	6	4
69	себя и	2	4
70	в котором	5	4
71	не все	2	4
72	один из	8	4
73	другой стороны	2	4
74	и его	3	4
75	он не	8	4
76	не было	2	4
77	и по	2	4
78	того как	4	4
79	мы должны	4	4
80	и это	3	4
81	этого не	5	3
82	и есть	5	3
83	могут быть	2	3
84	прежде всего	5	3
85	связь с	4	3
86	и вместе	2	3
87	именно в	2	3
88	мы можем	8	3
89	что при	5	3
90	мере того	2	3
91	до сих	6	3
92	одной стороны	3	3
93	при этом	4	3
94	и может	2	3
95	что она	5	3
96	как бы	6	3
97	на него	5	3
98	т д	18	3
99	представления и	2	3
100	того чтобы	2	3
101	дает нам	2	3
102	к нему	5	3
103	в силу	2	3
104	так же	13	3
105	на которой	2	3
106	или в	2	3
107	и на	4	3
108	же и	3	3
109	не знает	2	3
110	его в	10	3
111	тогда и	2	3
112	заметить что	2	3
113	в которой	2	3
114	сих пор	7	3
115	перед нами	2	2
116	во время	2	2
117	но все	5	2
118	об этом	11	2
119	связи с	8	2
120	не столько	2	2
121	в одном	5	2
122	показывает что	4	2
123	на то	3	2
124	одной из	4	2
125	на котором	2	2
126	мы видим	8	2
127	в этой	4	2
128	что они	10	2
129	у него	4	2
130	могла бы	2	2
131	она не	5	2
132	уже на	3	2
133	и если	2	2
134	или на	4	2
135	на его	2	2
136	не могла	2	2
137	выше мы	3	2
138	и почему	3	2
139	должно было	3	2
140	мы уже	6	2
141	был бы	2	2
142	все же	9	2
143	в их	3	2
144	так в	3	2
145	так у	2	2
146	в других	3	2
147	в разных	2	2
148	а с	2	2
149	самом деле	2	2
150	в системе	2	2
151	и наконец	5	2
152	той же	2	2
153	в которых	2	2
154	тут же	2	2
155	их в	2	2
156	ни в	2	2
157	эти слова	3	2
158	подобно тому	3	2
159	о том	3	2
160	что эта	2	2
161	так сказать	2	2
162	иметь в	2	2
163	когда мы	2	2
164	то не	2	2
165	и с	4	2
166	из него	2	2
