N	2gram	Medvedev_V_1	Mirosoze
1	и в	26	46
2	в нем	6	22
3	у него	6	22
4	может быть	22	21
5	в этом	26	20
6	никогда не	4	18
7	для него	8	18
8	и не	19	18
9	не только	25	18
10	но и	10	15
11	не может	17	15
12	человека в	2	14
13	как и	7	13
14	а не	7	13
15	прежде всего	13	12
16	не было	7	11
17	в ней	2	11
18	у нас	2	11
19	и он	2	11
20	но в	2	10
21	он не	2	10
22	в себе	6	10
23	не в	6	9
24	и есть	5	8
25	как бы	5	8
26	в своем	8	8
27	она не	3	8
28	и достоевский	2	8
29	связана с	2	7
30	человека и	3	7
31	в этой	4	7
32	что он	4	7
33	и к	3	7
34	и потому	2	7
35	хотя бы	19	7
36	и для	2	7
37	он сам	2	6
38	так же	3	6
39	того что	3	6
40	жизни и	3	6
41	то же	10	5
42	бы и	6	5
43	что все	3	5
44	в самом	4	5
45	один из	5	5
46	что она	2	5
47	это не	7	5
48	в конце	3	5
49	к тому	4	5
50	то что	6	5
51	в своей	4	5
52	для того	3	5
53	и его	6	5
54	в его	14	5
55	что в	10	4
56	тому что	6	4
57	что у	2	4
58	они не	2	4
59	должны быть	2	4
60	самого себя	2	4
61	также и	2	4
62	с его	3	4
63	в жизни	2	4
64	том что	8	4
65	должен быть	4	4
66	что и	3	4
67	так и	5	4
68	т е	18	4
69	того чтобы	3	4
70	у них	2	4
71	ума и	2	4
72	же как	2	3
73	можно ли	2	3
74	он же	5	3
75	и от	3	3
76	в каждом	2	3
77	в образе	2	3
78	идеи и	6	3
79	в том	15	3
80	что они	3	3
81	смысле слова	2	3
82	было в	2	3
83	момент в	3	3
84	в своих	2	3
85	сказать что	5	3
86	о том	10	3
87	его в	3	3
88	как он	2	3
89	если бы	3	3
90	в них	4	3
91	это и	6	3
92	от того	2	3
93	чтобы не	2	3
94	только в	7	3
95	в творчестве	3	3
96	только с	2	3
97	в чем	2	3
98	что нет	2	3
99	и мир	3	2
100	или иной	2	2
101	как у	2	2
102	со своим	2	2
103	но для	2	2
104	хотя и	2	2
105	же и	2	2
106	в сфере	2	2
107	этот процесс	2	2
108	по отношению	7	2
109	достоевского и	2	2
110	лишь в	2	2
111	должно быть	2	2
112	его не	3	2
113	а в	3	2
114	не о	2	2
115	точки зрения	3	2
116	бы в	3	2
117	нет ни	2	2
118	е в	2	2
119	между тем	5	2
120	а для	2	2
121	тогда когда	2	2
122	по себе	2	2
123	в дневнике	2	2
124	анны карениной	2	2
125	связи с	4	2
126	мысль о	2	2
127	себе и	2	2
128	во всех	6	2
129	отношению к	7	2
130	вместе с	7	2
131	ее в	4	2
132	бы не	2	2
133	но с	2	2
134	что не	3	2
135	ни одного	2	2
136	вот почему	4	2
137	можно было	2	2
138	тому как	2	2
139	подобно тому	2	2
140	от его	2	2
141	которые в	2	2
142	в которой	2	2
