N	2gram	Bakhtin_KF_1	Psycholo
1	в том	6	37
2	и в	24	32
3	том что	4	21
4	то что	7	21
5	потому что	2	21
6	что в	4	20
7	может быть	45	18
8	что и	7	17
9	не может	27	17
10	точки зрения	12	17
11	самом деле	3	16
12	того чтобы	2	14
13	что он	2	13
14	при этом	4	13
15	то же	5	13
16	для того	3	13
17	в этом	14	13
18	по себе	2	12
19	не только	5	12
20	с тем	2	11
21	было бы	8	11
22	в основе	5	11
23	как и	5	10
24	но и	9	10
25	и не	26	10
26	с точки	9	10
27	никогда не	5	9
28	как в	2	9
29	в своих	3	9
30	тем что	3	9
31	что это	3	8
32	не менее	3	8
33	не в	12	8
34	дело с	2	8
35	того что	3	8
36	ясно что	3	7
37	и как	2	7
38	а не	17	7
39	все эти	10	7
40	и его	17	7
41	только в	16	7
42	в этой	2	6
43	и мы	2	6
44	он не	6	6
45	как бы	9	6
46	о том	3	6
47	если бы	8	6
48	отнюдь не	6	5
49	в ней	3	5
50	все это	10	5
51	на самом	3	5
52	и на	3	5
53	в то	3	5
54	от того	3	4
55	едва ли	2	4
56	в жизни	2	4
57	тем не	2	4
58	в чем	4	4
59	и когда	2	4
60	совершенно не	6	4
61	и тем	3	4
62	в нем	28	4
63	все же	5	4
64	жизни и	8	4
65	а в	4	4
66	и все	7	4
67	мы имеем	5	4
68	не имеет	5	4
69	и для	9	4
70	в данном	2	4
71	тому что	2	4
72	могут быть	3	4
73	в целом	10	4
74	и это	12	4
75	ничего не	3	4
76	в сознании	2	4
77	между тем	4	4
78	по своему	3	3
79	для этого	2	3
80	хотя бы	4	3
81	не как	4	3
82	действительной жизни	3	3
83	но как	5	3
84	до конца	3	3
85	в свою	3	3
86	только как	4	3
87	в своей	10	3
88	один из	2	3
89	с ее	2	3
90	так и	2	3
91	во всех	11	3
92	и их	6	3
93	были бы	2	3
94	и ее	2	3
95	бы и	3	3
96	в их	8	3
97	это только	2	3
98	еще более	2	3
99	и других	2	3
100	что не	3	3
101	отказаться от	2	3
102	жизнь и	2	3
103	и совершенно	3	3
104	как к	2	3
105	в смысле	6	3
106	в каком	4	3
107	и то	2	3
108	во всем	7	3
109	отношении к	2	3
110	того или	3	3
111	думать что	2	3
112	та же	2	3
113	тогда когда	3	3
114	но в	5	3
115	мы не	3	3
116	в виду	3	3
117	это было	2	3
118	слова в	2	2
119	место в	5	2
120	и этот	3	2
121	оба эти	2	2
122	мы получим	2	2
123	то ни	2	2
124	это не	10	2
125	в одном	4	2
126	в каждом	3	2
127	или иного	3	2
128	к которой	2	2
129	но эта	5	2
130	и эти	2	2
131	сводится к	2	2
132	и здесь	7	2
133	ни в	12	2
134	из самого	2	2
135	же время	2	2
136	даны в	2	2
137	еще не	4	2
138	но не	12	2
139	из которых	2	2
140	вовсе не	7	2
141	к нему	12	2
142	к ним	4	2
143	в его	40	2
144	из себя	8	2
145	в него	2	2
146	когда я	3	2
147	в ее	16	2
148	для нее	7	2
149	его с	2	2
150	оно не	2	2
151	его жизни	3	2
152	бы то	2	2
153	отношение к	5	2
154	для нас	4	2
155	в процессе	2	2
156	не остается	2	2
157	себе и	3	2
158	ни у	2	2
159	бы не	3	2
160	а с	2	2
161	не было	8	2
162	содержания и	2	2
163	здесь мы	4	2
164	именно на	2	2
165	и отсюда	2	2
166	то или	2	2
167	и содержание	5	2
168	что этот	3	2
169	это можно	2	2
170	но это	6	2
171	ли это	2	2
172	имеем в	2	2
173	в себе	21	2
174	смысл и	6	2
175	и только	6	2
176	не значит	6	2
177	там где	5	2
178	не потому	2	2
179	могло бы	4	2
