N	2gram	Propp_Isto_1	Psycholo
1	то что	9	32
2	и в	28	31
3	в том	9	30
4	и т	25	26
5	что в	12	23
6	может быть	25	22
7	таким образом	8	20
8	при помощи	2	20
9	ясно что	2	19
10	при этом	3	19
11	так как	6	18
12	не может	15	17
13	как и	4	16
14	том что	7	16
15	и не	9	16
16	только в	11	14
17	а не	15	13
18	не только	12	13
19	что и	6	13
20	так же	7	12
21	если мы	3	12
22	мы не	10	12
23	в этом	8	12
24	могут быть	4	11
25	не в	9	11
26	в области	2	11
27	на то	4	10
28	того что	4	10
29	потому что	4	10
30	по себе	3	9
31	как в	2	9
32	никогда не	14	8
33	вместе с	6	8
34	все это	4	8
35	т д	22	8
36	и что	10	8
37	что мы	7	8
38	что он	10	7
39	том чтобы	2	7
40	и его	3	7
41	сказать что	5	7
42	о том	9	7
43	что это	8	6
44	вовсе не	2	6
45	зависимости от	2	6
46	одной стороны	4	6
47	было бы	7	6
48	если бы	8	6
49	вслед за	6	6
50	а в	7	6
51	что она	5	6
52	и даже	4	6
53	в его	5	6
54	само по	2	5
55	тогда когда	2	5
56	в ее	2	5
57	показывает что	3	5
58	все же	10	5
59	так что	4	5
60	мы видим	11	5
61	с одной	4	5
62	то время	3	5
63	для нас	13	5
64	в какой	3	5
65	как бы	2	5
66	был бы	2	5
67	в зависимости	2	5
68	в целом	2	5
69	другой стороны	5	5
70	и для	4	5
71	то же	12	5
72	с другой	6	5
73	время как	3	5
74	в то	3	5
75	как будто	4	5
76	утверждать что	3	5
77	к тому	6	4
78	в котором	3	4
79	и другие	4	4
80	прежде всего	10	4
81	столь же	2	4
82	очень часто	3	4
83	в себе	2	4
84	указывает на	2	4
85	отличие от	2	4
86	по существу	5	4
87	же как	2	4
88	одна из	2	4
89	мы увидим	10	4
90	и если	2	4
91	точка зрения	2	4
92	один из	4	4
93	только из	2	4
94	в этих	7	4
95	со стороны	2	4
96	к этому	2	4
97	для всех	2	4
98	там где	4	4
99	между тем	2	4
100	как это	3	4
101	мы имеем	13	4
102	дело с	2	3
103	не могут	2	3
104	с тем	4	3
105	в частности	2	3
106	его и	2	3
107	в своем	5	3
108	точку зрения	3	3
109	надо сказать	3	3
110	точно так	3	3
111	должна быть	5	3
112	вопрос о	5	3
113	мы знаем	4	3
114	но это	4	3
115	в силу	5	3
116	но не	5	3
117	не можем	3	3
118	до сих	5	3
119	для объяснения	2	3
120	из которых	3	3
121	например в	5	3
122	в этой	6	3
123	он не	2	3
124	и когда	2	3
125	в конечном	2	3
126	чистом виде	2	3
127	но мы	2	3
128	сих пор	5	3
129	не есть	2	3
130	так и	9	3
131	в отличие	2	3
132	и вот	2	3
133	должны быть	4	3
134	и по	3	3
135	и только	2	3
136	с этим	4	3
137	у меня	3	3
138	во всем	3	3
139	когда мы	2	3
140	но в	8	3
141	т е	10	3
142	в основе	4	2
143	не менее	6	2
144	не существует	2	2
145	на вопрос	2	2
146	в книге	3	2
147	видели что	3	2
148	в немецкой	2	2
149	по этому	2	2
150	и как	2	2
151	бы мы	2	2
152	не означает	2	2
153	и от	2	2
154	должны будем	4	2
155	не всегда	8	2
156	в такой	2	2
157	с ним	2	2
158	и здесь	7	2
159	там же	2	2
160	а только	2	2
161	тем не	6	2
162	уже не	3	2
163	этого вопроса	3	2
164	из всех	2	2
165	и потому	2	2
166	представляет собой	4	2
167	что они	5	2
168	более или	5	2
169	что здесь	5	2
170	в качестве	5	2
171	не дает	2	2
172	тот же	2	2
173	и тот	2	2
174	означает что	4	2
175	что такое	2	2
176	и их	3	2
177	большей частью	2	2
178	видим что	9	2
179	даже в	4	2
180	и тем	2	2
181	в нем	2	2
182	мы видели	2	2
183	не знаем	2	2
184	из них	3	2
185	когда он	6	2
186	но и	10	2
187	говорит о	2	2
188	или менее	5	2
189	что же	3	2
190	приводит к	2	2
191	и тогда	3	2
192	как мы	3	2
193	как раз	2	2
194	то и	2	2
195	действия и	3	2
196	в связи	4	2
197	этому поводу	2	2
198	же самое	3	2
199	на основе	5	2
200	к чему	3	2
201	есть только	3	2
202	увидим что	5	2
203	отказаться от	2	2
204	ничего не	2	2
205	нас в	2	2
206	к ним	4	2
207	их в	5	2
208	и с	4	2
209	бы в	2	2
210	на это	2	2
211	будто бы	3	2
212	его в	6	2
213	как он	2	2
214	из этого	2	2
215	не то	4	2
216	в одном	5	2
