N	3gram	Losev_Prob_3	StatiiOP
1	и т д	13	21
2	в том что	9	17
3	о том что	3	11
4	можно было бы	3	8
5	с точки зрения	2	8
6	до сих пор	2	7
7	в данном случае	7	6
8	на самом деле	2	6
9	с другой стороны	5	6
10	во всяком случае	6	6
11	не может быть	5	5
12	в то же	4	4
13	но также и	2	4
14	не только в	2	4
15	того или иного	3	4
16	дело в том	3	4
17	что и в	3	4
18	не значит что	2	3
19	что же касается	4	3
20	и в этом	6	3
21	ничего общего с	2	3
22	и только в	2	3
23	то или иное	2	3
24	заключается в том	3	3
25	то что у	3	2
26	в том смысле	3	2
27	в то время	4	2
28	т д и	4	2
29	не имеет ничего	3	2
30	на этот раз	3	2
31	вовсе не в	2	2
32	тем не менее	10	2
33	в этом случае	5	2
34	в первую очередь	3	2
35	но с другой	2	2
36	по крайней мере	5	2
37	может быть и	3	2
38	дело не в	2	2
39	и то что	7	2
40	имеет ничего общего	3	2
41	но и в	2	2
