N	2gram	Vinokur_St_2	VLabPisa
1	таким образом	10	27
2	в этом	21	26
3	и в	29	25
4	и т	9	24
5	не только	19	22
6	может быть	2	21
7	хотя бы	3	20
8	и не	9	19
9	т е	10	17
10	не может	2	17
11	в его	13	15
12	т д	6	15
13	в письме	5	14
14	в процессе	2	14
15	прежде всего	5	13
16	в том	27	13
17	этом отношении	9	13
18	в частности	4	12
19	все это	11	12
20	как это	2	12
21	вот что	3	11
22	с другой	4	11
23	из них	3	11
24	в качестве	5	10
25	письме к	8	10
26	о том	17	10
27	по этому	2	9
28	к этому	4	9
29	об этом	6	9
30	что в	19	9
31	для него	4	9
32	и др	2	9
33	но и	19	9
34	то же	2	9
35	т п	3	9
36	по словам	4	8
37	все эти	2	8
38	в своем	9	8
39	другой стороны	3	8
40	в году	3	7
41	как и	2	7
42	том что	27	7
43	было бы	5	7
44	говорит о	2	7
45	вместе с	7	7
46	этому поводу	2	7
47	не было	3	7
48	а не	5	7
49	в себе	2	6
50	то что	11	6
51	более или	2	6
52	том же	2	6
53	в нем	4	6
54	так и	9	6
55	или менее	2	6
56	и его	6	6
57	между тем	5	6
58	в то	2	6
59	в результате	2	5
60	тому что	7	5
61	все же	6	5
62	как говорит	2	5
63	очевидно что	2	5
64	связи с	4	5
65	одним из	6	5
66	как бы	5	5
67	работы над	4	5
68	в их	3	5
69	сказать что	2	5
70	действующих лиц	4	5
71	только в	2	5
72	не в	4	5
73	не является	3	5
74	к тому	10	4
75	никогда не	3	4
76	в одном	6	4
77	что он	13	4
78	с его	2	4
79	в ее	2	4
80	в романе	4	4
81	в своей	7	4
82	в самом	7	4
83	даже в	2	4
84	как раз	8	4
85	в них	2	4
86	в статье	2	4
87	в этой	2	4
88	утверждать что	2	4
89	и к	4	3
90	во время	2	3
91	с тем	7	3
92	и как	2	3
93	в конце	2	3
94	одном из	3	3
95	только что	2	3
96	у нас	3	3
97	по существу	2	3
98	из его	2	3
99	что они	2	3
100	по поводу	8	3
101	с этим	3	3
102	например в	3	3
103	и он	3	3
104	в виду	7	3
105	в котором	7	3
106	нет и	2	3
107	его в	2	3
108	что и	2	3
109	ее в	2	3
110	пушкин в	5	3
111	например что	2	3
112	именно в	4	3
113	этот вопрос	2	3
114	в значительной	2	3
115	того что	5	3
116	и по	3	3
117	так же	3	3
118	его не	3	3
119	никак не	2	3
120	как на	9	3
121	точки зрения	5	3
122	образом не	2	2
123	не менее	3	2
124	на вопрос	3	2
125	из писем	2	2
126	только не	2	2
127	к сожалению	2	2
128	у пушкина	12	2
129	с нею	3	2
130	вовсе не	6	2
131	а как	4	2
132	по себе	3	2
133	только о	2	2
134	не приходится	4	2
135	а затем	2	2
136	до сих	6	2
137	и потому	2	2
138	но не	3	2
139	как у	3	2
140	как известно	2	2
141	так например	7	2
142	в пользу	3	2
143	для того	7	2
144	в общем	3	2
145	одной из	3	2
146	если бы	2	2
147	подчеркнуть что	3	2
148	ни с	2	2
149	в ней	7	2
150	и даже	3	2
151	всяком случае	3	2
152	ни одного	3	2
153	при помощи	4	2
154	не по	2	2
155	писем к	2	2
156	сих пор	5	2
157	между прочим	12	2
158	в особенности	2	2
159	свидетельствуют о	2	2
160	еще и	3	2
161	в течение	6	2
162	но с	4	2
163	того чтобы	6	2
164	что такое	2	2
165	само собою	2	2
166	по его	3	2
167	другом месте	2	2
168	отметить что	2	2
169	не столько	7	2
170	также и	2	2
171	во всяком	3	2
172	хотя и	4	2
173	он не	9	2
174	они не	2	2
175	как например	2	2
176	в другом	4	2
177	от его	2	2
178	на это	2	2
179	как он	2	2
180	в образе	3	2
181	в которой	11	2
182	в области	2	2
183	говорит об	2	2
184	же как	3	2
185	о чем	5	2
186	но в	8	2
