N	2gram	Voloshinov_1	Poddanst
1	не только	5	17
2	и в	15	14
3	и не	16	12
4	в области	3	11
5	в отношении	2	10
6	в этом	13	10
7	то же	7	9
8	в том	4	9
9	в качестве	2	9
10	но в	9	9
11	хотя бы	7	8
12	же время	5	7
13	в то	6	7
14	только в	6	7
15	но и	4	6
16	в ней	5	6
17	было бы	6	6
18	не в	4	5
19	и пр	9	5
20	и о	3	5
21	может быть	13	5
22	то что	10	4
23	что в	6	4
24	если бы	3	4
25	в своем	2	4
26	не может	13	4
27	по себе	2	4
28	и к	7	4
29	а в	6	4
30	том что	5	4
31	мы должны	7	4
32	как бы	11	4
33	и потому	8	4
34	в нем	4	3
35	это не	2	3
36	прежде всего	11	3
37	с точки	10	3
38	сводится к	3	3
39	мы не	4	3
40	с ними	4	3
41	между тем	2	3
42	но не	5	3
43	могут быть	6	3
44	точки зрения	13	3
45	в себе	4	3
46	что мы	2	3
47	тот же	5	3
48	потому что	4	3
49	я и	6	3
50	не менее	3	2
51	для них	3	2
52	именно в	3	2
53	и есть	2	2
54	во всех	8	2
55	хх века	2	2
56	время в	2	2
57	не будем	2	2
58	отнюдь не	2	2
59	со стороны	2	2
60	все это	5	2
61	как раз	2	2
62	отношения к	2	2
63	с этим	6	2
64	в жизни	5	2
65	главным образом	4	2
66	еще более	2	2
67	думать что	2	2
68	и вот	6	2
69	а не	2	2
70	того что	2	2
71	должно быть	2	2
72	в ее	4	2
73	как на	3	2
74	одна из	3	2
75	из важнейших	2	2
76	не было	4	2
77	в эту	2	2
78	в его	9	2
79	и с	7	2
