N	2gram	Medvedev_F_3	Analitik
1	литературного произведения	4	41
2	может быть	25	29
3	в том	7	27
4	не может	24	22
5	и не	30	21
6	и в	27	18
7	а не	17	17
8	но и	10	17
9	отнюдь не	8	15
10	не только	9	15
11	не в	12	14
12	как и	14	13
13	в его	7	13
14	в этом	18	13
15	литературное произведение	3	12
16	том что	4	12
17	при этом	8	12
18	произведения в	6	11
19	в себе	3	11
20	но не	5	10
21	то же	15	9
22	в то	7	9
23	художественная реальность	2	8
24	не есть	4	8
25	в той	3	8
26	нуждается в	3	8
27	но в	6	8
28	художественного восприятия	2	7
29	к тому	4	7
30	этого слова	2	7
31	произведения как	6	7
32	это не	3	6
33	прежде всего	4	6
34	или иной	2	6
35	же время	7	6
36	в самом	11	6
37	в сущности	2	6
38	должен быть	2	6
39	то что	8	6
40	в своей	6	6
41	в отличие	2	6
42	отличие от	2	6
43	по отношению	3	6
44	в основе	3	6
45	точки зрения	16	6
46	только в	8	6
47	художественного произведения	7	5
48	и как	4	5
49	в этой	2	5
50	что в	8	5
51	имеет место	3	5
52	как бы	8	5
53	внутренней речи	2	5
54	отношению к	3	5
55	в целом	4	5
56	художественное произведение	11	5
57	сводится к	5	5
58	лишь в	9	5
59	и его	19	5
60	между тем	7	5
61	и на	3	5
62	о том	4	5
63	в произведении	3	5
64	того что	3	4
65	и более	3	4
66	истории литературы	6	4
67	искусства в	3	4
68	могут быть	4	4
69	столь же	3	4
70	с другой	6	4
71	по себе	4	4
72	в литературе	6	4
73	смысла но	2	4
74	ни в	8	4
75	того же	3	4
76	для того	4	4
77	в области	2	4
78	все же	6	4
79	вместе с	6	4
80	так и	21	4
81	дело с	3	4
82	уже не	3	4
83	ни было	5	4
84	с точки	14	4
85	не следует	3	4
86	место в	10	3
87	смысла и	4	3
88	не могут	10	3
89	с его	2	3
90	однако в	2	3
91	то ни	4	3
92	вследствие этого	3	3
93	хотя бы	6	3
94	и все	8	3
95	в нем	15	3
96	что он	6	3
97	и т	11	3
98	еще не	6	3
99	одним из	3	3
100	о нем	3	3
101	в котором	2	3
102	даже в	2	3
103	дело не	2	3
104	что и	2	3
105	бы то	4	3
106	ни с	2	3
107	смысл и	4	3
108	таким образом	18	3
109	того чтобы	5	3
110	в таком	2	3
111	тому как	5	3
112	подобно тому	4	3
113	т п	5	3
114	более того	6	3
115	как он	2	3
116	в художественном	5	3
117	бы быть	2	3
118	в полной	2	3
119	если бы	12	3
120	творчества и	3	2
121	может иметь	2	2
122	не являются	2	2
123	только не	2	2
124	на фоне	3	2
125	на все	2	2
126	никогда не	5	2
127	все эти	6	2
128	его и	3	2
129	между собой	4	2
130	для этого	2	2
131	в какой	3	2
132	установкой на	2	2
133	не является	5	2
134	из этих	2	2
135	тогда когда	4	2
136	была бы	2	2
137	вовсе не	28	2
138	как язык	2	2
139	что именно	5	2
140	бы ни	4	2
141	можно сказать	3	2
142	неотделимо от	2	2
143	в искусстве	7	2
144	то в	2	2
145	и потому	5	2
146	как от	3	2
147	такой же	2	2
148	в пределах	8	2
149	было бы	6	2
150	для чего	2	2
151	за пределы	2	2
152	как совокупность	2	2
153	она есть	3	2
154	совпадает с	2	2
155	не о	3	2
156	и является	4	2
157	еще в	3	2
158	нет и	3	2
159	произведение в	4	2
160	сами по	2	2
161	какой бы	2	2
162	он может	2	2
163	из них	2	2
164	в процессе	15	2
165	данном случае	4	2
166	со стороны	4	2
167	что же	5	2
168	для данного	4	2
169	и тогда	2	2
170	другой стороны	5	2
171	отличается от	2	2
172	здесь не	2	2
173	на этом	2	2
174	бы не	2	2
175	отношения к	2	2
176	той же	3	2
177	этом отношении	3	2
178	на самом	14	2
179	для художественного	2	2
180	самом деле	16	2
181	к полюсу	2	2
182	художественного творчества	2	2
183	следует что	4	2
184	роль в	4	2
185	как мы	8	2
186	ничто не	3	2
187	то он	3	2
188	героя в	3	2
189	из виду	2	2
190	в данном	6	2
191	и восприятия	4	2
192	же самое	3	2
193	романа в	3	2
194	так как	9	2
195	потому что	7	2
196	и с	3	2
