N	2gram	Vygotskiy__5	Psycholo
1	то что	26	37
2	и в	16	30
3	в том	18	27
4	что в	16	24
5	и что	12	23
6	потому что	21	23
7	том что	15	21
8	для того	14	20
9	таким образом	19	20
10	того чтобы	17	20
11	как бы	5	19
12	что он	25	17
13	если мы	7	16
14	не только	16	16
15	в самом	4	14
16	в этом	25	14
17	так же	15	13
18	одной стороны	3	12
19	в сущности	13	12
20	вместе с	4	12
21	показать что	3	12
22	с одной	3	12
23	если бы	8	11
24	может быть	9	11
25	как на	3	11
26	что мы	4	11
27	о том	8	10
28	никогда не	5	9
29	с другой	4	9
30	не может	18	9
31	и то	4	9
32	сказать что	13	9
33	так как	16	9
34	с тем	3	8
35	тому что	5	8
36	он должен	5	8
37	к тому	6	8
38	не в	6	8
39	а не	10	8
40	при этом	4	8
41	того что	16	8
42	сущности говоря	4	8
43	заключается в	5	8
44	самом деле	3	8
45	мы видим	4	8
46	могут быть	4	8
47	этих двух	3	7
48	по себе	7	7
49	в нем	7	7
50	и как	3	7
51	зависимости от	2	7
52	но не	10	7
53	мы можем	6	7
54	все же	3	7
55	то же	8	7
56	совершенно ясно	2	7
57	точки зрения	18	7
58	как это	8	7
59	в основе	8	7
60	в зависимости	2	6
61	в своем	5	6
62	что она	2	6
63	именно в	4	6
64	как и	8	6
65	что если	4	6
66	что с	5	6
67	совершенно не	2	6
68	и тем	3	6
69	но и	6	6
70	в совершенно	2	6
71	что все	6	6
72	что оно	6	6
73	и не	12	6
74	жизни и	2	6
75	говорит что	5	6
76	и его	3	6
77	и здесь	2	6
78	никак не	3	6
79	тем что	5	6
80	как будто	2	6
81	на этом	3	6
82	только не	3	5
83	и есть	7	5
84	совершенно очевидно	2	5
85	эта теория	4	5
86	в целом	4	5
87	обратиться к	2	5
88	как мы	10	5
89	и потому	2	5
90	в этой	6	5
91	что они	5	5
92	еще не	4	5
93	до сих	3	5
94	было бы	10	5
95	стоит только	2	5
96	когда он	2	5
97	сих пор	3	5
98	другой стороны	2	5
99	а с	2	5
100	во внимание	2	5
101	в своих	2	5
102	но в	6	5
103	только в	10	5
104	же самое	4	5
105	ответ на	3	5
106	бы в	4	5
107	казалось бы	4	4
108	в результате	4	4
109	в частности	3	4
110	сравнению с	5	4
111	этот вопрос	6	4
112	прежде всего	3	4
113	стороны и	2	4
114	мы могли	7	4
115	то это	2	4
116	говорит о	3	4
117	у нас	2	4
118	есть не	2	4
119	указывает на	2	4
120	именно это	2	4
121	и к	2	4
122	в своей	2	4
123	от того	3	4
124	в ней	2	4
125	в его	11	4
126	в них	2	4
127	не есть	4	4
128	на примере	3	4
129	исходит из	2	4
130	по сравнению	5	4
131	только на	2	4
132	только что	5	4
133	а в	3	4
134	из которых	3	4
135	мы говорили	2	4
136	как она	3	4
137	могли бы	6	4
138	что эта	3	4
139	о чем	2	4
140	в виду	2	4
141	не могут	4	3
142	и составляет	4	3
143	и другие	2	3
144	у него	6	3
145	что у	2	3
146	в состоянии	4	3
147	хотя бы	5	3
148	это не	4	3
149	именно потому	2	3
150	состоит в	6	3
151	к этому	3	3
152	вовсе не	2	3
153	вопрос о	12	3
154	показывает что	5	3
155	самого начала	5	3
156	видим что	2	3
157	с самого	5	3
158	так что	4	3
159	находятся в	2	3
160	это есть	4	3
161	в свою	4	3
162	лучшем случае	4	3
163	для него	5	3
164	тот же	5	3
165	друг с	7	3
166	имеет место	2	3
167	образом что	2	3
168	он не	8	3
169	и между	2	3
170	что и	3	3
171	на его	2	3
172	так и	7	3
173	как в	5	3
174	в их	3	3
175	этом отношении	5	3
176	по поводу	2	3
177	из того	11	3
178	но только	2	3
179	в той	6	3
180	с другом	7	3
181	на этот	4	3
182	той же	4	3
183	в лучшем	3	3
184	мы не	3	3
185	можно было	5	3
186	в силу	10	3
187	но он	7	3
188	и на	6	3
189	мы нашли	2	3
190	в другом	6	3
191	мы должны	8	3
192	что нам	2	3
193	в этих	3	3
194	верно что	2	3
195	в которой	5	3
196	учения о	2	3
197	и поэтому	2	3
198	с этой	4	2
199	в отношении	9	2
200	показали что	7	2
201	же как	7	2
202	связи с	3	2
203	он в	3	2
204	к которым	2	2
205	себя и	2	2
206	что между	4	2
207	между собой	13	2
208	не является	5	2
209	точно как	2	2
210	отношения между	3	2
211	с этим	3	2
212	в одном	3	2
213	что эти	2	2
214	и другими	2	2
215	с помощью	10	2
216	можно сказать	5	2
217	мы знаем	3	2
218	же в	2	2
219	этом случае	3	2
220	до конца	3	2
221	и того	3	2
222	по существу	3	2
223	но все	2	2
224	предположить что	2	2
225	чем в	3	2
226	этот закон	3	2
227	очевидно что	2	2
228	бы сказать	2	2
229	того же	7	2
230	должна быть	5	2
231	не дает	2	2
232	обе эти	5	2
233	одного и	3	2
234	это значит	5	2
235	слов и	2	2
236	от друга	4	2
237	в центре	2	2
238	как они	3	2
239	и следовательно	6	2
240	в качестве	4	2
241	эту мысль	2	2
242	эти три	2	2
243	еще в	3	2
244	в котором	2	2
245	с таким	3	2
246	но мы	5	2
247	не с	2	2
248	речь в	3	2
249	друг от	4	2
250	из них	2	2
251	представляют собой	2	2
252	во всех	2	2
253	отношения к	2	2
254	ни одного	2	2
255	нам кажется	2	2
256	находится в	2	2
257	все это	2	2
258	является то	2	2
259	по отношению	12	2
260	которых он	2	2
261	в отличие	2	2
262	того как	5	2
263	оба эти	4	2
264	все равно	2	2
265	это и	3	2
266	которую мы	2	2
267	в себя	3	2
268	приводит к	7	2
269	и другое	4	2
270	с точки	9	2
271	и даже	2	2
272	должно быть	8	2
273	понять как	2	2
274	отличие от	2	2
275	время как	4	2
276	этой теории	5	2
277	ничего не	5	2
278	и с	3	2
279	говорит он	2	2
280	само по	2	2
281	во всем	2	2
282	в то	5	2
283	ту же	2	2
284	не знает	5	2
285	с несомненностью	2	2
286	вопроса о	3	2
287	его на	2	2
288	как он	6	2
289	все эти	4	2
290	естественно что	2	2
291	из этого	2	2
292	это будет	2	2
